date, pm10, o3, no2
2018/12/14, 8, 15, 9
2018/12/15, 10, 21, 5
2018/12/16, 7, 14, 10
2018/12/17, 6, 7, 12
2018/12/18, 11, 13, 13
2018/12/19, 12, 21, 4
2018/12/20, 13, 17, 4
2018/12/21, 11, 15, 5
2018/12/22, 7, 15, 4
2018/12/23, 5, 18, 4
2018/12/24, 5, 22, 3
2018/12/25, 5, 27, 4
2018/12/26, 4, 17, 8
2018/12/27, 5, 11, 8
2018/12/28, 5, 15, 5
2018/12/29, 5, 21, 5
2018/12/30, 5, , 
2018/7/1, 3, 29, 4
2018/7/2, 7, 28, 4
2018/7/3, 9, 32, 3
2018/7/4, 9, 34, 3
2018/7/5, 8, 30, 4
2018/7/6, 9, 22, 2
2018/7/7, 8, 26, 2
2018/7/8, 8, 24, 5
2018/7/9, 8, 29, 4
2018/7/10, 11, 27, 5
2018/7/11, 11, 32, 4
2018/7/12, 10, 35, 7
2018/7/13, 13, 37, 6
2018/7/14, 10, 35, 2
2018/7/15, 11, 37, 7
2018/7/16, 13, 32, 11
2018/7/17, 15, 31, 9
2018/7/18, 18, 27, 6
2018/7/19, 15, 35, 8
2018/7/20, 15, 30, 3
2018/7/21, 16, 35, 2
2018/7/22, 11, 30, 4
2018/7/23, 10, 33, 3
2018/7/24, 12, 34, 2
2018/7/25, 11, 39, 2
2018/7/26, 11, 30, 12
2018/7/27, 17, 30, 10
2018/7/28, 19, 32, 6
2018/7/29, 20, 37, 3
2018/7/30, 17, 43, 2
2018/7/31, 14, 40, 3
2018/8/1, 18, 42, 3
2018/8/2, 21, 35, 2
2018/8/3, 12, 30, 1
2018/8/4, 9, 28, 3
2018/8/5, 8, 25, 2
2018/8/6, 6, 29, 4
2018/8/7, 9, 50, 3
2018/8/8, 15, 50, 4
2018/8/9, 20, 48, 2
2018/8/10, 19, 35, 1
2018/8/11, 11, 35, 5
2018/8/12, 8, 26, 2
2018/8/13, 4, 24, 9
2018/8/14, 8, 28, 5
2018/8/15, 6, 28, 4
2018/8/16, 9, 39, 2
2018/8/17, 12, 24, 2
2018/8/18, 9, 23, 1
2018/8/19, 7, 22, 6
2018/8/20, 9, 27, 5
2018/8/21, 6, 31, 7
2018/8/22, 10, 39, 3
2018/8/23, 13, 41, 2
2018/8/24, 15, 25, 1
2018/8/25, 7, 28, 4
2018/8/26, 5, 29, 7
2018/8/27, 7, 28, 5
2018/8/28, 8, 28, 7
2018/8/29, 9, 27, 5
2018/8/30, 7, 23, 8
2018/8/31, 7, 23, 2
2018/9/1, 7, 28, 4
2018/9/2, 9, 30, 8
2018/9/3, 10, 27, 14
2018/9/4, 13, 29, 11
2018/9/5, 12, 23, 10
2018/9/6, 9, 24, 7
2018/9/7, 14, 33, 4
2018/9/8, 27, 31, 3
2018/9/9, 10, 36, 4
2018/9/10, 5, 27, 2
2018/9/11, 5, 25, 2
2018/9/13, 6, 26, 2
2018/9/14, 8, 24, 1
2018/9/15, 6, 26, 1
2018/9/16, 4, 32, 3
2018/9/17, 5, 34, 4
2018/9/18, 10, 44, 2
2018/9/19, 15, 26, 3
2018/9/20, 16, 40, 3
2018/9/21, 17, 27, 1
2018/9/22, 11, 22, 2
2018/9/23, 6, 28, 4
2018/9/24, 3, 29, 2
2018/9/25, 5, 25, 3
2018/9/26, 7, 24, 3
2018/9/27, 5, 22, 4
2018/9/28, 3, 24, 3
2018/9/29, 5, 26, 2
2018/9/30, 6, 21, 7
2018/4/1, 12, 43, 3
2018/4/2, 18, 40, 13
2018/4/3, 30, 33, 7
2018/4/4, 16, 20, 8
2018/4/5, 8, 32, 6
2018/4/6, 8, 36, 4
2018/4/7, 12, 35, 6
2018/4/8, 21, 33, 10
2018/4/9, 25, 35, 6
2018/4/10, 14, 32, 9
2018/4/11, 19, 31, 9
2018/4/12, 22, 36, 10
2018/4/13, 25, 42, 8
2018/4/14, 25, 32, 14
2018/4/15, 36, 39, 13
2018/4/16, 31, 33, 7
2018/4/17, 33, 31, 6
2018/4/18, 20, 34, 8
2018/4/19, 21, 53, 5
2018/4/20, 26, 43, 2
2018/4/21, 28, 37, 3
2018/4/22, 14, 32, 4
2018/4/23, 16, 31, 4
2018/4/24, 11, 29, 4
2018/4/25, 8, 33, 4
2018/4/26, 9, 31, 4
2018/4/27, 11, 32, 5
2018/4/28, 11, 29, 9
2018/4/29, 10, 29, 6
2018/4/30, 9, 33, 3
2018/5/1, 5, 30, 4
2018/5/2, 7, 26, 5
2018/5/3, 13, 30, 3
2018/5/4, 6, 35, 2
2018/5/5, 10, 34, 2
2018/5/6, 11, 43, 3
2018/5/7, 14, 44, 8
2018/5/8, 20, 42, 5
2018/5/9, 13, 36, 3
2018/5/10, 14, 38, 4
2018/5/11, 25, 45, 2
2018/5/12, 23, 50, 15
2018/5/13, 22, 42, 12
2018/5/14, 29, 33, 19
2018/5/15, 41, 49, 15
2018/5/16, 36, 39, 4
2018/5/17, 38, 32, 3
2018/5/18, 27, 34, 3
2018/5/19, 19, 36, 2
2018/5/20, 15, 42, 6
2018/5/21, 21, 40, 6
2018/5/22, 22, 35, 5
2018/5/23, 24, 31, 6
2018/5/24, 18, 36, 6
2018/5/25, 18, 44, 8
2018/5/26, 19, 35, 7
2018/5/27, 16, 36, 5
2018/5/28, 18, 45, 13
2018/5/29, 27, 35, 5
2018/5/30, 24, 35, 4
2018/5/31, 17, 27, 9
2018/6/1, 18, , 
2018/6/5, 15, 27, 3
2018/6/6, 13, 41, 3
2018/6/7, 17, 30, 4
2018/6/8, 15, 40, 1
2018/6/9, 8, 44, 6
2018/6/10, 16, 44, 3
2018/6/11, 13, 26, 3
2018/6/12, 8, 23, 4
2018/6/13, 9, 35, 2
2018/6/14, 9, 34, 2
2018/6/15, 12, 32, 2
2018/6/16, 11, 32, 2
2018/6/17, 16, 33, 3
2018/6/18, 9, 32, 2
2018/6/19, 10, 27, 2
2018/6/20, 9, 18, 6
2018/6/21, 4, 25, 1
2018/6/22, 1, 26, 1
2018/6/23, 1, 26, 2
2018/6/24, 2, 23, 4
2018/6/25, 4, 25, 7
2018/6/26, 7, 31, 6
2018/6/27, 11, 34, 4
2018/6/28, 14, 26, 2
2018/6/29, 10, 24, 1
2018/6/30, 4, 27, 1
2018/1/1, 4, 21, 3
2018/1/2, 2, 20, 4
2018/1/3, 6, 19, 3
2018/1/4, 4, 11, 5
2018/1/5, 1, 23, 2
2018/1/6, 5, 27, 2
2018/1/7, 13, 29, 7
2018/1/8, 14, 22, 4
2018/1/9, 4, 15, 8
2018/1/10, 5, 22, 6
2018/1/11, 4, 21, 4
2018/1/12, 6, 23, 2
2018/1/13, 8, 26, 2
2018/1/14, 10, 25, 2
2018/1/15, 18, 23, 3
2018/1/16, 19, 17, 6
2018/1/17, 9, 12, 7
2018/1/18, 14, 11, 13
2018/1/19, 10, 20, 10
2018/1/20, 9, 6, 20
2018/1/21, 12, 16, 11
2018/1/22, 7, 22, 9
2018/1/23, 8, 22, 4
2018/1/24, 9, 28, 3
2018/1/25, 5, 24, 7
2018/1/26, 11, 21, 2
2018/1/27, 5, 18, 3
2018/1/28, 3, 11, 4
2018/1/29, 2, 16, 15
2018/1/30, 4, 21, 6
2018/1/31, 2, 16, 4
2018/2/1, 5, 13, 3
2018/2/2, 6, 19, 1
2018/2/3, 7, 27, 3
2018/2/4, 7, 23, 10
2018/2/5, 7, 20, 10
2018/2/6, 7, 17, 8
2018/2/7, 7, 16, 9
2018/2/8, 9, 19, 5
2018/2/9, 7, 22, 7
2018/2/10, 6, 27, 3
2018/2/11, 6, 24, 3
2018/2/12, 13, 21, 2
2018/2/13, 3, 21, 7
2018/2/14, 7, 24, 7
2018/2/15, 9, 29, 5
2018/2/16, 11, 25, 5
2018/2/17, 12, 23, 6
2018/2/18, 10, 25, 6
2018/2/19, 9, 27, 8
2018/2/20, 11, 25, 12
2018/2/21, 9, 23, 15
2018/2/22, 11, 26, 7
2018/2/23, 9, 28, 4
2018/2/24, 7, 30, 3
2018/2/25, 7, 31, 6
2018/2/26, 3, 29, 5
2018/2/27, 2, 29, 6
2018/2/28, 4, 28, 8
2018/3/1, 3, 28, 10
2018/3/2, 1, 28, 8
2018/3/3, 5, 29, 9
2018/3/4, 6, 29, 12
2018/3/5, 9, 34, 10
2018/3/6, 13, 35, 11
2018/3/7, 15, 27, 11
2018/3/8, 13, 26, 10
2018/3/9, 14, 19, 11
2018/3/10, 13, 27, 6
2018/3/11, 10, 26, 7
2018/3/12, 10, 26, 12
2018/3/13, 10, 34, 7
2018/3/14, 9, 30, 8
2018/3/15, 13, 28, 7
2018/3/16, 16, 29, 5
2018/3/17, 18, 36, 3
2018/3/18, 17, 34, 5
2018/3/19, 15, 32, 7
2018/3/20, 15, 32, 14
2018/3/21, 35, 33, 7
2018/3/22, 16, 34, 11
2018/3/23, 16, 31, 4
2018/3/24, 9, 33, 2
2018/3/25, 8, 33, 3
2018/3/26, 14, 33, 9
2018/3/27, 21, 34, 20
2018/3/28, 43, 36, 9
2018/3/29, 23, 38, 6
2018/3/30, 13, 37, 6
2018/3/31, 14, 34, 5
2017/10/1, 17, 28, 3
2017/10/2, 21, 21, 4
2017/10/3, 8, 25, 3
2017/10/4, 12, 24, 5
2017/10/5, 4, 20, 5
2017/10/6, 5, 19, 4
2017/10/7, 4, 21, 2
2017/10/8, 4, 19, 4
2017/10/9, 3, 18, 3
2017/10/10, 6, 15, 4
2017/10/11, 7, 15, 4
2017/10/12, 6, 11, 4
2017/10/13, 5, 18, 2
2017/10/14, 7, 21, 2
