date, pm25, pm10, o3, no2, co
2017/9/2, 25, 18, , , 
2017/9/3, 26, 20, , , 
2017/9/4, 25, 137, , , 
2017/9/5, 24, , , , 
2017/9/10, 20, 7, , , 
2017/9/11, 17, 5, , , 
2017/9/12, 12, 4, , , 
2017/9/13, 8, 9, , , 
2017/9/14, 12, 14, , , 
2017/9/15, 25, 13, , , 
2017/9/16, 44, 10, , , 
2017/9/17, 20, 90, , , 
2017/9/18, 137, 20, , , 
2017/9/19, 21, 17, , , 
2017/9/20, 18, 16, , , 
2017/9/21, 11, 2, , , 
2017/9/22, 12, 1, , , 
2017/9/23, 13, 2, , , 
2017/9/24, 10, 1, , , 
2017/9/25, 6, 2, , , 
2017/9/26, 10, 2, , , 
2017/9/27, 414, 5, , , 
2017/9/28, 824, 4, , , 
2017/9/29, 824, 10, , , 
2017/9/30, 824, 6, , , 
2017/4/1, 13, 2, , , 
2017/4/2, 10, 5, , , 
2017/4/3, 18, 5, , , 
2017/4/4, 16, 7, , , 
2017/4/5, 13, 8, , , 
2017/4/6, 13, 14, , , 
2017/4/7, 15, 16, , , 
2017/4/8, 26, 4, , , 
2017/4/9, 18, 6, , , 
2017/4/10, 20, 11, , , 
2017/4/11, 27, 11, , , 
2017/4/12, 22, 123, , , 
2017/4/13, 134, 10, , , 
2017/4/14, 16, 8, , , 
2017/4/15, 14, 8, , , 
2017/4/16, 18, 10, , , 
2017/4/17, 15, 45, , , 
2017/4/18, 16, 487, , , 
2017/4/19, 12, 880, , , 
2017/4/20, 16, 880, , , 
2017/4/21, 8, 880, , , 
2017/4/22, 12, 880, , , 
2017/4/23, 23, 880, , , 
2017/4/24, 256, 881, , , 
2017/4/25, 824, 881, , , 
2017/4/26, 824, 426, , , 
2017/4/27, 424, 6, , , 
2017/4/28, 14, 2, , , 
2017/4/29, 12, 3, , , 
2017/4/30, 9, 4, , , 
2017/5/1, 10, 3, , , 
2017/5/2, 10, 4, , , 
2017/5/3, 12, 5, , , 
2017/5/4, 9, 15, , , 
2017/5/5, 17, 27, , , 
2017/5/6, 23, 27, , , 
2017/5/7, 28, 19, , , 
2017/5/8, 25, 18, , , 
2017/5/9, 24, 9, , , 
2017/5/10, 26, 15, , , 
2017/5/11, 34, 17, , , 
2017/5/12, 26, 13, , , 
2017/5/13, 16, 9, , , 
2017/5/14, 19, 53, , , 
2017/5/15, 27, 11, , , 
2017/5/16, 18, 18, , , 
2017/5/17, 21, 6, , , 
2017/5/18, 10, 4, , , 
2017/5/19, 11, 4, , , 
2017/5/20, 9, 6, , , 
2017/5/21, 12, 5, , , 
2017/5/22, 11, 7, , , 
2017/5/23, 14, 16, , , 
2017/5/24, 16, 22, , , 
2017/5/25, 25, 18, , , 
2017/5/26, 22, 9, , , 
2017/5/27, 13, 6, , , 
2017/5/28, 9, 15, , , 
2017/5/29, 15, 78, , , 
2017/5/30, 15, 15, , , 
2017/5/31, 18, 14, , , 
2017/6/1, 20, 13, , , 
2017/6/2, 21, 12, , , 
2017/6/3, 21, 18, , , 
2017/6/4, 22, 11, , , 
2017/6/5, 20, 11, , , 
2017/6/6, 16, 12, , , 
2017/6/7, 16, 17, , , 
2017/6/8, 18, 25, , , 
2017/6/9, 14, 20, , , 
2017/6/10, 20, 26, , , 
2017/6/11, 21, 51, , , 
2017/6/12, 22, 5, , , 
2017/6/13, 9, 8, , , 
2017/6/14, 13, 11, , , 
2017/6/15, 12, 8, , , 
2017/6/16, 10, 10, , , 
2017/6/17, 13, 8, , , 
2017/6/18, 12, 7, , , 
2017/6/19, 12, 16, , , 
2017/6/20, 27, 16, , , 
2017/6/21, 93, 10, , , 
2017/6/22, 15, 10, , , 
2017/6/23, 12, 9, , , 
2017/6/24, 15, 15, , , 
2017/6/25, 13, 16, , , 
2017/6/26, 18, 13, , , 
2017/6/27, 11, 12, , , 
2017/6/28, 16, 12, , , 
2017/6/29, 16, 12, , , 
2017/6/30, 19, 14, , , 
2017/1/2, 18, 3, , , 
2017/1/3, 17, 4, , , 
2017/1/4, 17, 5, , , 
2017/1/5, 12, 3, , , 
2017/1/6, 18, 4, , , 
2017/1/7, 19, 5, , , 
2017/1/8, 20, 60, , , 
2017/1/9, 10, 5, , , 
2017/1/10, 12, 5, , , 
2017/1/11, 11, 5, , , 
2017/1/12, 15, 3, , , 
2017/1/13, 13, 1, , , 
2017/1/14, 9, 2, , , 
2017/1/15, 11, 1, , , 
2017/1/16, 12, 2, , , 
2017/1/17, 11, 5, , , 
2017/1/18, 13, 3, , , 
2017/1/19, 16, 4, , , 
2017/1/20, 23, , , , 
2017/1/23, 12, 1, , , 
2017/1/24, 10, 1, , , 
2017/1/25, 11, 1, , , 
2017/1/26, 12, 1, , , 
2017/1/27, 12, 2, , , 
2017/1/28, 10, 2, , , 
2017/1/29, 11, 4, , , 
2017/1/30, 12, 9, , , 
2017/1/31, 19, 7, , , 
2017/2/1, 18, 7, , , 
2017/2/2, 16, 43, , , 
2017/2/3, 55, 4, , , 
2017/2/4, 17, 5, , , 
2017/2/5, 15, 9, , , 
2017/2/6, 15, 9, , , 
2017/2/7, 11, 11, , , 
2017/2/8, 17, 10, , , 
2017/2/9, 15, 6, , , 
2017/2/10, 11, 2, , , 
2017/2/11, 9, 2, , , 
2017/2/12, 10, 1, , , 
2017/2/13, 9, 2, , , 
2017/2/14, 9, 5, , , 
