date, pm25, pm10, o3
2018/4/10, 29, , 45
2018/4/11, 34, , 43
2018/4/12, 34, , 47
2018/4/13, 41, , 42
2018/4/14, 14, , 41
2018/4/15, 30, , 46
2018/4/16, 34, , 44
2018/4/17, 34, , 47
2018/4/18, 37, , 44
2018/4/19, 15, , 42
2018/4/20, 17, , 34
2018/4/21, 15, , 44
2018/4/22, 20, , 48
2018/4/23, 24, , 56
2018/4/24, 23, , 30
2018/4/26, 25, , 45
2018/4/27, 55, , 49
2018/4/30, 27, , 34
2018/5/1, 33, , 30
2018/5/2, 42, , 46
2018/5/3, 26, , 40
2018/5/4, 21, , 48
2018/5/5, 26, , 51
2018/5/6, 26, , 49
2018/5/7, 30, , 47
2018/5/8, 26, , 44
2018/5/9, 26, , 40
2018/5/10, 34, , 39
2018/5/11, 27, , 33
2018/5/12, 34, , 28
2018/5/13, 45, , 31
2018/5/14, 47, , 39
2018/5/15, 21, , 48
2018/5/16, 22, , 46
2018/5/17, 23, , 51
2018/5/18, 30, , 37
2018/5/19, 39, , 37
2018/5/20, 16, , 44
2018/5/21, 25, , 39
2018/5/22, 23, , 39
2018/5/24, 19, , 42
2018/5/25, 24, , 47
2018/5/26, 21, , 45
2018/5/27, 32, , 44
2018/5/28, 45, , 54
2018/5/29, 32, , 41
2018/5/30, 22, , 34
2018/5/31, 29, , 41
2018/6/1, 38, , 53
2018/6/2, 46, , 44
2018/6/3, 12, , 41
2018/6/4, 28, , 49
2018/6/5, 50, , 51
2018/6/6, 43, , 37
2018/6/7, 30, , 48
2018/6/8, 18, , 35
2018/6/9, 32, , 30
2018/6/10, 48, , 32
2018/6/11, 59, , 33
2018/6/12, 45, , 43
2018/6/13, 35, , 31
2018/6/14, 23, , 29
2018/6/15, 15, , 29
2018/6/16, 23, , 29
2018/6/17, 32, , 30
2018/6/18, 21, , 27
2018/6/19, 18, , 57
2018/6/20, 23, , 52
2018/6/21, 22, , 51
2018/6/22, 22, , 41
2018/6/23, 31, , 38
2018/6/24, 29, , 50
2018/6/25, 12, , 27
2018/6/26, 38, , 32
2018/6/27, 32, , 34
2018/6/28, 28, , 29
2018/6/29, 42, , 27
2018/6/30, 60, , 32
2018/1/1, 18, , 21
2018/1/2, 20, , 29
2018/1/3, 27, , 29
2018/1/4, 19, , 24
2018/1/5, 34, , 34
2018/1/6, 38, , 28
2018/1/7, 36, , 26
2018/1/8, 17, , 26
2018/1/9, 27, , 29
2018/1/10, 37, , 24
2018/1/11, 15, , 27
2018/1/12, 5, , 26
2018/1/13, 14, , 25
2018/1/14, 27, , 28
2018/1/15, 19, , 27
2018/1/16, 13, , 24
2018/1/17, 21, , 27
2018/1/18, 20, , 27
2018/1/19, 30, , 27
2018/1/20, 20, , 33
2018/1/21, 30, , 32
2018/1/22, 6, , 31
2018/1/23, 16, , 32
2018/1/24, 17, , 37
2018/1/25, 20, , 29
2018/1/26, 24, , 32
2018/1/27, 11, , 33
2018/1/28, 16, , 24
2018/1/29, 17, , 32
2018/1/30, 22, , 33
2018/1/31, 29, , 30
2018/2/1, 11, , 29
2018/2/2, 14, , 29
2018/2/3, 30, , 24
2018/2/4, 25, , 24
2018/2/5, 18, , 23
2018/2/6, 31, , 29
2018/2/7, 40, , 32
2018/2/8, 37, , 33
2018/2/9, 46, , 24
2018/2/10, 28, , 31
2018/2/11, 13, , 29
2018/2/12, 24, , 21
2018/2/13, 44, , 23
2018/2/14, 34, , 25
2018/2/15, 27, , 27
2018/2/16, 8, , 21
2018/2/17, 5, , 20
2018/2/18, 25, , 21
2018/2/19, 39, , 21
2018/2/20, 19, , 23
2018/2/21, 6, , 18
2018/2/22, 14, , 12
2018/2/23, 11, , 21
2018/2/24, 19, , 36
2018/2/25, 22, , 41
2018/2/26, 27, , 23
2018/2/27, 20, , 21
2018/2/28, 22, , 38
2018/3/1, 23, , 41
2018/3/2, 17, , 45
2018/3/3, 33, , 30
2018/3/4, 33, , 38
2018/3/5, 17, , 36
2018/3/6, 11, , 37
2018/3/7, 20, , 44
2018/3/8, 25, , 41
2018/3/9, 32, , 40
2018/3/10, 42, , 36
