date, pm25, pm10, no2
2018/11/19, 38, 25, 11
2018/11/20, 67, 33, 17
2018/11/21, 83, 34, 16
2018/11/22, 89, 37, 21
2018/11/23, 93, 37, 17
2018/11/24, 96, 26, 10
2018/11/25, 76, 32, 12
2018/11/26, 88, 41, 14
2018/11/27, 106, 14, 14
2018/11/28, 41, 11, 13
2018/11/29, 26, 17, 13
2018/11/30, 37, 13, 11
2018/12/1, 35, 7, 6
2018/12/2, 14, 14, 10
2018/12/3, 31, 20, 25
2018/12/4, 32, 21, 23
2018/12/5, 53, 17, 14
2018/12/6, 43, 9, 9
2018/12/7, 19, 15, 6
2018/12/8, 31, 13, 7
2018/12/9, 27, 12, 16
2018/12/10, 21, 21, 30
2018/12/11, 35, 31, 32
2018/12/12, 75, 19, 17
2018/12/13, 56, 24, 14
2018/12/14, 68, 28, 14
2018/12/15, 77, 21, 13
2018/12/16, 63, 18, 18
2018/12/17, 45, 16, 14
2018/12/18, 40, 13, 17
2018/12/19, 32, 13, 11
2018/12/20, 31, 16, 8
2018/12/21, 32, 18, 8
2018/12/22, 41, 16, 12
2018/12/23, 44, 12, 19
2018/12/24, 25, 20, 17
2018/12/25, 60, 28, 22
2018/12/26, 77, 37, 28
2018/12/27, 92, 41, 16
2018/12/28, 108, 32, 16
2018/12/29, 83, 18, 15
2018/12/30, 47, , 
2018/7/1, 20, 26, 9
2018/7/2, 23, 29, 
2018/7/3, 34, 34, 
2018/7/4, 55, 23, 
2018/7/5, 31, 27, 
2018/7/6, 53, 22, 
2018/7/7, 38, 16, 
2018/7/8, 25, 19, 5
2018/7/9, 39, 19, 6
2018/7/10, 32, 21, 9
2018/7/11, 41, 25, 11
2018/7/12, 54, 21, 11
2018/7/13, 43, 20, 5
2018/7/14, 42, 16, 5
2018/7/15, 23, 18, 13
2018/7/16, 30, 23, 12
2018/7/17, 45, 16, 12
2018/7/18, 23, 21, 13
2018/7/19, 38, 19, 13
2018/7/20, 37, 18, 10
2018/7/21, 31, 21, 11
2018/7/22, 44, 23, 9
2018/7/23, 45, 30, 16
2018/7/24, 49, 18, 12
2018/7/25, 36, 29, 12
2018/7/26, 56, 33, 20
2018/7/27, 54, 20, 7
2018/7/28, 38, 18, 5
2018/7/29, 25, 16, 6
2018/7/30, 20, 16, 9
2018/7/31, 22, 20, 14
2018/8/1, 31, 22, 13
2018/8/2, 30, 34, 15
2018/8/3, 54, 20, 7
2018/8/4, 29, 16, 3
2018/8/5, 26, 25, 10
2018/8/6, 31, 35, 16
2018/8/7, 51, 20, 7
2018/8/8, 35, 17, 17
2018/8/9, 33, 13, 5
2018/8/10, 20, 13, 7
2018/8/11, 23, 14, 15
2018/8/12, 21, 14, 11
2018/8/13, 27, 18, 9
2018/8/14, 37, 15, 6
2018/8/15, 34, 15, 7
2018/8/16, 33, 12, 12
2018/8/17, 23, 17, 8
2018/8/18, 34, 15, 4
2018/8/19, 36, 18, 10
2018/8/20, 37, 22, 13
2018/8/21, 49, 25, 14
2018/8/22, 54, 21, 10
2018/8/23, 41, 17, 6
2018/8/24, 24, 10, 5
2018/8/25, 15, 10, 7
2018/8/26, 18, 14, 6
2018/8/27, 27, 19, 9
2018/8/28, 30, 34, 22
2018/8/29, 72, 12, 10
2018/8/30, 22, 16, 11
2018/8/31, 22, 20, 11
2018/9/1, 45, 17, 8
2018/9/2, 42, 22, 15
2018/9/3, 52, 38, 15
2018/9/4, 86, 44, 15
2018/9/5, 100, 23, 15
2018/9/6, 53, 15, 7
2018/9/7, 29, 16, 9
2018/9/8, 31, 14, 11
2018/9/9, 24, 22, 14
2018/9/10, 38, 19, 
2018/9/11, 24, 13, 11
2018/9/12, 24, 14, 10
2018/9/13, 24, 23, 19
2018/9/14, 39, 18, 11
2018/9/15, 32, 20, 18
2018/9/16, 41, 22, 24
2018/9/17, 32, 29, 13
2018/9/18, 39, 26, 10
2018/9/19, 42, 25, 9
2018/9/20, 37, 18, 5
2018/9/21, 24, 14, 8
2018/9/22, 24, 10, 7
2018/9/23, 25, 12, 15
2018/9/24, 16, 19, 23
2018/9/25, 31, 24, 21
2018/9/26, 41, 30, 30
2018/9/27, 54, 22, 15
2018/9/28, 41, 19, 13
2018/9/29, 37, 23, 19
2018/9/30, 52, 13, 12
2018/4/1, 70, 17, 13
2018/4/2, 48, 13, 9
2018/4/3, 29, 10, 11
2018/4/4, 21, 15, 10
2018/4/5, 29, 19, 15
2018/4/6, 46, 24, 15
2018/4/7, 47, 38, 21
2018/4/8, 77, 49, 22
2018/4/9, 100, 25, 12
2018/4/10, 56, 28, 22
2018/4/11, 66, 50, 15
2018/4/12, 121, 39, 18
2018/4/13, 90, 46, 18
2018/4/14, 111, 24, 9
2018/4/15, 60, 18, 16
2018/4/16, 37, 24, 17
2018/4/17, 48, 30, 26
2018/4/18, 54, 32, 19
2018/4/19, 57, 49, 35
2018/4/20, 82, 59, 16
2018/4/21, 127, 40, 17
2018/4/22, 77, 30, 9
2018/4/23, 56, 23, 8
2018/4/24, 37, 18, 8
2018/4/25, 29, 21, 7
2018/4/26, 35, 19, 14
2018/4/27, 33, 17, 9
2018/4/28, 34, 26, 10
2018/4/29, 69, 10, 9
2018/4/30, 21, 14, 6
2018/5/1, 31, 17, 12
2018/5/2, 34, 16, 14
2018/5/3, 32, 22, 15
2018/5/4, 46, 22, 9
2018/5/5, 47, 22, 8
2018/5/6, 47, 23, 16
2018/5/7, 36, 35, 19
2018/5/8, 60, 51, 26
2018/5/9, 104, 20, 9
2018/5/10, 41, 25, 17
2018/5/11, 55, 29, 18
2018/5/12, 61, 25, 9
2018/5/13, 63, 41, 14
2018/5/14, 92, 43, 19
2018/5/15, 82, 47, 15
2018/5/16, 84, 27, 7
2018/5/17, 48, 25, 9
2018/5/18, 51, 27, 9
2018/5/19, 62, 28, 9
2018/5/20, 66, 22, 15
2018/5/21, 52, 25, 18
2018/5/22, 55, 32, 15
2018/5/23, 74, 30, 15
2018/5/24, 61, 34, 15
2018/5/25, 85, 32, 12
2018/5/26, 79, 27, 8
2018/5/27, 63, 25, 12
2018/5/28, 52, 49, 13
2018/5/29, 108, 24, 10
2018/5/30, 48, 28, 14
2018/5/31, 64, 39, 21
2018/6/1, 91, 20, 6
2018/6/2, 52, 20, 9
2018/6/3, 52, 33, 9
2018/6/4, 77, 24, 7
2018/6/5, 57, 31, 10
2018/6/6, 63, 34, 20
2018/6/7, 73, 46, 24
2018/6/8, 105, 28, 9
2018/6/9, 65, 22, 5
2018/6/10, 56, 22, 6
2018/6/11, 45, 20, 7
2018/6/12, 46, 13, 7
2018/6/13, 20, 23, 13
2018/6/14, 41, 23, 10
2018/6/15, 43, 21, 11
2018/6/16, 37, 17, 4
2018/6/17, 31, 17, 6
2018/6/18, 22, 19, 7
2018/6/19, 38, 19, 7
2018/6/20, 30, 28, 7
2018/6/21, 30, 22, 7
2018/6/22, 31, 20, 11
2018/6/23, 35, 18, 6
2018/6/24, 33, 19, 8
2018/6/25, 33, 20, 3
2018/6/26, 38, 29, 
2018/6/27, 56, 31, 
2018/6/28, 47, 26, 5
2018/6/29, 33, 31, 5
2018/6/30, 57, 22, 5
2018/1/1, 20, 13, 12
2018/1/2, 29, 18, 6
2018/1/3, 37, 21, 11
2018/1/4, 44, 16, 12
2018/1/5, 34, 19, 20
2018/1/6, 51, 12, 5
2018/1/7, 37, 19, 14
2018/1/8, 51, 30, 19
2018/1/9, 73, 18, 20
2018/1/10, 47, 33, 25
2018/1/11, 78, 47, 19
2018/1/12, 114, 39, 18
2018/1/13, 99, 30, 15
2018/1/14, 78, 19, 15
2018/1/15, 51, 13, 13
2018/1/16, 25, 18, 11
2018/1/17, 31, 13, 11
2018/1/18, 23, 15, 19
2018/1/19, 30, 13, 15
2018/1/20, 37, 16, 21
2018/1/21, 40, 15, 17
2018/1/22, 36, 15, 14
2018/1/23, 37, 8, 7
2018/1/24, 15, 15, 15
2018/1/25, 30, 29, 20
2018/1/26, 65, 22, 13
2018/1/27, 60, 14, 8
2018/1/28, 43, 13, 11
2018/1/29, 24, 24, 25
2018/1/30, 48, 11, 14
2018/1/31, 23, 18, 15
2018/2/1, 31, 11, 17
2018/2/2, 20, 16, 21
2018/2/3, 43, 13, 9
2018/2/4, 36, 21, 13
2018/2/5, 59, 28, 19
2018/2/6, 71, 28, 22
2018/2/7, 66, 41, 29
2018/2/8, 90, 33, 22
2018/2/9, 79, 20, 14
2018/2/10, 48, 9, 8
2018/2/11, 19, 17, 12
2018/2/12, 30, 15, 18
2018/2/13, 34, 18, 19
2018/2/14, 48, 15, 18
2018/2/15, 38, 27, 28
2018/2/16, 52, 33, 27
2018/2/17, 76, 41, 29
2018/2/18, 98, 37, 27
