date, pm25, no2, co
2017/9/22, , 5, 2
2017/9/23, , 5, 2
2017/9/24, , 3, 2
2017/9/25, , 3, 3
2017/9/26, , 12, 3
2017/9/27, , 13, 2
2017/9/28, , 7, 2
2017/9/29, , 10, 2
2017/9/30, , 3, 2
2017/4/1, , 6, 3
2017/4/2, , 11, 
2017/4/3, , 3, 1
2017/4/4, , 6, 1
2017/4/5, , 3, 1
2017/4/6, , 7, 
2017/4/11, , 28, 2
2017/4/12, , 8, 1
2017/4/13, , 1, 1
2017/4/14, , 1, 2
2017/4/15, , 5, 1
2017/4/16, , 3, 1
2017/4/17, , 6, 1
2017/4/18, , 2, 1
2017/4/19, , 8, 1
2017/4/20, , 9, 1
2017/4/21, , 7, 1
2017/4/22, , 4, 1
2017/4/23, , 4, 
2017/4/24, , 1, 1
2017/4/25, , 2, 2
2017/4/26, , 3, 2
2017/4/27, , 6, 2
2017/4/28, , 6, 2
2017/4/29, , 5, 2
2017/4/30, , 2, 1
2017/5/1, , 5, 2
2017/5/2, , 6, 2
2017/5/3, , 6, 1
2017/5/4, , 3, 2
2017/5/5, , 5, 2
2017/5/6, , 3, 2
2017/5/7, , 3, 2
2017/5/8, , 8, 3
2017/5/9, , 12, 2
2017/5/10, , 4, 2
2017/5/11, , 6, 2
2017/5/12, , 6, 2
2017/5/13, , 7, 2
2017/5/14, , 5, 1
2017/5/15, , 6, 
2017/5/16, , 6, 1
2017/5/17, , 10, 
2017/5/18, , 7, 
2017/5/19, , 6, 
2017/5/20, , 2, 
2017/5/21, , 3, 1
2017/5/22, , 10, 
2017/5/23, , 6, 
2017/5/24, , 2, 2
2017/5/25, , 15, 2
2017/5/26, , 8, 1
2017/5/27, , 3, 1
2017/5/28, , 3, 1
2017/5/29, , 4, 2
2017/5/30, , 10, 2
2017/5/31, , 12, 2
2017/6/1, , 11, 2
2017/6/2, , 12, 2
2017/6/3, , 10, 2
2017/6/4, , 5, 2
2017/6/5, , 9, 1
2017/6/6, , 6, 1
2017/6/7, , 1, 1
2017/6/8, , 5, 2
2017/6/9, , 12, 1
2017/6/10, , 6, 1
2017/6/11, , 4, 2
2017/6/12, , 9, 2
2017/6/13, , 13, 1
2017/6/14, , 6, 2
2017/6/15, , 11, 2
2017/6/16, , 10, 1
2017/6/17, , 3, 1
2017/6/18, , 4, 1
2017/6/19, , 11, 2
2017/6/20, , 9, 2
2017/6/21, , 9, 1
2017/6/22, , 7, 1
2017/6/23, , 6, 2
2017/6/24, , 7, 1
2017/6/25, , 5, 2
2017/6/26, , 10, 2
2017/6/27, , 9, 2
2017/6/28, , 9, 1
2017/6/29, , 7, 2
2017/6/30, , 7, 2
2017/1/2, , 5, 3
2017/1/3, , 8, 1
2017/1/4, , 6, 2
2017/1/5, , 11, 3
2017/1/6, , 16, 2
2017/1/7, , 12, 2
2017/1/8, , 5, 1
2017/1/9, , 10, 1
2017/1/10, , 6, 
2017/1/11, , 5, 3
2017/1/12, , 10, 3
2017/1/13, , 8, 5
2017/1/14, , 10, 4
2017/1/15, , 18, 4
2017/1/16, , 17, 2
2017/1/17, , 11, 3
2017/1/18, , 11, 1
2017/1/19, , 9, 3
2017/1/20, , 11, 2
2017/1/21, , 9, 1
2017/1/22, , 4, 1
2017/1/23, , 3, 2
2017/1/24, , 9, 2
2017/1/25, , 8, 2
2017/1/26, , 6, 2
2017/1/27, , 7, 2
2017/1/28, , 5, 3
2017/1/29, , 9, 3
2017/1/30, , 12, 2
2017/1/31, , 11, 3
2017/2/1, , 14, 2
2017/2/2, , 10, 3
2017/2/3, , 11, 3
2017/2/4, , 11, 2
2017/2/5, , 7, 3
2017/2/6, , 17, 1
2017/2/7, , 8, 2
2017/2/8, , 7, 2
2017/2/9, , 6, 2
2017/2/10, , 10, 3
2017/2/11, , 18, 2
2017/2/12, , 7, 4
2017/2/13, , 12, 3
2017/2/14, , 19, 2
2017/2/15, , 6, 2
2017/2/16, , 10, 2
2017/2/17, , 12, 2
2017/2/18, , 11, 2
2017/2/19, , 10, 1
2017/2/20, , 5, 2
2017/2/21, , 17, 1
2017/2/22, , 19, 2
2017/2/23, , 10, 1
2017/2/24, , 7, 
2017/2/25, , 3, 
2017/2/27, , 7, 1
2017/2/28, , 8, 
2017/3/1, , 5, 1
2017/3/2, , 5, 2
2017/3/3, , 8, 1
2017/3/4, , 4, 
2017/3/5, , 2, 1
2017/3/6, , 8, 1
2017/3/7, , 6, 1
2017/3/8, , 6, 2
2017/3/9, , 8, 1
2017/3/10, , 6, 2
2017/3/11, , 6, 1
2017/3/12, , 4, 1
2017/3/13, , 2, 1
2017/3/14, , 4, 1
2017/3/15, , 4, 2
2017/3/16, , 11, 3
2017/3/17, , 21, 2
2017/3/18, , 9, 1
2017/3/19, , 8, 1
2017/3/20, , 13, 2
2017/3/21, , 14, 2
2017/3/22, , 7, 2
2017/3/23, , 7, 1
2017/3/24, , 8, 1
2017/3/25, , 8, 
2017/3/26, , 3, 1
2017/3/27, , 10, 1
2017/3/28, , 8, 1
2017/3/29, , 4, 
2017/3/30, , 2, 2
2017/3/31, , 7, 2
2018/9/9, , , 1
2018/9/23, , , 1
2017/12/31, , , 4
2017/10/17, , , 1
2017/9/8, , , 1
2017/4/10, , , 2
2017/2/26, , , 1
