date, no2, so2
2018/7/14, 13, 1
2018/7/15, 18, 
2018/7/16, 11, 1
2018/7/17, 12, 1
2018/7/18, 14, 1
2018/7/19, 17, 1
2018/7/20, 16, 1
2018/7/21, 17, 1
2018/7/22, 6, 1
2018/7/23, 9, 1
2018/7/24, 5, 1
2018/7/25, 11, 1
2018/7/26, 7, 1
2018/7/27, 9, 1
2018/7/28, 8, 1
2018/7/29, 13, 1
2018/7/30, 8, 1
2018/7/31, 8, 1
2018/8/1, 10, 1
2018/8/2, 8, 1
2018/8/3, 12, 2
2018/8/4, 15, 1
2018/8/5, 13, 1
2018/8/6, 12, 1
2018/8/7, 17, 1
2018/8/8, 12, 1
2018/8/9, 18, 1
2018/8/10, 17, 1
2018/8/11, 19, 1
2018/8/12, 14, 1
2018/8/13, 13, 1
2018/8/14, 15, 1
2018/8/15, 7, 1
2018/8/16, 11, 1
2018/8/17, 15, 1
2018/8/18, 8, 3
2018/8/19, 12, 4
2018/8/20, 17, 6
2018/8/21, 17, 4
2018/8/22, 15, 3
2018/8/23, 13, 2
2018/8/24, 10, 2
2018/8/25, 11, 1
2018/8/26, 1, 2
2018/8/27, 5, 2
2018/8/28, 6, 3
2018/8/29, 11, 2
2018/8/30, 18, 2
2018/8/31, 12, 1
2018/9/1, 5, 1
2018/9/2, 2, 2
2018/9/3, 9, 2
2018/9/4, 13, 2
2018/9/5, 10, 2
2018/9/6, 8, 2
2018/9/7, 12, 2
2018/9/8, 10, 2
2018/9/9, 7, 2
2018/9/10, 7, 2
2018/9/11, 7, 
2018/9/18, 27, 2
2018/9/19, 16, 2
2018/9/20, 13, 2
2018/9/21, 14, 2
2018/9/22, 10, 2
2018/9/23, 8, 2
2018/9/24, 4, 2
2018/9/25, 3, 3
2018/9/26, 4, 4
2018/9/27, 13, 3
2018/9/28, 19, 5
2018/9/29, 5, 3
2018/9/30, 9, 3
2018/4/3, 4, 1
2018/4/4, 2, 1
2018/4/5, 13, 1
2018/4/6, 5, 2
2018/4/7, 12, 2
2018/4/8, 19, 1
2018/4/9, 3, 1
2018/4/10, 9, 1
2018/4/11, 8, 1
2018/4/12, 5, 1
2018/4/13, 11, 1
2018/4/14, 20, 1
2018/4/15, 22, 1
2018/4/16, 4, 1
2018/4/17, 9, 1
2018/4/18, 6, 2
2018/4/19, 12, 1
2018/4/20, 7, 3
2018/4/21, 17, 2
2018/4/22, 19, 1
2018/4/23, 13, 1
2018/4/24, 16, 1
2018/4/25, 17, 1
2018/4/26, 20, 2
2018/4/27, 16, 1
2018/4/28, 19, 2
2018/4/29, 21, 1
2018/4/30, 10, 1
2018/5/1, 13, 1
2018/5/2, 9, 1
2018/5/3, 7, 1
2018/5/4, 4, 1
2018/5/5, 11, 1
2018/5/6, 8, 1
2018/5/7, 8, 2
2018/5/8, 11, 1
2018/5/9, 8, 1
2018/5/10, 12, 1
2018/5/11, 15, 1
2018/5/12, 7, 1
2018/5/13, 7, 1
2018/5/14, 4, 2
2018/5/15, 7, 2
2018/5/16, 10, 2
2018/5/17, 7, 2
2018/5/18, 10, 2
2018/5/19, 9, 2
2018/5/20, 6, 3
2018/5/21, 12, 2
2018/5/22, 7, 2
2018/5/23, 10, 3
2018/5/24, 11, 4
2018/5/25, 13, 4
2018/5/26, 10, 5
2018/5/27, 15, 4
2018/5/28, 9, 5
2018/5/29, 11, 4
2018/5/30, 7, 4
2018/5/31, 6, 4
2018/6/1, 8, 
2018/6/2, 11, 
2018/6/3, 10, 
2018/6/4, 11, 
2018/6/5, 8, 
2018/6/6, 16, 
2018/6/7, 8, 
2018/6/8, 7, 
2018/6/9, 8, 
2018/6/10, 12, 
2018/6/11, 8, 
2018/6/12, 7, 
2018/6/13, 10, 
2018/6/14, 6, 
2018/6/15, 4, 
2018/6/16, 4, 
2018/6/17, 6, 
2018/6/18, 4, 
2018/6/19, 4, 
2018/6/20, 10, 
2018/6/21, 11, 
2018/6/22, 7, 
2018/6/23, 2, 
2018/6/24, 5, 1
2018/6/25, 3, 1
2018/6/26, 3, 
2018/6/27, 5, 
2018/6/28, 8, 
2018/6/29, 10, 
2018/6/30, 15, 
2018/1/1, 2, 1
2018/1/2, 11, 1
2018/1/3, 9, 1
2018/1/4, 14, 1
2018/1/5, 5, 1
2018/1/6, 1, 1
2018/1/7, 1, 1
2018/1/8, 1, 1
2018/1/9, 1, 1
2018/1/10, 16, 1
2018/1/11, 11, 3
2018/1/12, 4, 4
2018/1/13, 5, 2
2018/1/14, 7, 2
2018/1/15, 11, 1
