date, pm25, o3, so2, co
2018/7/14, 34, 29, 5, 
2018/7/15, 53, 26, , 
2018/7/16, 26, 33, , 
2018/7/17, 21, 36, 3, 
2018/7/18, 31, 29, 1, 
2018/7/19, 25, 31, , 
2018/7/20, 21, 36, , 
2018/7/21, 36, 29, , 
2018/7/22, 45, 34, , 
2018/7/23, 53, 31, , 
2018/7/24, 34, 30, 4, 
2018/7/25, 21, 24, , 
2018/7/26, 16, 28, , 
2018/7/27, 24, 29, , 
2018/7/28, 46, 32, 2, 
2018/7/29, 51, 32, , 
2018/7/30, 31, 32, , 
2018/7/31, 29, 38, 1, 
2018/8/1, 33, 25, , 
2018/8/2, 23, 46, 2, 
2018/8/3, 29, 37, 4, 
2018/8/4, 51, 38, 3, 
2018/8/5, 40, 37, , 
2018/8/6, 16, 33, , 
2018/8/7, 24, 31, , 
2018/8/8, 25, 39, 1, 
2018/8/9, 38, 31, , 
2018/8/10, 64, 33, , 
2018/8/11, 63, 39, 2, 
2018/8/12, 73, 40, 2, 
2018/8/13, 64, 36, 2, 
2018/8/14, 67, 28, 1, 
2018/8/15, 39, 28, , 
2018/8/16, 24, 33, , 
2018/8/17, 36, 36, 1, 
2018/8/18, 55, 36, 1, 
2018/8/19, 57, 27, , 
2018/8/20, 39, 24, , 
2018/8/21, 55, 29, , 
2018/8/22, 51, 34, 3, 
2018/8/23, 56, 22, , 
2018/8/24, 45, 38, , 
2018/8/25, 51, 27, 2, 
2018/8/26, 56, 29, 4, 
2018/8/27, 59, 26, 1, 
2018/8/28, 40, 26, , 
2018/8/29, 24, 32, 1, 
2018/8/30, 31, 30, 1, 
2018/8/31, 43, 27, 1, 
2018/9/1, 41, 25, 1, 
2018/9/2, 28, 25, 1, 
2018/9/3, 30, 22, , 
2018/9/4, 41, 19, , 
2018/9/5, 26, 17, , 
2018/9/6, 30, 25, , 
2018/9/7, 30, 28, , 
2018/9/8, 25, 28, , 
2018/9/9, 25, 37, 3, 
2018/9/10, 35, 37, 1, 
2018/9/11, 43, 37, 1, 
2018/9/12, 45, 37, 1, 
2018/9/13, 55, 31, 1, 
2018/9/14, 48, 35, 2, 
2018/9/15, 51, 46, 4, 
2018/9/16, 55, 36, , 
2018/9/17, 51, 27, , 
2018/9/18, 28, 20, 1, 
2018/9/19, 36, 38, 2, 
2018/9/20, 50, 23, , 
2018/9/21, 18, 30, 1, 
2018/9/22, 32, 34, 1, 
2018/9/23, 36, 34, 3, 
2018/9/24, 32, 19, 1, 
2018/9/25, 22, 26, , 
2018/9/26, 29, 31, , 
2018/9/27, 22, 19, , 
2018/9/28, 27, 16, 3, 
2018/9/29, 24, 11, , 
2018/9/30, 33, 11, , 
2018/4/1, 20, 33, 3, 
2018/4/2, 31, 29, , 
2018/4/3, 22, 29, , 
2018/4/4, 17, 31, 3, 
2018/4/5, 25, 35, , 
2018/4/6, 23, 32, , 
2018/4/7, 16, 31, 2, 
2018/4/8, 26, 32, , 
2018/4/9, 38, 35, , 
2018/4/10, 35, 30, 4, 
2018/4/11, 57, 34, 1, 
2018/4/12, 47, 24, , 
2018/4/13, 28, 31, , 
2018/4/14, 8, 31, , 
2018/4/15, 12, 37, , 
2018/4/16, 12, 40, , 
2018/4/17, 21, 32, , 
2018/4/18, 15, 38, , 
2018/4/19, 18, 39, 2, 
2018/4/20, 34, 36, 2, 
2018/4/21, 39, 42, , 
2018/4/22, 31, 49, , 
2018/4/23, 33, 49, , 
2018/4/24, 38, 38, , 
2018/4/25, 16, 46, 2, 
2018/4/26, 34, 42, , 
2018/4/27, 22, 38, , 
2018/4/28, 29, 40, 1, 
2018/4/29, 41, 42, 4, 
2018/4/30, 33, 38, 4, 
2018/5/1, 34, 32, , 
2018/5/2, 26, 34, 2, 
2018/5/3, 34, 46, , 
2018/5/4, 23, 50, , 
2018/5/5, 33, 47, , 
2018/5/6, 23, 47, 1, 
2018/5/7, 30, 49, 2, 
2018/5/8, 31, 43, 1, 
2018/5/9, 21, 39, , 
2018/5/10, 23, 28, , 
2018/5/11, 23, 22, , 
2018/5/12, 32, 22, , 
2018/5/13, 51, 31, , 
2018/5/14, 52, 43, 1, 
2018/5/15, 28, 49, 3, 
2018/5/16, 39, 50, 3, 
2018/5/17, 49, 40, 1, 
2018/5/18, 36, 43, 2, 
2018/5/19, 42, 25, , 
2018/5/20, 32, 20, 1, 
2018/5/21, 35, 37, 1, 
2018/5/22, 31, 45, 2, 
2018/5/23, 38, 45, 2, 
2018/5/24, 41, 41, 1, 
2018/5/25, 34, 54, 3, 
2018/5/26, 22, 57, 6, 
2018/5/27, 40, 60, 1, 
2018/5/28, 44, 65, 5, 
2018/5/29, 41, 49, 2, 
2018/5/30, 21, 49, , 
2018/5/31, 30, 57, 1, 
2018/6/1, 29, 37, 3, 
2018/6/2, 18, 40, , 
2018/6/3, 14, 46, 1, 
2018/6/4, 20, 52, 1, 
2018/6/5, 30, 41, 4, 
2018/6/6, 35, 60, 2, 
2018/6/7, 35, 39, 1, 
2018/6/8, 35, 44, 1, 
2018/6/9, 48, 38, , 
2018/6/10, 23, 33, , 
2018/6/11, 33, 36, 1, 
2018/6/12, 52, 42, 1, 
