date, pm25, o3, no2, so2
2019/5/30, 22, 19, 4, 
2019/5/31, 18, 21, 3, 
2019/6/1, 42, 16, 3, 
2019/6/2, 46, 16, 3, 
2019/6/3, 20, 19, 3, 
2019/6/4, 24, 18, 3, 
2019/6/5, 48, 21, 3, 
2019/6/6, 31, 18, 5, 
2019/6/7, 28, 21, 3, 
2019/6/8, 27, 14, 2, 
2019/6/9, 6, 11, 2, 
2019/6/10, 10, 16, 2, 
2019/6/11, 11, 17, 3, 
2019/6/12, 14, 18, 2, 
2019/6/13, 11, 16, 1, 
2019/6/14, 15, 21, 2, 
2019/6/15, 21, 18, 2, 
2019/6/16, 32, 15, 3, 
2019/6/17, 23, 13, 2, 
2019/6/18, 20, 14, 2, 
2019/6/19, 13, 19, 2, 
2019/6/20, 13, 18, 1, 
2019/6/21, 14, 14, 2, 
2019/6/22, 23, 18, 2, 
2019/6/23, 15, 13, 2, 
2019/6/24, 36, 18, 2, 
2019/6/25, 17, 22, 3, 
2019/6/26, 27, 23, 4, 
2019/6/28, 32, 20, 2, 
2019/6/29, 50, 20, 2, 
2019/1/1, 14, 9, 3, 
2019/1/2, 14, 9, 5, 
2019/1/3, 19, 5, 6, 
2019/1/4, 8, 10, 5, 
2019/1/5, 15, 13, 4, 
2019/1/6, 20, 10, 5, 
2019/1/7, 14, 12, 3, 
2019/1/8, 21, 13, 1, 
2019/1/9, 12, 11, 1, 
2019/1/10, 16, 13, 8, 
2019/1/11, 22, 11, 5, 
2019/1/12, 21, 8, 10, 
2019/1/13, 17, 12, 7, 
2019/1/14, 15, 10, 7, 
2019/1/15, 26, 12, 5, 
2019/1/16, 14, 8, 6, 
2019/1/17, 15, 9, 6, 
2019/1/18, 13, 6, 5, 
2019/1/19, 12, 15, 2, 
2019/1/20, 15, 14, 2, 
2019/1/21, 18, 13, 6, 
2019/1/22, 11, 12, 2, 
2019/1/23, 12, 11, 1, 
2019/1/24, 19, 15, 3, 
2019/1/25, 20, 14, 4, 
2019/1/26, 14, 13, 3, 
2019/1/27, 20, 11, 8, 
2019/1/28, 17, 12, 4, 
2019/1/29, 25, 16, 2, 
2019/1/30, 14, 14, 4, 
2019/1/31, 14, 6, 9, 
2019/2/1, 25, 13, 6, 
2019/2/2, 22, 14, 6, 
2019/2/3, 25, 13, 7, 
2019/2/4, 27, 12, 6, 
2019/2/5, 22, 8, 6, 
2019/2/6, 27, 1, 6, 
2019/2/7, 17, 16, 1, 
2019/2/8, 12, 14, 3, 
2019/2/9, 17, 12, 4, 
2019/2/10, 15, 7, 6, 
2019/2/11, 8, 7, 6, 
2019/2/12, 7, 16, 1, 
2019/2/13, 16, 14, 4, 
2019/2/14, 12, 16, 1, 
2019/2/15, 28, 16, 5, 
2019/2/16, 16, 13, 4, 
2019/2/17, 13, 12, 2, 
2019/2/18, 17, 14, 4, 
2019/2/19, 25, 14, 2, 
2019/2/20, 12, 14, 7, 
2019/2/21, 13, 9, 8, 
2019/2/22, 21, 12, 5, 
2019/2/23, 19, 15, 1, 
2019/2/24, 10, 18, 1, 
2019/2/25, 16, 17, 6, 
2019/2/26, 15, 16, 6, 
2019/2/27, 25, 14, 5, 
2019/2/28, 35, 9, 6, 
2019/3/1, 13, 12, 4, 
2019/3/2, 17, 7, 8, 
2019/3/3, 14, 17, 2, 
2019/3/4, 24, 17, 2, 
2019/3/5, 15, 17, 1, 
2019/3/6, 21, 19, 5, 
2019/3/7, 18, 15, 5, 
2019/3/8, 21, 13, 3, 
2019/3/9, 19, 18, 1, 
2019/3/10, 13, 19, 2, 
2019/3/11, 13, 19, 5, 
2019/3/12, 13, 19, 5, 
2019/3/13, 20, 20, 2, 
2019/3/14, 32, 17, 1, 
2019/3/15, 25, 19, , 
2019/3/16, 13, 18, 4, 
2019/3/17, 14, 17, 5, 
2019/3/18, 21, 19, 6, 
2019/3/19, 19, 20, 6, 
2019/3/20, 22, 11, 8, 
2019/3/21, 12, 18, 1, 
2018/10/1, 21, 12, 3, 
2018/10/2, 22, 13, 4, 
2018/10/3, 26, 13, 4, 
2018/10/4, 27, 9, 4, 
2018/10/5, 11, 13, 2, 
2018/10/6, 23, 14, 1, 
2018/10/7, 28, 14, 2, 
2018/10/8, 25, 11, 4, 
2018/10/9, 10, 10, 2, 
2018/10/10, 11, 9, 2, 
2018/10/11, 6, 14, 4, 
2018/10/12, 16, 13, 3, 
2018/10/13, 18, 9, 2, 
2018/10/14, 13, 11, 2, 
2018/10/15, 23, 9, 3, 
2018/10/16, 9, 15, 2, 
2018/10/17, 9, 13, 3, 
2018/10/18, 15, 16, 3, 
2018/10/19, 11, 14, 1, 
2018/10/20, 11, 12, 1, 
2018/10/21, 11, 10, 3, 
2018/10/22, 8, 17, 3, 
2018/10/23, 15, 12, 3, 
2018/10/24, 12, 9, 6, 
2018/10/25, 11, 9, 5, 
2018/10/26, 10, 6, 4, 
2018/10/27, 7, 14, 1, 
2018/10/28, 12, 12, 3, 
2018/10/29, 10, 14, 6, 
2018/10/30, 17, 17, 4, 
2018/10/31, 25, 16, 2, 
2018/11/1, 21, 11, 3, 
2018/11/2, 7, 13, 3, 
2018/11/3, 15, 13, 1, 
2018/11/4, 19, 8, 3, 
2018/11/6, 5, 13, 6, 
2018/11/7, 6, 9, 7, 
2018/11/8, 12, 5, 5, 
2018/11/9, 7, 13, 2, 
2018/11/10, 13, 11, 5, 
2018/11/11, 9, 9, 6, 
2018/11/12, 10, 6, 6, 
2018/11/13, 11, 10, 6, 
2018/11/14, 17, 7, 7, 
2018/11/15, 9, 9, 6, 
2018/11/19, 24, 11, 6, 
2018/11/20, 14, 12, 5, 
2018/11/21, 16, 9, 5, 
2018/11/22, 20, 11, 1, 
2018/11/23, 16, 10, 4, 
2018/11/24, 8, 11, 4, 
2018/11/25, 21, 9, 3, 
2018/11/26, 10, 10, 1, 
2018/11/27, 5, 11, 2, 
2018/11/28, 9, 8, 8, 
2018/11/29, 14, 2, 9, 
2018/11/30, 16, 1, 7, 
2018/12/1, 12, 9, 3, 
2018/12/2, 8, 13, 2, 
2018/12/3, 12, 8, 4, 
2018/12/4, 10, 10, 4, 
2018/12/5, 19, 11, 4, 
2018/12/6, 17, 12, 8, 
2018/12/7, 20, 11, 7, 
2018/12/8, 17, 7, 7, 
2018/12/9, 18, 4, 9, 
2018/12/10, 16, 10, 10, 
2018/12/11, 15, 10, 10, 
2018/12/12, 25, 6, 11, 
2018/12/13, 27, 1, 9, 
2018/12/14, 10, 5, 8, 
2018/12/15, 5, 6, 5, 
2018/12/16, 6, 13, 5, 
2018/12/17, 14, 10, 8, 
2018/12/18, 17, 9, 8, 
2018/12/19, 17, 1, 9, 
2018/12/20, 10, 13, 6, 
2018/12/21, 6, 10, 1, 
2018/12/22, 15, 10, 3, 
2018/12/23, 11, 14, 3, 
2018/12/24, 16, 5, 5, 
2018/12/25, 20, 10, 5, 
2018/12/26, 18, 12, 6, 
2018/12/27, 14, 6, 6, 
2018/12/28, 7, 10, 5, 
2018/12/29, 16, 5, 4, 
2018/12/30, 18, , , 
2018/7/1, 40, 19, 2, 
2018/7/2, 33, 17, 4, 
2018/7/3, 32, 20, 3, 
2018/7/4, 57, 14, 3, 
2018/7/5, 16, 15, 4, 
2018/7/6, 38, 17, 3, 
2018/7/7, 18, 19, 3, 
2018/7/8, 20, 20, 4, 
2018/7/9, 27, 24, 5, 
2018/7/10, 33, 21, 6, 
2018/7/11, 48, 18, 5, 
2018/7/12, 29, 21, 4, 
2018/7/13, 39, 20, 1, 
2018/7/14, 37, 19, 2, 
2018/7/15, 42, 20, 3, 
2018/7/16, 42, 16, 3, 
2018/7/17, 28, 13, 4, 
2018/7/18, 17, 19, 3, 
