date, pm25, pm10, no2, so2, co
2019/5/6, 30, 13, 2, , 
2019/5/7, 24, 19, 3, , 
2019/5/8, 46, 17, 6, , 1
2019/5/9, 48, 20, 9, , 3
2019/5/10, 54, 13, 4, , 
2019/5/11, 39, 16, 5, , 1
2019/5/12, 43, 19, 6, , 7
2019/5/13, 46, 23, 8, , 3
2019/5/14, 59, 19, 7, , 2
2019/5/15, 52, 24, 7, , 
2019/5/16, 58, 18, 9, , 7
2019/5/17, 46, 45, 12, , 8
2019/5/18, 114, 22, 8, , 4
2019/5/19, 55, 24, 7, , 4
2019/5/20, 57, 24, 6, , 2
2019/5/21, 63, 33, 10, 1, 5
2019/5/22, 85, 25, 7, , 4
2019/5/23, 73, 20, 7, , 2
2019/5/24, 58, 15, 6, , 3
2019/5/25, 54, 36, 8, , 6
2019/5/26, 94, 17, 13, , 4
2019/5/27, 51, 11, 6, , 
2019/5/28, 26, 11, 5, , 1
2019/5/29, 34, 10, 2, , 
2019/5/30, 29, 9, 8, , 1
2019/5/31, 30, 8, 1, , 
2019/6/1, 27, 9, 2, , 
2019/6/2, 34, 30, 7, , 3
2019/6/3, 84, 28, 9, , 6
2019/6/4, 77, 24, 12, , 5
2019/6/5, 71, 21, 11, , 4
2019/6/6, 62, 22, 9, , 5
2019/6/7, 62, 24, 5, , 3
2019/6/8, 66, 35, 7, , 3
2019/6/9, 84, 31, 5, , 3
2019/6/10, 77, 28, 7, 12, 1
2019/6/11, 66, 25, 6, , 1
2019/6/12, 68, 9, 5, , 
2019/6/13, 26, 7, 2, , 
2019/6/14, 18, 18, 4, , 
2019/6/15, 58, 31, 7, , 6
2019/6/16, 86, 21, 9, , 2
2019/6/17, 62, 18, 9, , 3
2019/6/18, 48, 29, 6, , 4
2019/6/19, 78, 31, 10, , 2
2019/6/20, 82, 15, 9, , 2
2019/6/21, 41, 39, 12, , 6
2019/6/22, 103, 35, 10, , 5
2019/6/23, 96, 22, 11, , 3
2019/6/24, 64, 32, 10, , 6
2019/6/25, 80, 29, 10, , 8
2019/6/26, 75, 28, 8, , 8
2019/6/27, 72, 43, 12, , 10
2019/6/28, 101, 53, 12, , 7
2019/6/29, 125, 31, 5, , 8
2019/6/30, 82, 55, 16, , 8
2019/1/1, 18, 10, 1, , 2
2019/1/2, 16, 15, 2, , 2
2019/1/3, 23, 17, 1, , 1
2019/1/4, 32, 12, 1, , 1
2019/1/5, 21, 11, , , 1
2019/1/6, 21, 5, 1, , 1
2019/1/7, 10, 10, 1, , 1
2019/1/8, 18, 12, 1, , 1
2019/1/9, 23, 13, 2, , 2
2019/1/10, 24, 12, 2, , 1
2019/1/11, 20, 11, , , 1
2019/1/12, 23, 11, 1, , 1
2019/1/13, 27, 9, 1, , 1
2019/1/14, 21, 9, 2, , 1
2019/1/15, 25, 9, 2, , 1
2019/1/16, 18, 12, 1, , 2
2019/1/17, 26, 10, 1, , 2
2019/1/18, 27, 12, 1, , 2
2019/1/19, 24, 9, 1, , 1
2019/1/20, 19, 14, 1, , 2
2019/1/21, 27, 13, 1, , 1
2019/1/22, 24, 10, 2, , 2
2019/1/23, 18, 12, 2, , 1
2019/1/24, 22, 17, 2, , 2
2019/1/25, 26, 23, 2, , 2
