date, pm25, pm10, so2, co
2019/2/28, 27, , , 3
2019/3/1, 29, , , 3
2019/3/2, 33, , , 3
2019/3/3, 48, , , 2
2019/3/4, 27, , , 2
2019/3/5, 37, , , 1
2019/3/6, 31, , , 2
2019/3/7, 34, , , 5
2019/3/8, 56, , , 5
2019/3/9, 76, , , 2
2019/3/10, 42, , , 2
2019/3/11, 38, , , 1
2019/3/12, 27, , , 3
2019/3/13, 37, , , 3
2019/3/14, 34, , , 3
2019/3/15, 52, , , 1
2019/3/16, 14, , , 1
2019/3/17, 11, , , 2
2019/3/18, 19, , , 3
2019/3/19, 37, , , 5
2019/3/20, 54, , , 2
2019/3/21, 35, , , 2
2019/3/22, 8, , , 1
2019/3/23, 9, , , 3
2019/3/24, 21, , , 2
2019/3/25, 30, , , 1
2019/3/26, 13, , , 2
2019/3/27, 18, , , 3
2019/3/28, 26, , , 5
2019/3/29, 40, , , 4
2019/3/30, 49, , , 2
2019/3/31, 33, , , 1
2018/10/2, 40, 11, , 2
2018/10/3, 22, 18, , 4
2018/10/4, 42, 14, , 2
2018/10/5, 22, 13, , 3
2018/10/6, 23, 16, , 4
2018/10/7, 43, 16, , 4
2018/10/8, 32, 18, , 2
2018/10/9, 37, 17, , 4
2018/10/10, 38, 18, , 3
2018/10/11, 31, 11, , 2
2018/10/12, 16, 7, , 1
2018/10/13, 18, 11, , 1
2018/10/14, 29, 14, , 2
2018/10/15, 37, 8, , 3
2018/10/16, 16, 13, , 2
2018/10/17, 24, 6, , 2
2018/10/18, 9, 18, , 1
2018/10/19, 28, 14, , 3
2018/10/20, 35, 7, , 2
2018/10/21, 14, 12, , 1
2018/10/22, 30, 18, , 3
2018/10/23, 40, 9, , 4
2018/10/24, 22, 11, , 2
2018/10/25, 27, 10, 1, 1
2018/10/26, 23, 5, , 3
2018/10/27, 11, 6, , 1
2018/10/28, 14, 9, , 2
2018/10/29, 25, 9, , 2
2018/10/30, 20, 18, , 3
2018/10/31, 40, 27, , 4
2018/11/1, 61, 27, , 6
2018/11/2, 52, 10, , 2
2018/11/3, 19, 10, , 1
2018/11/4, 27, 11, , 3
2018/11/5, 29, 8, , 2
2018/11/6, 18, 16, , 3
2018/11/7, 29, 10, , 3
2018/11/8, 26, 11, , 2
2018/11/9, 24, 5, , 2
2018/11/10, 14, 8, , 1
2018/11/11, 24, 18, , 2
2018/11/12, 53, 9, , 5
2018/11/13, 30, 5, , 3
2018/11/14, 12, 8, , 1
2018/11/15, 16, 4, , 1
2018/11/16, 11, 12, , 2
2018/11/17, 37, 8, , 2
2018/11/18, 23, 19, , 2
2018/11/19, 51, 14, , 4
2018/11/20, 40, 11, , 2
2018/11/21, 28, 6, , 2
2018/11/22, 13, 10, , 1
2018/11/23, 21, 15, , 2
2018/11/24, 36, 10, , 3
2018/11/25, 27, 15, , 2
2018/11/26, 39, 3, , 3
2018/11/27, 5, 3, , 1
2018/11/28, 6, 3, , 1
2018/11/29, 7, 10, , 1
2018/11/30, 31, 13, , 3
2018/12/1, 42, 11, , 3
2018/12/2, 28, 12, , 3
2018/12/3, 31, 4, , 3
2018/12/4, 9, 8, , 1
2018/12/5, 19, 13, , 2
2018/12/6, 35, 9, , 2
2018/12/7, 29, 12, , 1
2018/12/8, 37, 18, , 2
2018/12/9, 55, 17, , 3
2018/12/10, 50, 21, , 3
2018/12/11, 55, 19, , 5
2018/12/12, 55, 16, , 3
2018/12/13, 41, 19, , 2
2018/12/14, 47, 18, , 4
2018/12/15, 51, 10, , 4
2018/12/16, 28, 7, , 2
2018/12/17, 17, 6, , 1
2018/12/18, 12, 18, , 1
2018/12/19, 39, 25, , 5
2018/12/20, 61, 14, , 9
2018/12/21, 30, 14, , 2
2018/12/22, 30, 10, , 1
2018/12/23, 30, 14, , 2
2018/12/24, 45, 8, , 2
2018/12/25, 25, 15, , 2
2018/12/26, 45, 13, , 3
2018/12/27, 37, 13, , 3
2018/12/28, 34, 8, , 3
2018/12/29, 24, 9, , 2
2018/12/30, 28, , , 2
2018/7/1, 67, , , 4
2018/7/2, 76, , , 4
2018/7/3, 74, , , 4
2018/7/4, 60, , 1, 3
2018/7/5, 50, , , 2
2018/7/6, 27, , , 2
