date, pm25, no2
2018/7/16, 64, 13
2018/7/17, 61, 9
2018/7/18, 41, 11
2018/7/19, 44, 9
2018/7/20, 50, 4
2018/7/21, 31, 6
2018/7/22, 22, 6
2018/7/23, 38, 6
2018/7/24, 31, 9
2018/7/25, 39, 9
2018/7/26, 41, 15
2018/7/27, 56, 9
2018/7/28, 44, 7
2018/7/29, 42, 10
2018/7/30, 45, 6
2018/7/31, 37, 8
2018/8/1, 39, 10
2018/8/2, 37, 7
2018/8/3, 40, 5
2018/8/4, 39, 11
2018/8/5, 62, 12
2018/8/6, 63, 13
2018/8/7, 64, 7
2018/8/8, 44, 6
2018/8/9, 48, 10
2018/8/10, 57, 9
2018/8/11, 54, 7
2018/8/12, 49, 8
2018/8/13, 38, 6
2018/8/14, 39, 6
2018/8/15, 58, 10
2018/8/16, 66, 12
2018/8/17, 74, 6
2018/8/18, 44, 3
2018/8/19, 33, 5
2018/8/20, 34, 7
2018/8/21, 28, 8
2018/8/22, 46, 6
2018/8/23, 43, 13
2018/8/24, 49, 10
2018/8/25, 50, 11
2018/8/26, 58, 12
2018/8/27, 78, 12
2018/8/28, 73, 11
2018/8/29, 67, 9
2018/8/30, 45, 10
2018/8/31, 44, 4
2018/9/1, 42, 5
2018/9/2, 46, 10
2018/9/3, 53, 13
2018/9/4, 58, 17
2018/9/5, 64, 10
2018/9/6, 52, 9
2018/9/7, 42, 5
2018/9/8, 40, 3
2018/9/9, 30, 8
2018/9/10, 20, 7
2018/9/11, 26, 9
2018/9/12, 39, 6
2018/9/13, 26, 6
2018/9/14, 25, 6
2018/9/15, 32, 5
2018/9/16, 30, 8
2018/9/17, 25, 9
2018/9/18, 23, 10
2018/9/19, 46, 8
2018/9/20, 43, 8
2018/9/21, 35, 6
2018/9/22, 41, 6
2018/9/23, 38, 6
2018/9/24, 31, 15
2018/9/25, 40, 10
2018/9/26, 37, 8
2018/9/27, 26, 11
2018/9/28, 30, 9
2018/9/29, 43, 10
2018/9/30, 49, 13
2018/4/1, 20, 10
2018/4/2, 27, 15
2018/4/3, 42, 14
2018/4/4, 37, 9
2018/4/5, 23, 13
2018/4/6, 31, 4
2018/4/7, 19, 4
2018/4/8, 23, 10
2018/4/9, 33, 11
2018/4/10, 51, 17
2018/4/11, 45, 19
2018/4/12, 49, 15
2018/4/13, 51, 12
2018/4/14, 52, 5
2018/4/15, 34, 7
2018/4/16, 11, 6
2018/4/17, 13, 12
2018/4/18, 25, 10
2018/4/19, 34, 6
2018/4/20, 16, 12
2018/4/21, 27, 14
2018/4/22, 32, 11
2018/4/23, 26, 8
2018/4/24, 21, 9
2018/4/25, 13, 8
2018/4/26, 22, 16
2018/4/27, 39, 15
2018/4/28, 54, 3
2018/4/29, 22, 9
2018/4/30, 21, 26
2018/5/1, 39, 26
2018/5/2, 46, 17
2018/5/3, 53, 15
2018/5/4, 55, 7
2018/5/5, 21, 6
2018/5/6, 37, 8
2018/5/7, 39, 8
2018/5/8, 26, 11
2018/5/9, 25, 13
2018/5/10, 39, 9
2018/5/11, 33, 9
2018/5/12, 56, 5
2018/5/13, 35, 10
2018/5/14, 48, 10
2018/5/15, 36, 10
2018/5/16, 21, 10
2018/5/17, 12, 8
2018/5/18, 22, 8
2018/5/19, 21, 6
2018/5/20, 23, 9
2018/5/21, 16, 13
2018/5/24, 62, 14
2018/5/25, 56, 10
2018/5/26, 49, 6
2018/5/27, 38, 4
2018/5/28, 27, 13
2018/5/29, 52, 9
2018/5/30, 36, 9
2018/5/31, 30, 11
2018/6/1, 42, 6
2018/6/2, 34, 4
2018/6/3, 30, 6
2018/6/4, 27, 12
2018/6/5, 29, 7
2018/6/6, 29, 10
2018/6/7, 38, 15
2018/6/8, 43, 10
2018/6/9, 49, 6
2018/6/10, 37, 9
2018/6/11, 21, 9
2018/6/12, 31, 11
2018/6/13, 40, 5
2018/6/14, 25, 10
2018/6/15, 26, 11
2018/6/16, 38, 10
2018/6/17, 51, 12
2018/6/18, 62, 7
2018/6/19, 45, 14
2018/6/20, 44, 9
2018/6/21, 34, 8
2018/6/22, 35, 8
2018/6/23, 33, 8
2018/6/24, 31, 7
2018/6/25, 30, 7
2018/6/26, 29, 8
2018/6/27, 26, 6
2018/6/28, 27, 7
2018/6/29, 37, 8
2018/6/30, 50, 7
2018/1/1, 30, 14
2018/1/2, 39, 27
2018/1/3, 53, 9
2018/1/4, 39, 7
2018/1/5, 21, 7
2018/1/6, 20, 13
2018/1/7, 33, 27
2018/1/8, 56, 26
2018/1/9, 51, 31
2018/1/10, 71, 34
2018/1/11, 70, 20
2018/1/12, 24, 6
2018/1/13, 14, 6
2018/1/14, 27, 17
2018/1/15, 48, 30
2018/1/16, 78, 14
2018/1/17, 62, 18
2018/1/18, 41, 34
2018/1/19, 51, 32
2018/1/20, 53, 31
2018/1/21, 57, 32
2018/1/22, 53, 15
2018/1/23, 27, 9
2018/1/24, 16, 12
2018/1/25, 27, 25
2018/1/26, 54, 22
2018/1/27, 38, 13
2018/1/28, 33, 11
2018/1/29, 38, 11
2018/1/30, 28, 14
2018/1/31, 29, 26
2018/2/1, 48, 
2018/2/2, 25, 
2018/2/3, 33, 21
2018/2/4, 34, 14
2018/2/5, 28, 23
2018/2/6, 46, 19
2018/2/7, 56, 10
2018/2/8, 46, 24
2018/2/9, 62, 30
2018/2/10, 61, 18
2018/2/11, 26, 9
2018/2/12, 26, 13
2018/2/13, 40, 20
2018/2/14, 50, 23
2018/2/15, 54, 11
2018/2/16, 23, 10
2018/2/17, 30, 15
2018/2/18, 37, 22
2018/2/19, 51, 16
2018/2/20, 44, 14
2018/2/21, 31, 9
2018/2/22, 17, 11
2018/2/23, 20, 13
2018/2/24, 38, 14
2018/2/25, 37, 16
2018/2/26, 34, 21
2018/2/27, 25, 17
2018/2/28, 24, 23
2018/3/1, 46, 4
2018/3/2, 15, 3
2018/3/3, 16, 4
2018/3/4, 12, 7
2018/3/5, 13, 16
2018/3/6, 28, 11
2018/3/7, 18, 9
2018/3/8, 22, 7
2018/3/9, 21, 10
2018/3/10, 32, 17
2018/3/11, 31, 15
2018/3/12, 36, 8
2018/3/13, 27, 6
2018/3/14, 22, 12
2018/3/15, 40, 7
2018/3/16, 24, 14
2018/3/17, 31, 11
2018/3/18, 29, 26
2018/3/19, 50, 14
2018/3/20, 35, 9
2018/3/21, 29, 7
2018/3/22, 18, 6
2018/3/23, 15, 11
2018/3/24, 26, 9
2018/3/25, 29, 12
2018/3/26, 23, 15
2018/3/27, 30, 21
2018/3/28, 56, 18
2018/3/29, 65, 8
2018/3/30, 34, 6
2018/3/31, 21, 8
2017/10/1, 25, 25
2017/10/2, 43, 14
2017/10/3, 33, 15
2017/10/4, 32, 22
2017/10/5, 46, 25
2017/10/6, 60, 9
2017/10/7, 31, 7
2017/10/8, 18, 11
2017/10/9, 21, 14
2017/10/10, 23, 11
2017/10/11, 25, 7
2017/10/12, 22, 10
2017/10/13, 27, 7
2017/10/14, 21, 9
2017/10/15, 33, 7
2017/10/16, 17, 12
2017/10/17, 19, 20
2017/10/18, 28, 24
2017/10/19, 40, 21
2017/10/20, 33, 22
2017/10/21, 43, 17
2017/10/22, 47, 10
2017/10/23, 26, 10
2017/10/24, 20, 9
2017/10/25, 19, 10
2017/10/26, 22, 17
2017/10/27, 36, 9
2017/10/28, 29, 6
2017/10/29, 11, 8
2017/10/30, 19, 15
2017/10/31, 23, 18
2017/11/1, 32, 21
2017/11/2, 43, 17
2017/11/3, 30, 7
2017/11/4, 20, 10
2017/11/5, 29, 10
2017/11/6, 31, 9
2017/11/7, 21, 10
2017/11/8, 32, 19
2017/11/9, 51, 7
2017/11/13, 65, 18
2017/11/14, 56, 21
2017/11/15, 46, 13
2017/11/16, 34, 14
2017/11/17, 22, 17
2017/11/18, 40, 4
2017/11/19, 15, 12
2017/11/20, 26, 20
2017/11/21, 33, 12
2017/11/22, 22, 11
2017/11/23, 22, 23
2017/11/24, 63, 23
2017/11/25, 54, 8
2017/11/26, 18, 18
2017/11/27, 31, 23
2017/11/28, 53, 25
2017/11/29, 40, 21
2017/11/30, 32, 19
2017/12/1, 46, 22
2017/12/2, 59, 21
2017/12/3, 78, 26
2017/12/4, 108, 24
2017/12/5, 51, 14
2017/12/6, 19, 16
2017/12/7, 24, 12
2017/12/8, 27, 16
2017/12/9, 52, 13
2017/12/10, 49, 18
2017/12/11, 40, 12
2017/12/12, 33, 9
2017/12/13, 17, 16
