date, pm25, pm10, no2, so2, co
2019/4/1, 112, 36, 38, , 8
2019/4/2, 76, 25, 39, , 7
2019/4/3, 53, 34, 37, 1, 8
2019/4/4, 59, 24, 29, , 8
2019/4/5, 37, 31, 40, , 7
2019/4/6, 55, 22, 25, , 6
2019/4/7, 28, 21, 28, , 7
2019/4/8, 32, 23, 25, , 7
2019/4/9, 35, 43, 38, 1, 8
2019/4/10, 55, 20, 32, , 6
2019/4/11, 32, 17, 33, , 6
2019/4/12, 40, 18, 24, , 7
2019/4/13, 41, 29, 33, , 8
2019/4/14, 59, 22, 18, , 5
2019/4/15, 42, 26, 37, 1, 7
2019/4/16, 59, 34, 41, 1, 8
2019/4/17, 61, 37, 48, 1, 8
2019/4/18, 72, 29, 37, , 6
2019/4/19, 52, 25, 42, 1, 6
2019/4/20, 55, 24, 22, , 5
2019/4/21, 48, 39, 27, , 7
2019/4/22, 61, 65, 37, , 7
2019/4/23, 71, 65, 27, 1, 6
2019/4/24, 100, 65, 47, 3, 8
2019/4/25, 90, 88, 46, 1, 10
2019/4/26, 109, 59, 23, , 7
2019/4/27, 48, 32, 21, , 6
2019/4/28, 41, 30, 29, , 6
2019/4/29, 42, 25, 37, , 7
2019/4/30, 49, 24, 34, , 8
2019/5/1, 49, 28, 40, , 9
2019/5/2, 57, 23, 37, , 8
2019/5/3, 48, 22, 30, , 7
2019/5/4, 51, 22, 22, , 6
2019/5/5, 38, 19, 31, , 7
2019/5/6, 29, 18, 25, , 7
2019/5/7, 40, 27, 43, 1, 8
2019/5/8, 74, 34, 39, , 8
2019/5/9, 60, 39, 41, 1, 8
2019/5/10, 62, 33, 40, 1, 8
2019/5/11, 66, 28, 27, , 6
2019/5/12, 60, 21, 30, , 6
2019/5/13, 51, 15, 13, , 5
2019/5/14, 41, 16, 29, , 7
2019/5/15, 40, 14, 13, , 5
2019/5/16, 30, 23, 27, 1, 8
2019/5/17, 64, 29, 24, , 8
2019/5/18, 47, 28, 19, , 6
2019/5/19, 45, 21, 21, , 6
2019/5/20, 64, 21, 22, , 7
2019/5/21, 30, 22, 24, , 7
2019/5/22, 32, 24, 28, 1, 8
2019/5/23, 38, 27, 30, 1, 8
2019/5/24, 49, 27, 31, 1, 7
2019/5/25, 45, 21, 22, , 5
2019/5/26, 36, 22, 25, 1, 7
2019/5/27, 30, 16, 19, , 7
2019/5/28, 27, 23, 21, , 6
2019/5/29, 30, 30, 26, 1, 8
2019/5/30, 39, 20, 28, 1, 7
2019/5/31, 34, 18, 17, , 6
2019/6/1, 26, 17, 20, , 7
2019/6/2, 33, 26, 32, 1, 9
2019/6/3, 50, 29, 28, 1, 9
2019/6/4, 51, 27, 26, 1, 9
2019/6/5, 46, 35, 35, 1, 10
2019/6/6, 59, 36, 39, 1, 10
2019/6/7, 61, 42, 36, 1, 9
2019/6/8, 65, 49, 37, 1, 11
2019/6/9, 69, 57, 45, 1, 13
2019/6/10, 83, 57, 40, 2, 10
2019/6/11, 82, 58, 35, 1, 9
2019/6/12, 76, 54, 30, , 6
2019/6/13, 62, 53, 46, 1, 11
2019/6/14, 82, 54, 29, 1, 9
2019/6/15, 75, 48, 19, , 7
2019/6/16, 49, 31, 26, 1, 8
2019/6/17, 49, 32, 27, 1, 8
2019/6/18, 60, 29, 26, 1, 8
2019/6/19, 45, 28, 28, 1, 8
2019/6/20, 46, 31, 34, 1, 9
2019/6/21, 59, 37, 32, 1, 8
2019/6/22, 52, 41, 26, 1, 7
2019/6/23, 48, 39, 33, 1, 8
2019/6/24, 61, 23, 14, , 5
2019/6/25, 36, 23, 14, , 5
2019/6/26, 40, 28, 27, 1, 7
2019/6/27, 57, 34, 45, , 7
2019/6/28, 59, 30, 12, , 
2019/6/29, 45, 25, 26, , 
2019/6/30, 40, 29, 43, , 8
2019/2/5, 39, 16, 16, , 4
2019/2/6, 38, 30, 15, , 10
2019/2/7, 59, 51, 32, 1, 14
2019/2/8, 98, 46, 50, 1, 12
2019/2/9, 99, 26, 42, 1, 10
2019/2/10, 53, 28, 32, 1, 6
2019/2/11, 57, 12, 27, , 4
2019/2/12, 35, 10, 20, , 2
2019/2/13, 23, 15, 12, , 5
2019/2/14, 42, 21, 15, , 5
2019/2/15, 47, , 16, , 
2019/2/18, 94, 46, 34, 1, 9
2019/2/19, 97, 51, 34, , 9
2019/2/20, 111, 64, 41, , 11
2019/2/21, 142, 60, 46, , 12
2019/2/22, 131, 24, 42, 1, 2
2019/2/23, 35, 21, 10, , 2
2019/2/24, 33, 14, 4, , 3
2019/2/25, 32, 26, 14, , 6
2019/2/26, 53, 50, 25, , 11
2019/2/27, 99, 27, 25, , 
2019/3/2, 74, 48, 24, , 10
2019/3/3, 87, 48, 35, , 10
2019/3/4, 68, 38, 31, 1, 7
2019/3/5, 48, 39, 20, , 9
2019/3/6, 63, 42, 28, 1, 8
2019/3/7, 66, 40, 31, 1, 8
2019/3/8, 53, 44, 27, , 8
2019/3/9, 60, 28, 25, , 6
2019/3/10, 37, 31, 21, , 6
2019/3/11, 44, 25, 18, , 3
2019/3/12, 29, 18, 34, , 6
2019/3/13, 34, 20, 34, , 6
2019/3/14, 33, 38, 64, , 8
2019/3/15, 50, 34, 26, 1, 6
2019/3/16, 42, 39, 20, , 8
2019/3/17, 57, 26, 19, , 6
2019/3/18, 37, 29, 21, , 5
2019/3/19, 44, 18, 16, , 4
2019/3/20, 30, 20, 23, , 4
2019/3/21, 45, 23, 10, , 4
2019/3/22, 48, 27, 12, , 5
2019/3/23, 57, 30, 20, , 6
2019/3/24, 63, 33, 32, 1, 7
2019/3/25, 64, 30, 32, , 6
2019/3/26, 56, 19, 20, , 4
2019/3/27, 35, 18, 12, , 4
2019/3/28, 34, 20, 11, , 5
2019/3/29, 43, 26, 19, 1, 6
2019/3/30, 47, 36, 30, 1, 8
2019/3/31, 71, 55, 37, 1, 10
2018/10/2, 45, 24, 25, , 6
2018/10/3, 40, 13, 11, , 6
2018/10/4, 33, 14, 8, , 8
2018/10/5, 46, 19, 21, , 8
2018/10/6, 41, 19, 22, , 8
2018/10/7, 44, 18, 22, , 10
2018/10/8, 56, 23, 32, , 9
2018/10/9, 48, 26, 34, , 9
2018/10/10, 57, 37, 34, 1, 11
2018/10/11, 75, 34, 39, , 9
2018/10/12, 74, 31, 31, , 8
2018/10/13, 69, 39, 32, , 9
2018/10/14, 86, 17, 36, , 7
2018/10/15, 46, 25, 19, 1, 10
2018/10/16, 50, 28, 29, 1, 10
2018/10/17, 56, 22, 40, , 7
2018/10/18, 44, 38, 18, , 9
2018/10/19, 74, 40, 34, , 8
2018/10/20, 73, 31, 29, , 7
2018/10/21, 67, 9, 26, , 6
2018/10/22, 28, 16, 15, , 6
2018/10/23, 48, 34, 12, 1, 12
2018/10/24, 66, 34, 35, 1, 12
2018/10/25, 59, 29, 41, , 9
2018/10/26, 49, 25, 30, , 7
2018/10/27, 38, 32, 17, , 6
2018/10/28, 35, 63, 13, , 6
2018/10/29, 65, 30, 15, , 7
2018/10/30, 35, 34, 20, , 10
2018/10/31, 53, 37, 35, , 9
2018/11/1, 49, 20, 25, , 11
2018/11/2, 47, 22, 23, , 7
