date, pm25, pm10, no2, so2, co
2018/10/3, 41, , , , 
2018/10/4, 46, , , , 
2018/10/5, 38, , , , 
2018/10/6, 46, , , , 
2018/10/7, 59, , , , 
2018/10/8, 41, , , , 
2018/10/9, 25, , , , 
2018/10/10, 20, , , , 
2018/10/11, 28, , , , 
2018/10/12, 20, , , , 
2018/10/13, 23, , , , 
2018/10/14, 32, , , , 
2018/10/15, 28, , , , 
2018/10/16, 22, , , , 
2018/10/17, 28, , , , 
2018/10/18, 31, , , , 
2018/10/19, 53, , , , 
2018/10/20, 27, , , , 
2018/10/21, 18, , , , 
2018/10/22, 26, , , , 
2018/10/23, 26, , , , 
2018/10/24, 19, , , , 
2018/10/25, 37, , , , 
2018/10/26, 27, , , , 
2018/10/27, 20, , , , 
2018/10/28, 28, , , , 
2018/10/29, 26, , , , 
2018/10/30, 42, , , , 
2018/10/31, 48, , , , 
2018/11/1, 38, , , , 
2018/11/2, 19, , , , 
2018/11/3, 30, , , , 
2018/11/4, 32, , , , 
2018/11/5, 21, , , , 
2018/11/6, 24, , , , 
2018/11/7, 25, , , , 
2018/11/8, 43, , , , 
2018/11/9, 31, , , , 
2018/11/10, 25, , , , 
2018/11/11, 47, , , , 
2018/11/12, 62, , , , 
2018/11/13, 49, , , , 
2018/11/14, 32, , , , 
2018/11/15, 28, , , , 
2018/11/16, 44, , , , 
2018/11/17, 66, , , , 
2018/11/18, 64, , , , 
2018/11/19, 44, , , , 
2018/11/20, 43, , , , 
2018/11/21, 49, , , , 
2018/11/22, 17, , , , 
2018/11/23, 29, , , , 
2018/11/24, 31, , , , 
2018/11/25, 53, , , , 
2018/11/26, 19, , , , 
2018/11/27, 23, , , , 
2018/11/28, 38, , , , 
2018/11/29, 53, , , , 
2018/11/30, 73, , , , 
2018/12/1, 43, , , , 
2018/12/2, 27, , , , 
2018/12/3, 16, , , , 
2018/12/4, 21, , , , 
2018/12/5, 37, , , , 
2018/12/6, 37, , , , 
2018/12/7, 35, , , , 
2018/12/8, 59, , , , 
2018/12/9, 46, , , , 
2018/12/10, 61, , , , 
2018/12/11, 62, , , , 
2018/12/12, 62, , , , 
2018/12/13, 61, , , , 
2018/12/14, 62, , , , 
2018/12/15, 44, , , , 
2018/12/16, 24, , , , 
2018/12/17, 45, , , , 
2018/12/18, 32, , , , 
2018/12/19, 61, , , , 
2018/12/20, 41, , , , 
2018/12/21, 27, , , , 
2018/12/22, 31, , , , 
2018/12/23, 39, , , , 
