date, pm25, pm10, o3, so2, co
2019/1/22, , 12, , , 4
2019/1/23, , 9, , , 4
2019/1/24, , 10, , , 4
2019/1/25, , 11, , 1, 5
2019/1/26, , 13, , 1, 5
2019/1/27, , 11, , , 5
2019/1/28, , 17, , 1, 5
2019/1/29, , 22, , 1, 6
2019/1/30, , 22, , 1, 6
2019/1/31, , 27, , 1, 7
2019/2/1, , 27, , 1, 7
2019/2/3, , 2, , 1, 4
2019/2/5, , 4, , 1, 5
2019/2/6, , 5, , , 3
2019/2/7, , 9, , , 4
2019/2/8, , 7, , , 4
2019/2/10, , 4, , 1, 3
2019/2/11, , 5, , , 4
2019/2/12, , 8, , 1, 5
2019/2/14, , 10, , 1, 5
2019/2/15, , 11, , 1, 6
2019/2/18, , 5, , , 4
2019/2/19, , 10, , 1, 5
2019/2/20, , 5, , 1, 6
2019/2/21, , 6, , 1, 5
2019/2/22, , 9, , 1, 6
2019/2/25, , 8, , 1, 5
2019/2/26, , 7, , 1, 5
2019/2/28, , 8, , 1, 5
2019/3/1, , 16, , 1, 7
2019/3/4, , 14, , 1, 6
2019/3/5, , 16, , 1, 5
2019/3/6, , 12, , 1, 6
2019/3/8, , 9, , 1, 5
2019/3/9, , 8, , 1, 
2019/3/10, , 8, , 1, 
2019/3/11, , 19, , 1, 6
2019/3/12, , 13, , 1, 5
2019/3/13, , 3, , 1, 5
2019/3/15, , 20, , 1, 7
2019/3/17, , 17, , 1, 7
2019/3/18, , 27, , 1, 6
2019/3/19, , 27, , 1, 5
2019/3/21, , 27, , 1, 4
2019/3/23, , 12, , 1, 6
2019/3/25, , 10, , 1, 3
2019/3/26, , 21, , 1, 4
2019/3/28, , 8, , 1, 4
2019/3/29, , 10, , 1, 4
2019/3/30, , 12, , 1, 4
2018/10/1, , 34, , , 9
2018/10/2, , 31, , , 8
2018/10/3, , 22, , , 8
2018/10/4, , 12, , , 6
2018/10/5, , 12, , , 2
2018/10/6, , 8, , , 1
2018/10/7, , 4, , , 2
2018/10/8, , 10, , , 2
2018/10/9, , 7, , , 2
2018/10/10, , 8, , , 2
2018/10/11, , 10, , , 3
2018/10/12, , 13, , , 3
2018/10/13, , 11, , , 1
2018/10/14, , 11, , , 2
2018/10/15, , 14, , , 4
2018/10/16, , 19, , , 4
2018/10/17, , 22, , , 4
2018/10/18, , 28, , , 5
2018/10/19, , 31, , , 4
2018/10/20, , 28, , , 3
2018/10/21, , 26, , , 4
2018/10/22, , 27, , , 4
2018/10/23, , 22, , , 3
2018/10/24, , 15, , , 3
2018/10/25, , 15, , , 4
2018/10/26, , 24, , , 4
2018/10/27, , 24, , , 3
2018/10/28, , 14, , , 2
2018/10/29, , 9, , , 3
2018/10/30, , 11, , , 3
2018/10/31, , 12, , , 5
2018/11/1, , 14, , , 5
2018/11/2, , 11, , , 2
2018/11/3, , 13, , , 
2018/11/5, , 11, , 1, 3
2018/11/6, , 12, , , 3
2018/11/7, , 14, , , 3
2018/11/8, , 16, , , 4
2018/11/9, , 20, , , 3
2018/11/10, , 17, , , 3
2018/11/11, , 10, , , 4
2018/11/12, , 17, , , 6
2018/11/13, , 28, , 1, 5
2018/11/14, , 35, , 1, 6
2018/11/15, , 34, , 1, 6
2018/11/16, , 33, , , 4
2018/11/17, , 22, , , 4
2018/11/18, , 15, , , 5
2018/11/19, , 19, , 1, 6
2018/11/20, , 23, , 1, 5
2018/11/21, , 29, , , 2
2018/11/22, , 20, , , 3
2018/11/23, , 3, , , 3
2018/11/24, , 5, , , 4
2018/11/25, , 10, , , 7
2018/11/26, , 15, , , 7
2018/11/27, , 12, , , 8
2018/11/28, , 10, , , 7
2018/11/29, , 7, , , 7
2018/11/30, , 5, , , 5
2018/12/1, , 4, , , 6
2018/12/2, , 5, , , 6
2018/12/3, , 6, , , 8
2018/12/4, , 8, , , 7
2018/12/5, , 10, , , 8
2018/12/6, , 19, , , 9
2018/12/7, , 17, , , 8
2018/12/8, , 20, , , 7
2018/12/9, , 9, , , 7
2018/12/10, , 8, , , 7
2018/12/11, , 7, , , 6
2018/12/12, , 5, , , 6
2018/12/13, , 17, , , 7
2018/12/14, , 13, , , 8
2018/12/15, , 11, , , 7
2018/12/16, , 10, , , 9
2018/12/17, , 9, , , 7
2018/12/18, , 9, , 1, 7
2018/12/19, , 14, , , 8
2018/12/20, , 21, , 1, 6
2018/12/21, , 9, , , 6
2018/12/22, , 12, , , 6
2018/12/23, , 8, , , 7
2018/12/24, , 7, , , 5
2018/12/25, , 4, , , 6
2018/12/26, , 13, , , 5
2018/12/27, , 3, , , 6
2018/12/28, , 7, , , 7
2018/12/29, , 8, , 1, 6
2018/12/30, , 5, , , 
2018/7/1, , 10, , , 3
2018/7/2, , 10, , , 2
2018/7/3, , 15, , , 3
2018/7/4, , 20, , , 4
2018/7/5, , 38, , , 4
2018/7/6, , 18, , , 4
2018/7/7, , 13, , , 3
2018/7/8, , 19, , , 6
2018/7/9, , 27, , , 3
2018/7/11, , 18, , , 4
2018/7/12, , 21, , , 5
2018/7/13, , 22, , , 5
2018/7/14, , 21, , , 4
2018/7/15, , 20, , , 5
2018/7/16, , 33, , , 5
2018/7/17, , 20, , , 5
2018/7/18, , 20, , , 5
2018/7/19, , 23, , , 6
2018/7/20, , 26, , , 4
2018/7/21, , 21, , , 4
2018/7/22, , 15, , , 5
2018/7/23, , 25, , , 6
2018/7/24, , 37, , , 6
2018/7/25, , 38, , , 5
2018/7/26, , 33, , , 6
2018/7/27, , 29, , , 6
2018/7/28, , 29, , , 5
2018/7/29, , 23, , , 7
2018/7/30, , 39, , , 9
2018/7/31, , 51, , , 8
2018/8/1, , 49, , , 8
2018/8/2, , 51, , , 6
