date, pm25, o3, no2, so2
2018/11/3, 24, 23, 5, 
2018/11/4, 38, 18, 15, 
2018/11/5, 47, 11, 8, 
2018/11/6, 26, 19, 11, 
2018/11/7, 36, 19, 6, 
2018/11/8, 40, 12, 11, 
2018/11/9, 39, 27, 4, 
2018/11/10, 38, 21, 12, 
2018/11/11, 58, 17, 13, 
2018/11/12, 71, 19, 8, 
2018/11/13, 37, 26, 4, 
2018/11/14, 33, 19, 16, 
2018/11/15, 32, 22, 4, 
2018/11/16, 32, 20, 8, 
2018/11/17, 70, 18, 11, 
2018/11/18, 74, 8, 18, 
2018/11/19, 108, 19, 10, 
2018/11/20, 85, 22, 8, 
2018/11/21, 56, 28, 1, 
2018/11/22, 22, 24, 10, 
2018/11/23, 37, 13, 22, 
2018/11/24, 65, 24, 10, 
2018/11/25, 56, 18, 10, 
2018/11/26, 63, 18, 2, 
2018/11/27, 20, 20, 1, 
2018/11/28, 32, 20, 5, 
2018/11/29, 48, 11, 13, 
2018/11/30, 60, 11, 12, 
2018/12/1, 81, 12, 12, 
2018/12/2, 39, 19, 5, 
2018/12/3, 38, 22, 6, 
2018/12/4, 17, 10, 19, 
2018/12/5, 47, 18, 8, 
2018/12/6, 63, 22, 10, 
2018/12/7, 43, 21, 11, 
2018/12/8, 79, 15, 14, 
2018/12/9, 79, 21, 14, 
2018/12/10, 79, 15, 22, 
2018/12/11, 95, 19, 15, 
2018/12/12, 88, 24, 15, 
2018/12/13, 76, 8, 25, 
2018/12/14, 71, 10, 22, 
2018/12/15, 70, 19, 13, 
2018/12/16, 40, 23, 6, 
2018/12/17, 43, 27, 10, 
2018/12/18, 29, 16, 19, 
2018/12/19, 77, 9, 27, 
2018/12/20, 100, 31, 1, 
2018/12/21, 55, 21, , 
2018/12/22, 52, 20, , 
2018/12/23, 67, 22, 1, 
2018/12/24, 73, 19, 6, 
2018/12/25, 64, 15, 13, 
2018/12/26, 90, 20, 12, 
2018/12/27, 105, 23, 12, 
2018/12/28, 65, 19, 8, 
2018/12/29, 61, 15, 8, 
2018/12/30, 78, , , 
2018/7/1, 65, 54, 6, 
2018/7/2, 75, 51, 8, 
2018/7/3, 77, 35, 5, 
2018/7/4, 60, 21, 3, 
2018/7/5, 39, 30, 2, 
2018/7/6, 42, 42, , 
2018/7/7, 39, 45, , 
2018/7/8, 51, 67, , 
2018/7/9, 53, 76, , 
2018/7/10, 59, 40, , 
2018/7/11, 54, 38, , 
2018/7/12, 60, 43, 9, 
2018/7/13, 56, 47, 4, 
2018/7/14, 53, 40, 2, 
2018/7/15, 52, 54, 5, 
2018/7/16, 65, 39, 2, 
2018/7/17, 53, 33, 2, 
2018/7/18, 41, 58, 3, 
2018/7/19, 45, 45, 9, 
2018/7/20, 41, 25, 10, 
2018/7/21, 34, 25, , 
2018/7/22, 19, 20, , 
2018/7/23, 36, 16, , 
2018/7/24, 37, 30, , 
2018/7/25, 23, 40, 4, 
2018/7/26, 22, 37, 2, 
2018/7/27, 21, 42, 3, 
2018/7/28, 23, 34, 3, 
2018/7/29, 36, 32, 9, 
2018/7/30, 41, 32, 5, 
2018/7/31, 37, 28, , 
2018/8/1, 33, 21, 4, 
2018/8/2, 36, 16, 4, 
2018/8/9, 46, 52, 6, 
2018/8/10, 51, 38, 5, 
2018/8/11, 47, 41, 3, 
2018/8/12, 43, 41, 5, 
2018/8/13, 26, 29, 5, 
2018/8/14, 23, 46, 4, 
2018/8/15, 54, 51, 8, 
2018/8/16, 68, 40, 4, 
2018/8/17, 66, 33, 4, 
2018/8/18, 41, 18, 8, 
2018/8/19, 42, 24, 5, 
2018/8/20, 36, 24, 5, 
2018/8/21, 30, 36, 3, 
2018/8/22, 35, 27, 4, 
2018/8/23, 47, 37, 7, 
2018/8/24, 64, 36, 6, 
2018/8/25, 60, 36, 5, 
2018/8/26, 46, 44, 6, 
2018/8/27, 73, 43, 8, 
2018/8/28, 78, 44, 9, 
2018/8/29, 72, 39, 5, 
2018/8/30, 45, 23, 5, 
2018/8/31, 45, 23, 6, 
2018/9/1, 48, 28, 3, 
2018/9/2, 41, 30, 7, 
2018/9/3, 55, 37, 6, 
2018/9/4, 51, 51, 9, 
2018/9/5, 58, 36, 4, 
2018/9/6, 58, 41, 7, 
2018/9/7, 47, 16, 5, 
2018/9/8, 39, 13, 11, 
2018/9/9, 52, 17, 11, 
2018/9/10, 43, 6, 10, 
2018/9/11, 45, 12, 9, 
2018/9/12, 48, 11, 9, 
2018/9/13, 24, 13, 9, 
2018/9/14, 18, 26, 5, 
2018/9/15, 12, 28, 4, 
2018/9/16, 17, 21, 5, 
2018/9/17, 6, 18, 4, 
2018/9/18, 6, 33, 4, 
2018/9/19, 11, 20, , 
2018/9/20, 9, 23, 3, 
2018/9/21, 12, 22, 2, 
2018/9/22, 14, 12, 4, 
2018/9/23, 31, 22, 8, 
2018/9/24, 31, 20, 3, 
2018/9/25, 19, 22, 3, 
2018/9/26, 11, 27, 5, 
2018/9/27, 18, 21, 6, 
2018/9/28, 23, 38, 4, 
2018/9/29, 20, 35, 5, 
2018/9/30, 29, 33, 4, 
2018/4/1, 27, 29, 10, 
2018/4/2, 36, 27, 4, 
2018/4/3, 32, 33, 10, 
2018/4/4, 37, 34, 9, 
2018/4/5, 32, 36, 5, 
2018/4/6, 46, 36, 2, 
2018/4/7, 23, 33, 4, 
2018/4/8, 31, 31, 5, 
2018/4/9, 36, 33, 5, 
2018/4/10, 54, 34, , 
2018/4/11, 44, 41, 6, 
2018/4/12, 49, 47, 8, 
2018/4/13, 48, 39, 10, 
2018/4/14, 59, 27, 17, 
2018/4/15, 45, 33, 11, 
2018/4/16, 30, 27, 3, 
2018/4/17, 24, 31, 4, 
2018/4/18, 30, 32, 9, 
2018/4/19, 34, 35, 2, 
2018/4/20, 29, 39, 9, 
2018/4/21, 34, 40, 6, 
2018/4/22, 38, 42, 14, 
2018/4/23, 43, 38, 10, 
2018/4/24, 33, 32, 7, 
2018/4/25, 22, 38, 8, 
2018/4/26, 17, 28, 16, 
2018/4/27, 45, 41, 8, 
2018/4/28, 50, 29, 1, 
2018/4/29, 19, 39, 5, 
2018/4/30, 26, 53, 12, 
2018/5/1, 44, 50, 10, 
2018/5/2, 48, 45, 9, 
2018/5/3, 56, 41, 12, 
2018/5/4, 58, 40, 2, 
2018/5/5, 24, 34, 5, 
2018/5/6, 37, 42, 4, 
2018/5/7, 36, 39, 8, 
2018/5/8, 37, 42, 11, 
2018/5/9, 33, 34, 6, 
2018/5/10, 32, 43, 3, 
2018/5/11, 33, 36, 6, 
2018/5/12, 55, 26, 6, 
2018/5/13, 35, 25, 6, 
2018/5/14, 38, 38, 5, 
2018/5/15, 40, 17, 12, 
2018/5/16, 38, 15, 11, 
2018/5/17, 26, 22, 19, 
2018/5/18, 47, 18, 10, 
2018/5/19, 46, 31, 3, 
2018/5/20, 22, 44, 2, 
2018/5/21, 32, 24, 9, 
2018/5/22, 35, 34, 9, 
2018/5/23, 33, 49, 3, 
2018/5/24, 40, 45, 4, 
2018/5/25, 51, 42, 4, 
2018/5/26, 51, 27, 7, 
2018/5/27, 34, 20, 2, 
2018/5/28, 20, 25, 4, 
2018/5/29, 38, 20, 5, 
2018/5/30, 22, 15, 9, 
2018/5/31, 32, 35, 6, 
2018/6/1, 47, 49, 7, 
2018/6/2, 40, 16, 9, 
2018/6/3, 45, 29, 4, 
2018/6/4, 23, 43, 5, 
2018/6/5, 25, 29, 4, 
2018/6/6, 28, 33, 1, 
2018/6/7, 24, 35, 3, 
2018/6/8, 32, 58, 6, 
2018/6/9, 50, 26, 16, 
2018/6/10, 52, 32, 9, 
2018/6/11, 27, 36, 8, 
2018/6/12, 38, 30, 3, 
2018/6/13, 30, 37, 4, 
2018/6/14, 24, 33, 7, 
2018/6/15, 28, 45, 3, 
2018/6/16, 42, 50, 7, 
2018/6/17, 49, 49, 3, 
2018/6/18, 57, 36, 3, 
2018/6/19, 31, 44, 5, 
2018/6/20, 39, 46, 4, 
2018/6/21, 40, 30, 5, 
2018/6/22, 35, 18, 8, 
2018/6/23, 42, 34, 3, 
2018/6/24, 38, 31, 2, 
2018/6/25, 25, 37, 7, 
2018/6/26, 43, 19, 1, 
2018/6/27, 34, 35, 2, 
2018/6/28, 42, 48, 7, 
2018/6/29, 46, 63, 6, 
2018/6/30, 64, 54, 4, 
2018/1/1, 47, 23, 10, 1
