date, pm25, pm10
2018/8/17, 13, 10
2018/8/18, 30, 35
2018/8/19, 99, 7
2018/8/20, 24, 8
2018/8/21, 23, 26
2018/8/22, 69, 25
2018/8/23, 71, 12
2018/8/24, 39, 10
2018/8/25, 26, 6
2018/8/26, 15, 10
2018/8/27, 34, 16
2018/8/28, 47, 30
2018/8/29, 82, 30
2018/8/30, 76, 13
2018/8/31, 38, 9
2018/9/1, 33, 16
2018/9/2, 54, 15
2018/9/3, 50, 13
2018/9/4, 42, 
2018/9/6, 18, 10
2018/9/7, 29, 9
2018/9/8, 22, 8
2018/9/9, 19, 10
2018/9/10, 24, 11
2018/9/11, 37, 6
2018/9/12, 12, 9
2018/9/13, 16, 9
2018/9/14, 15, 6
2018/9/15, 12, 4
2018/9/16, 12, 5
2018/9/17, 11, 8
2018/9/18, 14, 13
2018/9/19, 41, 7
2018/9/20, 30, 3
2018/9/21, 10, 6
2018/9/22, 17, 8
2018/9/23, 26, 15
2018/9/24, 46, 15
2018/9/25, 61, 12
2018/9/26, 35, 10
2018/9/27, 27, 4
2018/9/28, 10, 7
2018/9/29, 27, 4
2018/9/30, 14, 6
2018/4/1, 7, 7
2018/4/2, 9, 5
2018/4/3, 8, 7
2018/4/4, 12, 10
2018/4/5, 20, 8
2018/4/6, 19, 8
2018/4/7, 19, 10
2018/4/8, 16, 7
2018/4/9, 17, 15
2018/4/10, 19, 19
2018/4/11, 25, 13
2018/4/12, 18, 8
2018/4/13, 19, 10
2018/4/14, 13, 6
2018/4/15, 11, 7
2018/4/16, 16, 15
2018/4/17, 31, 24
2018/4/18, 67, 26
2018/4/19, 65, 26
2018/4/20, 72, 28
2018/4/21, 82, 12
2018/4/22, 35, 23
2018/4/23, 65, 18
2018/4/24, 53, 9
2018/4/25, 20, 10
2018/4/26, 25, 18
2018/4/27, 47, 27
2018/4/28, 75, 18
2018/4/29, 56, 18
2018/4/30, 45, 18
2018/5/1, 37, 24
2018/5/2, 54, 32
2018/5/3, 70, 7
2018/5/4, 12, 10
2018/5/5, 13, 9
2018/5/6, 15, 14
2018/5/7, 16, 17
2018/5/8, 28, 13
2018/5/9, 20, 4
2018/5/10, 12, 7
2018/5/11, 12, 4
2018/5/12, 7, 17
2018/5/13, 72, 23
2018/5/14, 69, 19
2018/5/15, 56, 23
2018/5/16, 57, 10
2018/5/17, 27, 26
2018/5/18, 75, 19
2018/5/19, 56, 5
2018/5/20, 15, 8
2018/5/21, 21, 17
2018/5/22, 36, 19
2018/5/23, 44, 27
2018/5/24, 70, 39
2018/5/25, 99, 30
2018/5/26, 77, 
2018/5/28, 98, 20
2018/5/29, 44, 10
2018/5/30, 23, 20
2018/5/31, 46, 44
2018/6/1, 115, 34
2018/6/2, 98, 37
2018/6/3, 97, 50
2018/6/4, 121, 46
2018/6/5, 120, 47
2018/6/6, 118, 13
2018/6/7, 17, 14
2018/6/8, 21, 26
2018/6/9, 68, 39
2018/6/10, 97, 34
2018/6/11, 76, 26
2018/6/12, 73, 10
2018/6/13, 29, 8
2018/6/14, 15, 7
2018/6/15, 15, 10
2018/6/16, 29, 6
2018/6/17, 17, 6
2018/6/18, 21, 19
2018/6/19, 51, 28
2018/6/20, 71, 23
2018/6/21, 58, 30
2018/6/22, 71, 9
2018/6/23, 26, 16
2018/6/24, 45, 40
2018/6/25, 103, 44
2018/6/26, 112, 42
2018/6/27, 107, 20
2018/6/28, 66, 25
2018/6/29, 67, 18
2018/6/30, 49, 17
2018/1/1, 5, 4
2018/1/2, 5, 9
2018/1/3, 8, 7
2018/1/4, 6, 6
2018/1/5, 6, 10
2018/1/6, 17, 17
2018/1/7, 17, 15
2018/1/8, 13, 7
2018/1/9, 7, 9
2018/1/10, 9, 9
2018/1/11, 10, 11
2018/1/12, 13, 6
2018/1/13, 8, 5
2018/1/14, 5, 7
2018/1/15, 12, 19
2018/1/16, 17, 17
2018/1/17, 17, 10
2018/1/18, 11, 13
2018/1/19, 11, 11
2018/1/20, 12, 12
2018/1/21, 15, 12
2018/1/22, 15, 9
2018/1/23, 8, 15
2018/1/24, 14, 13
2018/1/25, 17, 13
2018/1/26, 24, 11
2018/1/27, 15, 12
2018/1/28, 21, 23
2018/1/29, 34, 3
2018/1/30, 5, 4
2018/1/31, 5, 7
2018/2/1, 5, 5
2018/2/2, 6, 5
2018/2/3, 7, 6
2018/2/4, 6, 7
2018/2/5, 7, 8
2018/2/6, 7, 9
2018/2/7, 10, 9
2018/2/8, 11, 7
2018/2/9, 10, 9
2018/2/10, 18, 5
2018/2/11, 6, 5
2018/2/12, 5, 10
2018/2/13, 8, 7
2018/2/14, 7, 8
2018/2/15, 8, 9
2018/2/16, 10, 11
2018/2/17, 9, 3
2018/2/18, 5, 10
2018/2/19, 7, 11
2018/2/20, 8, 10
2018/2/21, 7, 9
2018/2/22, 8, 9
2018/2/23, 11, 7
2018/2/24, 12, 7
2018/2/25, 7, 8
2018/2/26, 6, 8
2018/2/27, 6, 8
2018/2/28, 7, 3
2018/3/1, 6, 7
2018/3/2, 9, 5
2018/3/3, 9, 4
2018/3/4, 5, 
2018/3/6, 7, 11
2018/3/7, 21, 6
2018/3/8, 10, 5
2018/3/9, 6, 6
2018/3/10, 8, 10
2018/3/11, 15, 8
2018/3/12, 13, 5
2018/3/13, 5, 8
2018/3/14, 10, 3
2018/3/15, 5, 6
2018/3/16, 6, 12
2018/3/17, 13, 12
2018/3/18, 11, 9
2018/3/19, 8, 7
2018/3/20, 7, 11
2018/3/21, 7, 6
2018/3/22, 6, 8
2018/3/23, 11, 9
2018/3/24, 13, 7
2018/3/25, 9, 5
2018/3/26, 8, 6
2018/3/27, 11, 10
2018/3/28, 10, 9
2018/3/29, 7, 6
2018/3/30, 7, 7
2018/3/31, 13, 8
2017/10/4, 33, 10
2017/10/5, 25, 2
2017/10/6, 5, 9
2017/10/7, 31, 7
2017/10/8, 10, 7
2017/10/9, 11, 10
2017/10/10, 13, 11
2017/10/11, 15, 7
2017/10/12, 9, 10
