date, pm25, pm10, no2, so2
2018/9/15, 27, 13, 4, 
2018/9/16, 27, 8, , 
2018/9/17, 22, 10, , 
2018/9/18, 30, 12, 7, 
2018/9/19, 23, 8, 6, 
2018/9/20, 23, 10, 6, 
2018/9/21, 22, 10, 5, 
2018/9/22, 25, 10, 6, 
2018/9/23, 30, 13, 4, 
2018/9/24, 26, 8, 3, 
2018/9/25, 39, 17, 2, 
2018/9/26, 23, 16, 3, 
2018/9/27, 40, 13, 5, 
2018/9/28, 34, 11, 6, 
2018/9/29, 34, 9, 5, 
2018/9/30, 24, 8, 3, 
2018/3/27, 12, 8, 1, 
2018/3/28, 24, 10, 2, 
2017/10/1, 20, 19, 2, 
2017/10/2, 40, 14, 3, 
2017/10/3, 22, 11, 4, 
2017/10/4, 15, 14, 3, 
2017/10/5, 26, 14, 4, 
2017/10/6, 33, 15, 1, 
2017/10/7, 31, 9, , 
2017/10/8, 18, 13, 1, 
2017/10/9, 25, , , 
2017/7/1, 18, 7, 2, 
2017/7/2, 19, 10, 4, 
2017/7/3, 27, 14, 8, 
2017/7/4, 34, 12, 8, 
2017/7/5, 35, 8, 4, 
2017/7/6, 25, 8, 7, 
2017/7/7, 25, 9, 5, 
2017/7/8, 28, 8, 3, 
2017/7/9, 17, 13, 7, 
2017/7/10, 29, 11, 8, 
2017/7/11, 29, 11, 8, 
2017/7/12, 30, 9, 7, 
2017/7/13, 24, 12, 6, 
2017/7/14, 26, 12, 7, 
2017/7/15, 25, 17, 6, 
2017/7/16, 50, 13, 6, 
2017/7/17, 41, 12, 5, 
2017/7/18, 31, 16, 7, 
2017/7/19, 46, 13, 3, 
2017/7/20, 35, 12, 4, 
2017/7/21, 25, 16, 3, 
2017/7/22, 33, 13, 4, 
2017/7/23, 23, 10, 7, 
2017/7/24, 27, 12, 7, 
2017/7/25, 32, 16, 7, 
2017/7/26, 31, 13, 5, 
2017/7/27, 38, 9, 7, 
2017/7/28, 26, 10, 7, 
2017/7/29, 40, 29, 9, 
2017/8/2, 32, 9, 5, 
2017/8/3, 23, 13, 9, 
2017/8/4, 35, 13, 5, 
2017/8/5, 42, 9, , 
2017/8/6, 16, 8, 4, 
2017/8/7, 27, 9, 1, 
2017/8/8, 21, 12, 2, 
2017/8/9, 20, 10, 4, 
2017/8/10, 20, 9, 3, 
2017/8/11, 28, , , 
2017/8/14, 23, 12, 6, 
2017/8/15, 25, 12, 5, 
2017/8/16, 32, 8, 3, 
2017/8/17, 24, 15, 5, 
2017/8/18, 35, 10, 2, 
2017/8/19, 22, 9, 2, 
2017/8/20, 24, 13, 7, 
2017/8/21, 29, 20, 8, 
2017/8/22, 39, 19, 8, 
2017/8/23, 39, 14, 5, 
2017/8/24, 39, 15, 6, 
2017/8/25, 27, 12, 3, 
2017/8/26, 30, 14, , 
2017/8/27, 22, 17, 2, 
2017/8/28, 31, 11, 7, 
2017/8/29, 30, 10, 6, 
2017/8/30, 34, 8, 7, 
2017/8/31, 25, 9, 4, 
2017/9/1, 30, 5, 2, 
2017/9/2, 13, 5, 3, 
2017/9/3, 18, 10, 6, 
2017/9/4, 23, 8, 5, 
2017/9/5, 19, 8, 2, 
2017/9/6, 19, , , 
2017/9/11, 22, 17, 4, 
2017/9/12, 27, 10, 4, 
2017/9/13, 25, 20, 3, 
2017/9/14, 43, 14, 1, 
2017/9/15, 26, 15, 2, 
2017/9/16, 23, 15, 2, 
2017/9/17, 29, 9, 3, 
2017/9/18, 21, 11, 6, 
2017/9/19, 30, 11, 6, 
2017/9/20, 30, 9, 3, 
2017/9/21, 17, 11, 6, 
2017/9/22, 26, 11, 3, 
2017/9/23, 23, 9, 3, 
2017/9/24, 19, 13, 3, 
2017/9/25, 24, 14, 2, 
2017/9/26, 29, 16, 5, 
2017/9/27, 34, 20, 6, 
2017/9/28, 34, 10, 5, 
2017/9/29, 24, 8, 4, 
2017/9/30, 26, 13, 2, 
2017/4/1, 26, 5, 1, 
2017/4/2, 19, 7, 2, 
2017/4/3, 21, 7, , 
2017/4/4, 17, 11, 1, 
2017/4/5, 18, 13, 3, 
2017/4/6, 23, 13, 5, 
2017/4/7, 23, 19, 5, 
2017/4/8, 28, 12, 2, 
2017/4/9, 21, 19, 1, 
2017/4/10, 19, 15, 1, 
2017/4/11, 26, 16, 1, 
2017/4/12, 22, 12, 4, 
2017/4/13, 18, 11, 1, 
2017/4/14, 26, 13, 2, 
2017/4/15, 20, 14, 8, 
2017/4/16, 26, , , 
2017/4/18, 22, 16, 7, 
2017/4/19, 30, 12, 7, 
2017/4/20, 22, 14, 6, 
2017/4/21, 30, 17, 5, 
2017/4/22, 33, 13, 7, 
2017/4/23, 36, 10, 6, 
2017/4/24, 20, 18, 6, 1
2017/4/25, 25, 19, 7, 
2017/4/26, 40, 22, 6, 
2017/4/27, 41, 20, 3, 
2017/4/28, 20, 9, 2, 
2017/4/29, 12, 9, 1, 
2017/4/30, 18, 13, 4, 
2017/5/1, 30, 13, 7, 
2017/5/2, 29, 15, 5, 
2017/5/3, 37, 12, 4, 
2017/5/4, 29, 24, 8, 
2017/5/5, 39, 24, 7, 
2017/5/6, 37, 16, 4, 
2017/5/7, 38, 17, 5, 
2017/5/8, 38, 14, 6, 
2017/5/9, 38, 10, , 
2017/5/10, 24, 13, 1, 
2017/5/11, 17, 11, 4, 
2017/5/12, 26, 10, 5, 
2017/5/13, 28, 18, 9, 
2017/5/14, 32, 11, 9, 
2017/5/15, 24, 15, 6, 
2017/5/16, 32, 11, 1, 
2017/5/17, 23, 17, 2, 
2017/5/18, 28, 24, 3, 
2017/5/19, 30, 14, 2, 
2017/5/20, 25, 13, 4, 
2017/5/21, 28, 23, 10, 1
2017/5/22, 58, 22, 7, 1
2017/5/23, 60, 9, 6, 
2017/5/24, 28, 13, 7, 
2017/5/25, 40, 12, 4, 
2017/5/26, 23, 8, 5, 
2017/5/27, 20, 7, 4, 
2017/5/28, 19, 11, 6, 
2017/5/29, 28, 10, 6, 
2017/5/30, 24, 9, 5, 
2017/5/31, 22, 18, 6, 
2017/6/1, 42, 8, 3, 
2017/6/2, 17, 8, 5, 1
2017/6/3, 26, 9, 6, 
2017/6/4, 30, 11, 5, 
2017/6/5, 38, 12, 6, 
2017/6/6, 39, 12, 8, 
2017/6/7, 34, 13, 8, 
2017/6/8, 32, 20, 9, 
2017/6/9, 45, 11, 5, 
2017/6/10, 29, 19, 5, 
2017/6/11, 39, 15, 8, 
2017/6/12, 40, 9, 5, 
2017/6/13, 31, 24, 3, 
2017/6/14, 39, 27, 6, 
2017/6/15, 44, 14, 6, 
2017/6/16, 30, 15, 6, 
2017/6/17, 47, 11, 4, 
2017/6/18, 38, 13, 7, 
2017/6/19, 26, 21, 6, 
2017/6/20, 43, 21, 1, 
2017/6/21, 26, 12, 2, 
2017/6/22, 18, 9, 7, 
2017/6/23, 27, 12, 4, 
2017/6/24, 30, 14, 3, 
2017/6/25, 22, 15, 8, 
2017/6/26, 27, 19, 9, 
2017/6/27, 48, 17, 7, 
2017/6/28, 48, 21, 9, 
2017/6/29, 55, 15, 4, 
2017/6/30, 51, 12, , 
2017/1/2, 21, 5, 1, 
2017/1/3, 12, 10, 1, 
2017/1/4, 21, 21, 2, 
2017/1/5, 31, 18, 3, 
2017/1/6, 27, 11, 1, 
2017/1/7, 16, 9, 1, 
2017/1/8, 18, 12, 2, 
2017/1/9, 20, 10, 2, 
2017/1/10, 27, 7, 2, 
2017/1/11, 16, 8, 2, 
2017/1/12, 18, 12, 2, 
2017/1/13, 26, 17, 2, 
2017/1/14, 25, 10, 1, 
2017/1/15, 21, 28, 3, 
2017/1/16, 44, 22, 3, 
2017/1/17, 34, 18, 3, 
2017/1/18, 28, 18, 2, 
2017/1/19, 28, 16, 2, 
2017/1/20, 28, 16, 2, 
2017/1/21, 31, 23, , 
2017/1/22, 30, 25, 1, 
2017/1/23, 43, 19, 3, 
2017/1/24, 27, 12, 2, 
2017/1/25, 17, 29, 3, 
2017/1/26, 45, 19, 2, 
2017/1/27, 29, 17, 2, 
2017/1/28, 35, 17, 2, 
2017/1/29, 30, 10, 1, 
2017/1/30, 17, 11, 3, 
2017/1/31, 25, 10, 3, 
2017/2/1, 18, 11, 2, 
2017/2/2, 22, 12, 2, 
2017/2/3, 19, 14, 2, 
2017/2/4, 26, 16, 1, 
2017/2/5, 24, 15, 2, 
2017/2/6, 30, 8, 2, 
2017/2/7, 19, 15, 3, 
2017/2/8, 26, 9, 2, 
2017/2/9, 18, 10, 4, 
2017/2/10, 27, 11, 3, 
2017/2/11, 17, 8, 2, 
2017/2/12, 24, 18, 2, 
2017/2/13, 37, 9, 7, 
2017/2/14, 32, 22, 5, 
2017/2/15, 33, 16, 6, 
2017/2/16, 24, 5, 4, 
2017/2/17, 34, , , 
2017/2/20, 34, 18, , 
2017/2/21, 23, 16, , 
2017/2/22, 28, 19, , 
2017/2/23, 37, 14, , 
2017/2/24, 31, 11, , 
2017/2/25, 28, 9, , 
2017/2/26, 18, 15, , 
2017/2/27, 30, 10, 2, 
2017/2/28, 29, 10, 4, 
2017/3/1, 23, 14, 4, 
2017/3/2, 28, 12, 4, 
2017/3/3, 24, 9, 2, 
2017/3/4, 14, 12, 1, 
2017/3/5, 20, 12, 4, 
2017/3/6, 24, 9, 3, 
2017/3/7, 16, 5, 3, 1
2017/3/8, 20, 10, , 
2017/3/9, 18, 12, 1, 
2017/3/10, 21, 10, , 
2017/3/11, 21, 16, , 
2017/3/12, 23, 14, , 
2017/3/13, 20, 14, , 
2017/3/14, 24, 13, 2, 1
2017/3/15, 26, 11, 6, 
2017/3/16, 24, 14, 4, 
2017/3/17, 36, 13, 5, 
2017/3/18, 26, 10, 4, 
2017/3/19, 19, 12, 5, 
2017/3/20, 26, 14, 3, 
2017/3/21, 27, 14, 3, 
2017/3/22, 23, 11, 4, 
2017/3/23, 19, 15, 6, 
2017/3/24, 21, 7, 2, 
2017/3/25, 14, 7, , 
2017/3/26, 11, 8, 1, 
2017/3/27, 19, 10, 2, 
2017/3/28, 20, 8, 5, 
2017/3/29, 22, 10, 4, 
2017/3/30, 20, 9, 6, 
2017/3/31, 19, 14, 4, 
2020/1/1, , 9, , 
2019/12/5, , 47, 2, 
2019/12/6, , 23, 1, 
2019/12/7, , 10, , 
2019/12/8, , 17, 3, 
2019/12/9, , 14, 3, 1
2019/12/10, , 16, 5, 1
2019/12/11, , 24, 4, 1
2019/12/12, , 13, 2, 
2019/12/13, , 12, 2, 
2019/12/14, , 10, 1, 
2019/12/15, , 12, 1, 
2019/12/16, , 10, 1, 
2019/12/17, , 20, 2, 
2019/12/18, , 23, 3, 
2019/12/21, , 14, 2, 1
2019/12/22, , 17, 2, 
2019/7/17, , 15, 6, 
2019/7/22, , 20, 9, 
2019/7/23, , 23, 9, 1
2019/7/24, , 20, 5, 
