date, pm25, pm10, o3, so2, co
2019/6/10, 51, 20, 15, 2, 
2019/6/11, 54, 18, 6, 1, 
2019/6/12, 47, 9, 7, , 
2019/6/13, 28, 7, 7, , 
2019/6/14, 21, 3, 7, , 
2019/6/15, 10, 18, 11, , 
2019/6/16, 48, 3, 17, , 
2019/6/17, 16, 3, 16, , 
2019/6/18, 12, 10, 9, , 
2019/6/19, 24, 11, 11, , 
2019/6/20, 33, 6, 7, 1, 
2019/6/21, 17, 15, 10, , 
2019/6/22, 42, 25, 10, , 
2019/6/23, 62, 12, 9, , 
2019/6/24, 35, 11, 9, 23, 
2019/6/25, 25, 19, 8, 21, 
2019/6/26, 49, 8, 8, 4, 
2019/6/27, 20, 12, 12, 1, 
2019/6/28, 36, 10, 12, , 
2019/6/29, 30, 4, 11, , 
2019/6/30, 14, 14, 9, , 
2019/1/2, 40, 10, 31, , 
2019/1/3, 32, , , , 
2019/1/6, 19, 13, 33, , 
2019/1/7, 39, 16, 38, 2, 
2019/1/8, 43, 16, 29, , 
2019/1/9, 43, 98, 145, 44, 55
2019/1/10, 125, 49, 107, 42, 50
2019/1/11, 66, 7, 44, 6, 
2019/1/12, 21, 3, 42, 1, 
2019/1/13, 12, 12, 42, 1, 
2019/1/14, 36, 9, 30, 1, 
2019/1/15, 26, 14, 47, 1, 
2019/1/16, 37, 21, 37, , 
2019/1/17, 56, 8, 42, , 
2019/1/18, 25, 9, 46, , 
2019/1/19, 31, 7, 44, 5, 
2019/1/20, 19, 10, 48, 4, 
2019/1/21, 31, 20, 19, , 
2019/1/22, 51, 23, 22, , 
2019/1/23, 59, 19, 22, , 
2019/1/24, 51, 10, 23, , 
2019/1/25, 27, 17, 21, , 
2019/1/26, 43, 11, 25, , 
2019/1/27, 32, 11, 23, , 
2019/1/28, 31, 15, 24, , 
2019/1/29, 40, 10, 24, , 
2019/1/30, 26, 17, 19, , 
2019/1/31, 49, 18, 9, , 
2019/2/1, 50, 58, 8, , 
2019/2/2, 134, , , , 
2019/2/6, 77, 9, 12, , 
2019/2/7, 27, 15, 8, , 
2019/2/8, 40, 17, 10, , 
2019/2/9, 49, 26, 10, , 
2019/2/10, 64, 19, 15, , 
2019/2/11, 50, 12, 24, , 
2019/2/12, 37, 14, 21, , 
2019/2/13, 41, 11, 23, , 
2019/2/14, 32, 21, 17, , 
2019/2/15, 56, 7, 14, , 
2019/2/16, 23, 6, 12, , 
2019/2/17, 17, 7, 10, , 
2019/2/18, 18, 14, 9, , 
2019/2/19, 39, 28, 8, , 
2019/2/20, 66, 27, 9, , 
2019/2/21, 64, 16, 10, , 
2019/2/22, 44, 232, 11, , 
2019/2/23, 96, 373, 11, , 
2019/2/24, 139, 3, 14, , 
2019/2/25, 10, , 15, , 
2019/2/28, 41, 21, 10, , 
2019/3/1, 51, 18, 10, , 
2019/3/2, 45, 7, 9, , 
2019/3/3, 19, 7, 9, , 
2019/3/4, 20, 16, 9, , 
2019/3/5, 43, 12, 10, , 
2019/3/6, 29, 17, 8, , 
2019/3/7, 41, 12, 9, , 
2019/3/8, 33, 12, 15, , 
2019/3/9, 38, 9, 11, , 
2019/3/10, 29, 10, 13, , 
2019/3/11, 28, 8, 10, , 
2019/3/12, 22, 12, 9, , 
2019/3/13, 33, 13, 22, , 
2019/3/14, 39, 12, 23, , 
2019/3/15, 36, 7, 23, , 
2019/3/16, 19, 3, 22, , 
2019/3/17, 11, 16, 19, , 
2019/3/18, 40, 24, 23, , 
2019/3/19, 59, 13, 23, , 
2019/3/20, 37, 16, 24, , 
2019/3/21, 48, 137, 23, , 
2019/3/22, 102, 16, 22, , 
2019/3/23, 43, 16, 15, , 
2019/3/24, 43, 16, 15, 1, 
2019/3/25, 49, 17, 15, 1, 
2019/3/26, 54, 22, 16, 1, 
2019/3/27, 63, 13, 17, , 
2019/3/28, 40, 9, 15, 1, 
2019/3/29, 28, 12, 13, 2, 
2019/3/30, 34, 12, 13, 2, 
2019/3/31, 36, 14, 13, 1, 
2018/10/1, 24, 21, 21, 5, 
2018/10/2, 57, 17, 20, 3, 
2018/10/3, 51, 24, 22, , 
2018/10/4, 63, 20, 22, , 
2018/10/5, 60, 11, 21, 9, 
2018/10/6, 33, 8, 20, 4, 
2018/10/7, 26, 12, 24, 4, 
2018/10/8, 37, 14, 22, , 
2018/10/9, 37, 18, 20, 1, 
2018/10/10, 49, 12, 18, 1, 
2018/10/11, 38, 12, 17, , 
2018/10/12, 35, 29, 22, 1, 
2018/10/13, 74, 17, 23, 5, 
2018/10/14, 43, 12, 21, 4, 
2018/10/15, 30, 11, 29, 2, 
2018/10/16, 31, 20, 21, 1, 
2018/10/17, 55, 17, 19, , 
2018/10/18, 45, 22, 30, , 
2018/10/19, 54, 8, 35, , 
2018/10/20, 19, 6, 33, 1, 
2018/10/21, 16, 21, 30, , 
2018/10/22, 54, 17, 28, , 
2018/10/23, 47, 5, 26, , 
2018/10/24, 16, 15, 29, , 
2018/10/25, 41, 12, 28, , 
2018/10/26, 36, 7, 28, , 
2018/10/27, 21, 5, 27, 3, 
2018/10/28, 13, 11, 29, 7, 
2018/10/29, 31, 8, 25, 2, 
2018/10/30, 23, 12, 24, , 
2018/10/31, 36, 12, 32, , 
2018/11/1, 34, 15, 32, , 
2018/11/2, 37, 14, 26, 2, 
2018/11/3, 32, 7, 23, 7, 
2018/11/4, 19, 12, 22, 8, 
2018/11/5, 32, 21, 18, 1, 
2018/11/6, 54, 21, 18, , 
2018/11/7, 53, 17, 18, 4, 
2018/11/8, 42, 19, 17, 2, 
2018/11/9, 50, 13, 18, 2, 
2018/11/10, 34, 5, 18, , 
2018/11/11, 14, 14, 17, 1, 
2018/11/12, 33, 12, 17, 2, 
2018/11/13, 36, 12, 27, , 
2018/11/14, 35, 21, 32, 3, 
2018/11/15, 57, 22, 20, 3, 
2018/11/16, 69, 11, 18, 3, 
2018/11/17, 38, 7, 23, 2, 
2018/11/18, 22, 13, 27, 7, 
2018/11/19, 39, 19, 23, 9, 
2018/11/20, 47, 25, 25, 12, 
2018/11/21, 68, 24, 19, 5, 
2018/11/22, 69, 23, 30, 1, 
2018/11/23, 71, 13, 28, 1, 
2018/11/24, 42, 15, 28, 2, 
2018/11/25, 48, 12, 29, 3, 
2018/11/26, 44, 23, 29, 1, 
2018/11/27, 63, 19, 27, 1, 
2018/11/28, 64, 10, 26, 1, 
2018/11/29, 42, 8, 28, 2, 
2018/11/30, 32, 21, 23, 1, 
2018/12/1, 61, , , , 
2018/12/4, 64, 31, 29, , 
2018/12/5, 92, 33, 28, 1, 
2018/12/6, 96, 23, 27, 1, 
2018/12/7, 69, 17, 28, 5, 
2018/12/8, 55, 16, 29, 6, 
2018/12/9, 53, 19, 26, 1, 
2018/12/10, 61, 11, 28, 1, 
2018/12/11, 38, 15, 28, 11, 
2018/12/12, 54, 6, 24, 7, 
2018/12/13, 23, 11, 21, 1, 
2018/12/14, 36, 19, 60, 8, 
2018/12/15, 54, 9, 68, 5, 
2018/12/16, 29, 8, 63, 1, 
2018/12/17, 28, , 73, , 
2018/12/22, 31, 8, 49, 2, 
2018/12/23, 21, 7, 44, 4, 
2018/12/24, 19, 9, 33, 3, 
2018/12/25, 25, 7, 23, 1, 
2018/12/26, 19, 20, 28, 1, 
2018/12/27, 49, 27, 27, 1, 
2018/12/28, 68, 8, 23, 1, 
2018/12/29, 25, 13, , , 
2018/7/1, 29, 49, 6, 3, 
2018/7/2, 79, 14, 11, 3, 
2018/7/3, 47, 16, 17, 3, 
2018/7/4, 52, 12, 15, 3, 
2018/7/5, 38, 10, 15, 3, 
2018/7/6, 32, 4, 11, 3, 
2018/7/7, 15, 11, 12, 3, 
2018/7/8, 33, 11, 13, 3, 
2018/7/9, 35, 13, 11, 5, 
2018/7/10, 39, 4, 12, 7, 
2018/7/11, 15, 13, 7, 8, 
2018/7/12, 39, 24, 4, 7, 
2018/7/13, 66, 25, 6, 14, 
2018/7/14, 66, 24, 10, 5, 
2018/7/15, 64, 16, 13, 3, 
2018/7/16, 48, 7, 13, 3, 
2018/7/17, 25, , , , 
2018/7/19, 28, 4, 9, 3, 
2018/7/20, 12, 10, 10, 4, 
