date, pm25, o3, no2, co
2019/6/16, 24, 26, 3, 3
2019/6/17, 30, 23, 3, 2
2019/6/18, 20, 28, 3, 3
2019/6/19, 25, 25, 2, 3
2019/6/20, 21, 22, 2, 3
2019/6/21, 12, 22, 1, 2
2019/6/22, 15, 32, 1, 1
2019/6/23, 20, 21, 2, 1
2019/6/24, 14, 25, 3, 1
2019/6/25, 16, 20, 2, 1
2019/6/26, 18, 17, 1, 1
2019/6/27, 15, 14, 2, 2
2019/6/28, 19, 15, 1, 2
2019/6/29, 23, 21, 1, 2
2019/6/30, 20, 20, 1, 1
2019/1/1, 17, 28, 3, 1
2019/1/2, 11, 19, 16, 2
2019/1/3, 24, 18, 12, 2
2019/1/4, 31, 14, 8, 3
2019/1/5, 26, 20, 2, 2
2019/1/6, 11, 28, 3, 2
2019/1/7, 10, 24, 12, 2
2019/1/8, 24, 27, 4, 1
2019/1/9, 11, 26, 3, 1
2019/1/10, 7, 28, 2, 
2019/1/11, 14, 29, 1, 
2019/1/12, 8, 28, 3, 1
2019/1/13, 18, 21, 17, 3
2019/1/14, 39, 23, 14, 2
2019/1/15, 35, 24, 11, 3
2019/1/16, 23, 31, 4, 2
2019/1/17, 14, 28, 19, 4
2019/1/18, 23, 31, 2, 3
2019/1/19, 13, 29, 2, 2
2019/1/20, 12, 30, 4, 3
2019/1/21, 9, 30, 3, 3
2019/1/22, 8, 29, 7, 1
2019/1/23, 15, 29, 15, 2
2019/1/24, 15, 30, 4, 1
2019/1/25, 16, 28, 3, 2
2019/1/26, 16, 28, 3, 2
2019/1/27, 16, 33, 2, 2
2019/1/28, 13, 28, 4, 2
2019/1/29, 16, 27, 4, 1
2019/1/30, 16, 29, 4, 1
2019/1/31, 18, 30, 3, 1
2019/2/1, 13, 32, 2, 1
2019/2/2, 12, 30, 6, 2
2019/2/3, 19, 28, 7, 3
2019/2/4, 33, 27, 7, 3
2019/2/5, 27, 28, 2, 2
2019/2/6, 9, 31, 6, 2
2019/2/7, 16, 25, 3, 1
2019/2/8, 11, 33, 1, 1
2019/2/9, 11, 32, 1, 2
2019/2/10, 11, 33, 1, 2
2019/2/11, 11, 29, 7, 3
2019/2/12, 17, 32, 2, 2
2019/2/13, 19, 32, 2, 2
2019/2/14, 17, 31, 11, 3
2019/2/15, 22, 30, 2, 1
2019/2/16, 10, 33, 1, 
2019/2/17, 11, 33, 2, 
2019/2/18, 12, 30, 1, 1
2019/2/19, 10, 31, 3, 1
2019/2/20, 9, 29, 11, 2
2019/2/21, 25, 32, 4, 1
2019/2/22, 21, 33, 4, 1
2019/2/23, 19, 32, 7, 1
2019/2/24, 29, 33, 3, 2
2019/2/25, 17, 32, 1, 2
2019/2/26, 14, 31, 1, 2
2019/2/27, 10, 32, 2, 2
2019/2/28, 15, 33, 3, 2
2019/3/1, 13, 35, 8, 2
2019/3/2, 25, 34, 5, 2
2019/3/3, 18, 32, 5, 2
2019/3/4, 17, 32, 7, 2
2019/3/5, 17, 34, 15, 2
2019/3/6, 37, 30, 4, 1
2019/3/7, 18, 33, 10, 1
2019/3/8, 20, 34, 4, 2
2019/3/9, 23, 31, 7, 3
2019/3/10, 22, 36, 2, 2
2019/3/11, 8, 33, 2, 1
2019/3/12, 8, 35, 4, 1
2019/3/13, 13, 37, 9, 2
2019/3/14, 22, 37, 2, 1
2019/3/15, 9, 33, 4, 1
2019/3/16, 12, 35, 1, 
2019/3/17, 9, 34, 3, 2
2019/3/18, 10, 34, 6, 3
2019/3/19, 15, 36, 6, 3
2019/3/20, 15, 41, 7, 3
2019/3/21, 18, 34, 3, 2
2019/3/22, 16, 31, 1, 2
2019/3/23, 8, 35, 2, 2
2019/3/24, 8, 35, 2, 3
2019/3/25, 9, 33, 6, 3
2019/3/26, 13, 34, 4, 1
2019/3/27, 13, 38, 8, 2
2019/3/28, 19, 36, 1, 1
2019/3/29, 14, 31, 1, 1
2019/3/30, 15, 35, 1, 1
2019/3/31, 13, 35, 1, 1
2018/10/1, 9, 16, 3, 1
2018/10/2, 12, 16, 3, 1
2018/10/3, 8, 18, 4, 
2018/10/4, 11, 16, 3, 
2018/10/5, 14, 17, 2, 
2018/10/6, 16, 16, 2, 2
2018/10/7, 9, 19, 2, 2
2018/10/8, 9, 13, 2, 2
2018/10/9, 14, 9, 3, 2
2018/10/10, 20, 20, 3, 1
2018/10/11, 11, 17, 4, 2
2018/10/12, 10, 13, 1, 1
2018/10/13, 10, 19, 3, 1
2018/10/14, 15, 24, 4, 1
2018/10/15, 13, 22, 1, 
2018/10/16, 8, 19, 5, 
2018/10/17, 12, 20, 1, 
2018/10/18, 6, 21, 2, 1
2018/10/19, 12, 31, 1, 2
2018/10/20, 19, 16, 3, 2
2018/10/21, 15, 22, 2, 1
2018/10/22, 17, 20, 6, 1
2018/10/23, 12, 23, 2, 1
2018/10/24, 7, 20, 1, 1
2018/10/25, 7, 25, 2, 1
2018/10/26, 20, 22, 5, 2
2018/10/27, 13, 24, 5, 3
2018/10/28, 13, 13, 6, 5
2018/10/29, 18, 10, 5, 4
2018/10/30, 11, 10, 2, 1
2018/10/31, 7, 14, 3, 1
2018/11/1, 10, 16, 4, 1
2018/11/2, 12, 19, 3, 2
2018/11/3, 11, 21, 1, 2
2018/11/4, 7, 16, 6, 3
2018/11/5, 13, 18, 5, 2
2018/11/6, 13, 19, 2, 1
2018/11/7, 6, 16, 1, 1
2018/11/8, 10, 19, 3, 1
2018/11/9, 12, 19, 1, 1
2018/11/10, 10, 26, 1, 1
2018/11/11, 12, 24, 1, 
2018/11/12, 11, 21, 7, 1
2018/11/13, 18, 24, 1, 
2018/11/14, 10, 24, 2, 
2018/11/15, 9, 26, 5, 1
2018/11/16, 21, 23, 3, 1
2018/11/17, 19, 23, 5, 2
2018/11/18, 20, 3, 18, 5
2018/11/19, 43, 19, 5, 2
2018/11/20, 19, 21, 4, 1
2018/11/21, 17, 23, 3, 1
2018/11/22, 19, 25, 2, 1
2018/11/23, 9, 26, 9, 3
2018/11/24, 28, 22, 7, 3
2018/11/25, 34, 23, 4, 1
2018/11/26, 9, 24, 2, 
2018/11/27, 11, 24, 5, 1
2018/11/28, 13, 27, 1, 
2018/11/29, 10, 26, 9, 2
2018/11/30, 18, 19, 6, 1
2018/12/1, 22, 22, 3, 1
2018/12/2, 18, 22, 5, 2
2018/12/3, 14, 25, 1, 1
2018/12/4, 7, 27, 7, 2
2018/12/5, 18, 18, 14, 3
2018/12/6, 35, 15, 11, 4
2018/12/7, 44, 25, 1, 2
2018/12/8, 10, 26, 2, 1
2018/12/9, 16, 21, 7, 1
2018/12/10, 22, 19, 9, 2
2018/12/11, 29, 25, 9, 3
2018/12/12, 24, 25, 4, 3
2018/12/13, 22, 23, 7, 4
2018/12/14, 26, 24, 2, 3
2018/12/15, 16, 17, 6, 4
2018/12/16, 18, 23, 4, 3
2018/12/17, 10, 24, 1, 2
2018/12/18, 11, 25, 2, 2
2018/12/19, 13, 22, 9, 5
2018/12/20, 32, 18, 11, 5
2018/12/21, 42, 26, 2, 1
2018/12/22, 13, 25, 1, 1
2018/12/23, 12, 25, 4, 2
2018/12/24, 15, 27, 1, 2
2018/12/25, 13, 27, 2, 2
2018/12/26, 11, 25, 1, 1
2018/12/27, 8, 24, 4, 1
2018/12/28, 10, 22, 7, 1
2018/12/29, 13, 26, 6, 2
2018/12/30, 15, , , 
2018/7/19, 12, 19, 3, 2
2018/7/20, 12, 20, 3, 1
2018/7/21, 18, , , 
2018/8/17, 15, 14, 2, 2
2018/8/18, 10, 14, 1, 2
2018/8/19, 9, 16, 4, 1
2018/8/20, 14, 20, 3, 
2018/8/21, 22, 15, 3, 1
2018/8/22, 18, 19, 1, 1
2018/8/23, 11, 16, 3, 1
2018/8/24, 29, 29, 3, 1
2018/8/25, 45, 27, 3, 1
2018/8/26, 19, 22, 3, 1
2018/8/27, 25, 28, 4, 2
2018/8/28, 36, 25, 1, 2
2018/8/29, 24, 26, 2, 2
2018/8/30, 24, 18, 2, 2
2018/8/31, 13, 21, 2, 2
2018/9/1, 13, 24, 2, 2
2018/9/2, 18, 28, 1, 2
2018/9/3, 16, 18, 4, 3
2018/9/4, 14, 18, 3, 2
2018/9/5, 16, 24, 2, 2
2018/9/6, 21, 20, 3, 2
2018/9/7, 18, 17, 2, 2
2018/9/8, 20, 14, 4, 2
2018/9/9, 10, 18, 3, 1
2018/9/10, 10, 17, 4, 
2018/9/11, 7, 12, 3, 1
2018/9/12, 12, 16, 3, 1
2018/9/13, 13, 15, 4, 2
