date, pm25, pm10, o3
2018/7/24, 41, , 39
2018/7/25, 40, , 43
2018/7/26, 48, , 48
2018/7/27, 64, , 38
2018/7/28, 50, , 50
2018/7/29, 51, , 34
2018/7/30, 52, , 30
2018/7/31, 42, , 16
2018/8/1, 25, , 17
2018/8/2, 17, , 38
2018/8/3, 24, , 25
2018/8/4, 31, , 22
2018/8/5, 33, , 27
2018/8/6, 37, , 35
2018/8/7, 33, , 39
2018/8/8, 41, , 31
2018/8/9, 34, , 32
2018/8/10, 41, , 28
2018/8/11, 34, , 33
2018/8/12, 49, , 37
2018/8/13, 62, , 44
2018/8/14, 59, , 53
2018/8/15, 64, , 56
2018/8/16, 64, , 24
2018/8/17, 27, , 24
2018/8/18, 31, , 27
2018/8/19, 44, , 24
2018/8/20, 37, , 26
2018/8/21, 42, , 33
2018/8/22, 46, , 39
2018/8/23, 72, , 39
2018/8/24, 58, , 43
2018/8/25, 57, , 38
2018/8/26, 60, , 33
2018/8/27, 55, , 33
2018/8/28, 53, , 37
2018/8/29, 45, , 33
2018/8/30, 17, , 31
2018/8/31, 22, , 21
2018/9/1, 29, , 16
2018/9/2, 23, , 19
2018/9/3, 25, 15, 23
2018/9/4, 36, 13, 21
2018/9/5, 31, 14, 21
2018/9/6, 34, 15, 37
2018/9/7, 39, 14, 28
2018/9/8, 38, 14, 25
2018/9/9, 39, 16, 28
2018/9/10, 39, 14, 29
2018/9/11, 34, 14, 30
2018/9/12, 36, 12, 28
2018/9/13, 32, 10, 25
2018/9/14, 22, 7, 18
2018/9/15, 13, 6, 12
2018/9/16, 12, 9, 28
2018/9/17, 15, 9, 27
2018/9/18, 19, 15, 42
2018/9/19, 38, 20, 44
2018/9/20, 53, 18, 34
2018/9/21, 46, 20, 36
2018/9/22, 54, 18, 30
2018/9/23, 51, 16, 21
2018/9/24, 40, 16, 19
2018/9/25, 43, 13, 24
2018/9/26, 32, 14, 14
2018/9/27, 30, 14, 22
2018/9/28, 30, 18, 31
2018/9/29, 42, 11, 16
2018/9/30, 30, 16, 32
2018/4/1, 43, , 41
2018/4/2, 51, , 22
2018/4/3, 79, , 18
2018/4/4, 22, , 28
2018/4/5, 33, , 20
2018/4/6, 64, , 4
2018/4/7, 44, , 4
2018/4/8, 25, , 5
2018/4/9, 37, , 14
2018/4/10, 38, , 37
2018/4/11, 28, , 46
2018/4/12, 47, , 42
2018/4/13, 59, , 37
2018/4/14, 51, , 30
2018/4/15, 33, , 33
2018/4/16, 25, , 45
2018/4/17, 32, , 45
2018/4/18, 31, , 36
2018/4/19, 35, , 44
2018/4/20, 26, , 47
2018/4/21, 41, , 34
2018/4/22, 31, , 30
2018/4/23, 9, , 32
2018/4/24, 22, , 29
2018/4/25, 21, , 21
2018/4/26, 27, , 46
2018/4/27, 32, , 47
2018/4/28, 41, , 43
2018/4/29, 23, , 47
2018/4/30, 38, , 55
2018/5/1, 56, , 52
2018/5/2, 57, , 47
2018/5/3, 48, , 46
2018/5/4, 56, , 38
2018/5/5, 63, , 44
2018/5/6, 35, , 46
2018/5/7, 35, , 38
2018/5/8, 43, , 52
2018/5/9, 50, , 49
2018/5/10, 53, , 54
2018/5/11, 57, , 52
2018/5/12, 85, , 42
2018/5/14, 68, , 23
2018/5/15, 15, , 18
2018/5/16, 14, , 22
2018/5/17, 23, , 36
2018/5/18, 35, , 44
2018/5/19, 51, , 37
2018/5/20, 44, , 28
2018/5/21, 25, , 24
2018/5/22, 27, , 23
2018/5/23, 14, , 29
2018/5/24, 24, , 24
2018/5/25, 21, , 29
2018/5/26, 33, , 19
2018/5/27, 32, , 18
2018/5/28, 10, , 17
2018/5/29, 17, , 30
2018/5/30, 27, , 40
2018/5/31, 42, , 33
2018/6/1, 28, , 33
2018/6/2, 40, , 41
2018/6/3, 51, , 45
2018/6/4, 31, , 50
2018/6/5, 32, , 46
2018/6/6, 38, , 53
2018/6/7, 53, , 39
2018/6/8, 63, , 49
2018/6/9, 64, , 45
2018/6/10, 62, , 33
2018/6/11, 53, , 25
2018/6/12, 36, , 32
2018/6/13, 44, , 29
2018/6/14, 36, , 42
2018/6/15, 46, , 36
2018/6/16, 50, , 34
2018/6/17, 38, , 37
2018/6/18, 44, , 33
2018/6/19, 50, , 25
2018/6/20, 61, , 27
2018/6/21, 56, , 39
2018/6/22, 34, , 31
2018/6/23, 37, , 23
2018/6/24, 44, , 23
2018/6/25, 36, , 40
2018/6/26, 32, , 33
2018/6/27, 25, , 26
2018/6/28, 22, , 34
2018/6/29, 33, , 32
2018/6/30, 39, , 24
2018/1/1, 44, , 
2018/1/2, 46, , 
2018/1/3, 43, , 
2018/1/4, 44, , 
2018/1/5, 45, , 
2018/1/6, 34, , 
2018/1/7, 49, , 
2018/1/8, 50, , 
2018/1/9, 43, , 
2018/1/10, 35, , 
2018/1/11, 35, , 
2018/1/23, 19, , 
2018/1/24, 21, , 
2018/1/25, 33, , 
2018/1/26, 58, , 
2018/1/27, 49, , 
2018/1/28, 33, , 
2018/1/29, 21, , 
2018/1/30, 29, , 
2018/1/31, 35, , 
2018/2/1, 52, , 
2018/2/2, 14, , 
2018/2/3, 25, , 
2018/2/4, 33, , 
2018/2/5, 46, , 
2018/2/6, 52, , 
2018/2/7, 25, , 
2018/2/8, 37, , 
2018/2/9, 35, , 
2018/2/10, 38, , 
2018/2/11, 15, , 
2018/2/12, 16, , 
2018/2/13, 33, , 
2018/2/14, 48, , 
2018/2/15, 35, , 
2018/2/16, 28, , 
2018/2/17, 22, , 
2018/2/18, 12, , 
2018/2/19, 33, , 
2018/2/20, 44, , 
2018/2/21, 40, , 
2018/2/22, 57, , 
2018/2/23, 54, , 
2018/2/24, 55, , 
2018/2/25, 29, , 17
2018/2/26, 17, , 32
2018/2/27, 17, , 25
2018/2/28, 39, , 27
2018/3/1, 32, , 36
2018/3/2, 16, , 35
2018/3/3, 15, , 39
2018/3/4, 24, , 29
2018/3/5, 71, , 28
2018/3/6, 68, , 30
2018/3/7, 21, , 35
2018/3/8, 36, , 37
2018/3/9, 52, , 37
2018/3/10, 72, , 28
2018/3/11, 53, , 37
2018/3/12, 19, , 37
2018/3/13, 46, , 39
2018/3/15, 58, , 47
2018/3/16, 65, , 31
2018/3/17, 57, , 43
2018/3/18, 44, , 22
2018/3/19, 53, , 31
2018/3/20, 34, , 37
2018/3/21, 26, , 38
2018/3/22, 26, , 15
