date, pm10, no2, so2
2019/3/6, 10, 3, 
2019/3/7, 6, 4, 1
2019/3/8, 7, 2, 
2019/3/9, 11, 2, 
2019/3/10, 9, 3, 
2019/3/11, 6, 4, 
2019/3/12, 7, 3, 
2019/3/13, 8, 4, 
2019/3/14, 9, 3, 
2019/3/15, 11, 3, 
2019/3/16, 12, 2, 
2019/3/17, 8, 2, 
2019/3/18, 7, 5, 1
2019/3/19, 11, 9, 1
2019/3/20, 21, 5, 
2019/3/21, 33, 4, 1
2019/3/22, 24, 5, 
2019/3/23, 32, 4, 1
2019/3/24, 16, 4, 
2019/3/25, 7, 3, 
2019/3/26, 9, 4, 2
2019/3/27, 12, 4, 2
2019/3/28, 12, 7, 2
2019/3/29, 14, 8, 2
2019/3/30, 20, 3, 1
2019/3/31, 19, 8, 1
2018/10/1, 13, 3, 1
2018/10/2, 7, 2, 
2018/10/3, 9, 6, 
2018/10/4, 14, 7, 1
2018/10/5, 15, 9, 1
2018/10/6, 11, 5, 
2018/10/7, 16, 7, 1
2018/10/8, 7, 9, 1
2018/10/9, 15, 12, 1
2018/10/10, 19, 6, 1
2018/10/11, 23, 11, 
2018/10/12, 22, 6, 1
2018/10/13, 13, 5, 1
2018/10/14, 18, 11, 1
2018/10/15, 24, 12, 
2018/10/16, 25, 11, 1
2018/10/17, 27, 7, 
2018/10/18, 27, 10, 
2018/10/19, 7, 6, 
2018/10/20, 10, 5, 1
2018/10/21, 17, 4, 1
2018/10/22, 18, 2, 
2018/10/23, 9, 3, 
2018/10/24, 9, 2, 
2018/10/25, 10, 3, 1
2018/10/26, 13, 3, 
2018/10/27, 7, 4, 
2018/10/28, 5, 5, 
2018/10/29, 5, 5, 
2018/10/30, 10, 4, 
2018/10/31, 8, 10, 1
2018/11/1, 10, 6, 
2018/11/2, 14, 6, 
2018/11/3, 10, 5, 
2018/11/4, 17, 8, 
2018/11/5, 31, 10, 
2018/11/6, 30, 10, 1
2018/11/7, 21, 9, 
2018/11/8, 10, 10, 
2018/11/9, 14, 6, 
2018/11/10, 20, 3, 
2018/11/11, 8, 8, 
2018/11/12, 6, 5, 
2018/11/13, 13, 8, 1
2018/11/14, 11, 11, 
2018/11/15, 11, 9, 
2018/11/16, 16, 9, 
2018/11/17, 17, 9, 
2018/11/18, 19, 5, 
2018/11/19, 8, 5, 1
2018/11/20, 6, 8, 1
2018/11/21, 16, 7, 
2018/11/22, 24, 9, 
2018/11/23, 35, 12, 1
2018/11/24, 29, 10, 
2018/11/25, 29, 12, 
2018/11/26, 19, 15, 
2018/11/27, 8, 8, 1
