date, aqi
2018/9/12, 24
2018/9/13, 29
2018/9/14, 22
2018/9/15, 19
2018/9/16, 21
2018/9/17, 31
2018/9/18, 39
2018/9/19, 27
2018/9/20, 31
2018/9/21, 35
2018/9/22, 40
2018/9/23, 30
2018/9/24, 32
2018/9/25, 46
2018/9/26, 49
2018/9/27, 52
2018/9/28, 41
2018/9/29, 30
2018/9/30, 46
2018/4/1, 23
2018/4/2, 26
2018/4/3, 31
2018/4/4, 34
2018/4/5, 32
2018/4/6, 36
2018/4/7, 31
2018/4/8, 26
2018/4/9, 24
2018/4/10, 26
2018/4/11, 22
2018/4/12, 23
2018/4/13, 23
2018/4/14, 17
2018/4/15, 20
2018/4/16, 21
2018/4/17, 24
2018/4/18, 20
2018/4/19, 27
2018/4/20, 24
2018/4/21, 25
2018/4/22, 23
2018/4/23, 22
2018/4/24, 22
2018/4/25, 18
2018/4/26, 16
2018/4/27, 19
2018/4/28, 24
2018/4/29, 23
2018/4/30, 21
2018/5/1, 22
2018/5/2, 23
2018/5/3, 21
2018/5/4, 19
2018/5/5, 19
2018/5/6, 22
2018/5/7, 24
2018/5/8, 22
2018/5/9, 25
2018/5/10, 23
2018/5/11, 25
2018/5/12, 23
2018/5/13, 23
2018/5/14, 19
2018/5/15, 21
2018/5/16, 19
2018/5/17, 20
2018/5/18, 16
2018/5/19, 18
2018/5/20, 18
2018/5/21, 19
2018/5/22, 18
2018/5/23, 21
2018/5/24, 19
2018/5/25, 20
2018/5/26, 16
2018/5/27, 19
2018/5/28, 23
2018/5/29, 30
2018/5/30, 25
2018/5/31, 21
2018/6/1, 20
2018/6/2, 21
2018/6/3, 23
2018/6/4, 22
2018/6/5, 23
2018/6/6, 25
2018/6/7, 31
2018/6/8, 34
2018/6/9, 25
2018/6/10, 36
2018/6/11, 36
2018/6/12, 35
2018/6/13, 35
2018/6/14, 38
2018/6/15, 44
2018/6/16, 23
2018/6/17, 15
2018/6/18, 13
2018/6/19, 14
2018/6/20, 18
2018/6/21, 23
2018/6/22, 28
2018/6/23, 30
2018/6/24, 20
2018/6/25, 18
2018/6/26, 19
2018/6/27, 19
2018/6/28, 24
2018/6/29, 28
2018/6/30, 22
2018/1/1, 24
2018/1/2, 26
2018/1/3, 25
2018/1/4, 24
2018/1/5, 24
2018/1/6, 18
2018/1/7, 24
2018/1/8, 20
2018/1/9, 19
2018/1/10, 16
2018/1/11, 19
2018/1/12, 21
2018/1/13, 23
2018/1/14, 29
2018/1/15, 29
2018/1/16, 27
2018/1/17, 23
2018/1/18, 26
2018/1/19, 27
2018/1/20, 21
2018/1/21, 15
2018/1/22, 14
2018/1/23, 14
2018/1/24, 15
2018/1/25, 17
