date, pm25, no2, co
2018/4/13, 54, 15, 2
2018/4/14, 44, 6, 2
2018/4/15, 16, 4, 1
2018/4/16, 7, 4, 2
2018/4/17, 20, , 3
2018/4/18, 20, , 2
2018/4/19, 12, , 5
2018/4/20, 14, , 5
2018/4/21, 16, , 4
2018/4/22, 16, , 5
2018/4/23, 31, , 4
2018/4/24, 21, , 4
2018/5/1, 40, , 3
2018/5/2, 69, , 2
2018/5/3, 57, 13, 2
2018/5/4, 52, 21, 5
2018/5/5, 41, 17, 3
2018/5/6, 50, 28, 4
2018/5/7, 52, 27, 4
2018/5/8, 48, 22, 4
2018/5/9, 65, 14, 2
2018/5/10, 46, 22, 4
2018/5/11, 65, 14, 3
2018/5/12, 67, 12, 3
2018/5/13, 74, 17, 3
2018/5/14, 73, 15, 2
2018/5/15, 52, 23, 4
2018/5/16, 66, 27, 4
2018/5/17, 70, 20, 4
2018/5/18, 45, 10, 2
2018/5/19, 45, 15, 4
2018/5/20, 55, 16, 3
2018/5/21, 51, 16, 3
2018/5/22, 39, 27, 4
2018/5/23, 36, 27, 5
2018/5/24, 50, 20, 5
2018/5/25, 57, 16, 4
2018/5/26, 67, 13, 2
2018/5/27, 54, 15, 4
2018/5/28, 56, 17, 3
2018/5/29, 30, 9, 2
2018/5/30, 31, 9, 2
2018/5/31, 48, 17, 3
2018/6/1, 39, 19, 5
2018/6/2, 53, 10, 3
2018/6/3, 41, 17, 3
2018/6/4, 23, 18, 3
2018/6/5, 44, 24, 4
2018/6/6, 44, 16, 2
2018/6/7, 48, 20, 3
2018/6/8, 60, 17, 4
2018/6/9, 59, 10, 2
2018/6/10, 45, 17, 3
2018/6/11, 47, 15, 3
2018/6/12, 50, 10, 2
2018/6/13, 47, 27, 4
2018/6/14, 32, 25, 6
2018/6/15, 52, 17, 5
2018/6/16, 66, 14, 4
2018/6/17, 70, 11, 3
2018/6/18, 68, 9, 2
2018/6/19, 66, 9, 2
2018/6/20, 45, 13, 3
2018/6/21, 47, 10, 2
2018/6/22, 45, 4, 1
2018/6/23, 47, 10, 3
2018/6/24, 43, 17, 4
2018/6/25, 51, 15, 3
2018/6/26, 44, 7, 1
2018/6/27, 38, 21, 4
2018/6/28, 48, 17, 4
2018/6/29, 56, 16, 5
2018/6/30, 55, 13, 3
2018/1/1, 37, 17, 4
2018/1/2, 39, 22, 5
2018/1/3, 54, 14, 2
2018/1/4, 42, 14, 2
2018/1/5, 31, 24, 5
2018/1/6, 40, 23, 4
2018/1/7, 40, 15, 2
2018/1/8, 48, 19, 4
2018/1/9, 62, 24, 5
2018/1/10, 44, 21, 4
2018/1/11, 24, 13, 2
2018/1/12, 21, 12, 2
2018/1/13, 23, 14, 3
2018/1/14, 33, 12, 2
2018/1/15, 33, 7, 1
