date, pm25, pm10, o3, co
2018/5/28, 28, , , 
2018/5/29, 29, , , 
2018/5/30, 28, , , 
2018/5/31, 27, , , 
2018/6/1, 27, , , 
2018/6/2, 29, , , 
2018/6/3, 33, , , 
2018/6/4, 30, , , 
2018/6/5, 29, , , 
2018/6/6, 29, , , 
2018/6/7, 34, , , 
2018/6/8, 33, , , 
2018/6/9, 34, , , 
2018/6/10, 33, , , 
2018/6/11, 28, , , 
2018/6/12, 25, , , 
2018/6/13, 27, , , 
2018/6/14, 33, , , 
2018/6/15, 26, , , 
2018/6/16, 22, , , 
2018/6/17, 29, , , 
2018/6/18, 25, , , 
2018/6/19, 24, , , 
2018/6/20, 19, , , 
2018/6/21, 26, , , 
2018/6/22, 24, , , 
2018/6/23, 27, , , 
2018/6/24, 20, , , 
2018/6/25, 21, , , 
2018/6/26, 27, , , 
2018/6/27, 30, , , 
2018/6/28, 34, , , 
2018/6/29, 23, , , 
2018/6/30, 18, , , 
2018/1/1, 37, , , 
2018/1/2, 36, , , 
2018/1/3, 37, , , 
2018/1/4, 40, , , 
2018/1/5, 48, , , 
2018/1/6, 38, , , 
2018/1/7, 31, , , 
2018/1/8, 37, , , 
2018/1/9, 36, , , 
2018/1/10, 14, , , 
2018/1/11, 10, , , 
2018/1/12, 13, , , 
2018/1/13, 15, , , 
2018/1/14, 36, , , 
2018/1/15, 29, , , 
2018/1/16, 30, , , 
2018/1/17, 41, , , 
2018/1/18, 34, , , 
2018/1/19, 19, , , 
2018/1/20, 11, , , 
2018/1/21, 18, , , 
2018/1/22, 20, , , 
2018/1/23, 23, , , 
2018/1/24, 44, , , 
2018/1/25, 22, , , 
2018/1/26, 10, , , 
2018/1/27, 13, , , 
2018/1/28, 17, , , 
2018/1/29, 40, , , 
2018/1/30, 22, , , 
2018/1/31, 12, , , 
2018/2/1, 17, , , 
2018/2/2, 18, , , 
2018/2/3, 16, , , 
2018/2/4, 15, , , 
2018/2/5, 10, , , 
2018/2/6, 13, , , 
2018/2/7, 13, , , 
2018/2/8, 11, , , 
2018/2/9, 11, , , 
2018/2/10, 11, , , 
2018/2/11, 14, , , 
2018/2/12, 17, , , 
2018/2/13, 29, , , 
2018/2/14, 28, , , 
2018/2/15, 13, , , 
2018/2/16, 11, , , 
2018/2/17, 7, , , 
2018/2/18, 11, , , 
2018/2/19, 13, , , 
2018/2/20, 15, , , 
2018/2/21, 17, , , 
2018/2/22, 16, , , 
2018/2/23, 26, , , 
2018/2/24, 14, , , 
2018/2/25, 12, , , 
2018/2/26, 11, , , 
2018/2/27, 17, , , 
2018/2/28, 24, , , 
2018/3/1, 25, , , 
2018/3/2, 13, , , 
2018/3/3, 19, , , 
2018/3/4, 17, , , 
2018/3/5, 16, , , 
