date, pm25, o3, no2, co
2019/3/27, 1, 36, 375, 
2019/3/28, 1, 30, , 
2019/3/29, 1, 45, , 
2019/3/30, 1, 37, , 
2020/1/1, , 25, , 
2019/3/31, , 35, , 
2019/4/3, , 36, 1, 
2019/4/4, , 31, 375, 
2019/4/11, , 37, 333, 
2019/4/14, , 37, 125, 
2019/4/15, , 35, , 
2019/4/16, , 38, 127, 
2019/4/28, , 34, , 
2019/6/10, , 29, , 
2019/2/24, , 34, , 
2019/2/26, , 29, , 
2019/2/27, , 33, , 
2019/3/3, , 37, , 
2019/3/12, , 39, , 
2019/3/21, , 34, 500, 
2019/3/22, , 35, , 
2019/3/24, , 36, , 
2019/3/25, , 35, 187, 
2019/3/26, , 36, 143, 
2018/10/1, , 14, , 
2018/10/2, , 10, , 
2018/10/3, , 12, , 
2018/10/4, , 19, , 
2018/10/5, , 20, , 
2018/10/6, , 16, , 
2018/10/7, , 12, , 
2018/10/8, , 11, , 
2018/10/9, , 23, , 
2018/10/10, , 28, , 
2018/10/11, , 16, , 
2018/10/12, , 21, , 
2018/10/13, , 14, , 
2018/10/14, , 26, , 
2018/10/15, , 18, , 
2018/10/16, , 23, , 
2018/10/17, , 21, , 
2018/10/18, , 25, , 
2018/10/19, , 25, , 
2018/10/20, , 28, , 
2018/10/21, , 27, , 
2018/10/22, , 21, , 
2018/10/23, , 17, , 
2018/10/24, , 13, , 
2018/10/25, , 24, , 
2018/10/26, , 24, , 
2018/10/27, , 21, , 
2018/10/28, , 18, , 
2018/10/29, , 20, , 
2018/10/30, , 35, , 
2018/10/31, , 24, , 
2018/11/1, , 17, , 
2018/11/2, , 19, , 
2018/11/3, , 61, , 
2018/11/4, , 85, , 
2018/11/5, , 60, , 
2018/11/6, , 14, , 
2018/11/7, , 22, , 
2018/11/8, , 16, , 
2018/11/9, , 10, , 
2018/11/10, , 26, , 
2018/11/11, , 30, , 
2018/11/12, , 22, , 
2018/11/13, , 21, , 
2018/11/14, , 29, , 
2018/11/15, , 23, , 
2018/11/16, , 25, , 
2018/11/17, , 22, , 
2018/11/18, , 24, , 
2018/11/19, , 16, , 
2018/11/20, , 21, , 
2018/11/21, , 27, , 
2018/11/22, , 26, , 
2018/11/23, , 23, , 
2018/11/24, , 27, , 
2018/11/25, , 16, , 
2018/11/26, , 21, , 
2018/11/27, , 24, , 
2018/11/28, , 16, , 
2018/11/29, , 24, , 
2018/11/30, , 24, , 
2018/12/1, , 21, , 
2018/12/2, , 14, , 
2018/12/3, , 14, , 
2018/12/4, , 27, , 
2018/12/5, , 21, , 
2018/12/6, , 20, , 
2018/12/7, , 29, , 
2018/12/8, , 26, , 
2018/12/9, , 23, , 
2018/12/10, , 24, , 
2018/12/11, , 21, , 
2018/12/12, , 18, , 
2018/12/13, , 20, , 
2018/12/14, , 21, , 
2018/12/15, , 21, , 
2018/12/16, , 17, , 
2018/12/17, , 21, , 
2018/12/18, , 25, , 
2018/12/19, , 22, , 
2018/12/20, , 13, , 
2018/12/21, , 28, , 
2018/12/22, , 29, , 
2018/12/23, , 27, , 
2018/12/24, , 20, , 
2018/12/25, , 28, , 
2018/12/26, , 25, , 
2018/12/27, , 22, , 
2018/12/28, , 23, , 
2018/12/29, , 25, , 
2018/12/30, , 24, , 
2018/7/1, , 42, , 
2018/7/2, , 54, , 
2018/7/3, , 34, , 
2018/7/4, , 37, , 
2018/7/5, , 40, , 
2018/7/6, , 25, , 
2018/7/7, , 25, , 
2018/7/8, , 28, , 
2018/7/9, , 36, , 
2018/7/10, , 49, , 
2018/7/11, , 29, , 
2018/7/12, , 31, , 
2018/7/13, , 37, , 
2018/7/14, , 43, , 
2018/7/15, , 40, , 
2018/7/16, , 46, , 
2018/7/17, , 29, , 
2018/7/18, , 28, , 
2018/7/19, , 31, , 
2018/7/20, , 45, , 
2018/7/21, , 39, , 
2018/7/22, , 32, , 
2018/7/23, , 21, , 
2018/7/24, , 23, , 
2018/7/25, , 24, , 
2018/7/26, , 27, , 
2018/7/27, , 34, , 
2018/7/28, , 34, , 
2018/7/29, , 22, , 
2018/7/30, , 30, , 
2018/7/31, , 42, , 
2018/8/1, , 31, , 
2018/8/2, , 28, , 
2018/8/3, , 23, , 
2018/8/4, , 33, , 
2018/8/5, , 39, , 
2018/8/6, , 41, , 
2018/8/7, , 38, , 
2018/8/8, , 32, , 
2018/8/9, , 29, , 
2018/8/10, , 20, , 
2018/8/11, , 14, , 
2018/8/12, , 19, , 
2018/8/13, , 20, , 
2018/8/14, , 37, , 
2018/8/15, , 31, , 
2018/8/16, , 31, , 
2018/8/17, , 29, , 
2018/8/18, , 21, , 
2018/8/19, , 19, , 
2018/8/20, , 23, , 
2018/8/21, , 28, , 
2018/8/22, , 29, , 
2018/8/23, , 22, , 
2018/8/24, , 34, , 
2018/8/25, , 45, , 
2018/8/26, , 34, , 
2018/8/27, , 34, , 
2018/8/28, , 37, , 
2018/8/29, , 38, , 
2018/8/30, , 21, , 
2018/8/31, , 15, , 
2018/9/1, , 23, , 
2018/9/2, , 27, , 
2018/9/3, , 26, , 
2018/9/4, , 30, , 
2018/9/5, , 41, , 
2018/9/6, , 34, , 
2018/9/7, , 25, , 
2018/9/8, , 21, , 
2018/9/9, , 14, , 
2018/9/10, , 13, , 
2018/9/11, , 14, , 
2018/9/12, , 13, , 
2018/9/13, , 19, , 
2018/9/14, , 22, , 
2018/9/15, , 21, , 
2018/9/16, , 23, , 
2018/9/17, , 31, , 
2018/9/18, , 23, , 
2018/9/19, , 17, , 
2018/9/20, , 17, , 
2018/9/21, , 21, , 
2018/9/22, , 19, , 
2018/9/23, , 23, , 
2018/9/24, , 16, , 
2018/9/25, , 17, , 
2018/9/26, , 23, , 
2018/9/27, , 21, , 
2018/9/28, , 23, , 
2018/9/29, , 25, , 
2018/9/30, , 20, , 
2018/4/1, , 37, , 
2018/4/2, , 39, , 
2018/4/3, , 34, , 
2018/4/4, , 35, , 
2018/4/5, , 36, , 
2018/4/6, , 36, , 
2018/4/7, , 39, , 
2018/4/8, , 37, , 
2018/4/9, , 36, , 
2018/4/10, , 38, , 
2018/4/11, , 43, , 
2018/4/12, , 38, , 
2018/4/13, , 31, , 
2018/4/14, , 34, , 
2018/4/15, , 31, , 
2018/4/16, , 32, , 
2018/4/17, , 31, , 
2018/4/18, , 32, , 
2018/4/19, , 33, , 
2018/4/20, , 35, , 
2018/4/21, , 43, , 
2018/4/22, , 45, , 
2018/4/23, , 49, , 
2018/4/24, , 54, , 
2018/4/25, , 37, , 
2018/4/26, , 31, , 
2018/4/27, , 28, , 
2018/4/28, , 42, , 
2018/4/29, , 28, , 
2018/4/30, , 29, , 
2018/5/1, , 51, , 
2018/5/2, , 58, , 
2018/5/3, , 46, , 
2018/5/4, , 43, , 
2018/5/5, , 47, , 
2018/5/6, , 41, , 
2018/5/7, , 36, , 
2018/5/8, , 46, , 
2018/5/9, , 57, , 
2018/5/10, , 47, , 
2018/5/11, , 35, , 
2018/5/12, , 29, , 
2018/5/13, , 35, , 
2018/5/14, , 36, , 
2018/5/15, , 36, , 
2018/5/16, , 35, , 
2018/5/17, , 43, , 
2018/5/18, , 35, , 
2018/5/19, , 32, , 
2018/5/20, , 23, , 
2018/5/21, , 36, , 
2018/5/22, , 32, , 
2018/5/23, , 36, , 
2018/5/24, , 43, , 
2018/5/25, , 68, , 
2018/5/26, , 56, , 
2018/5/27, , 30, , 
2018/5/28, , 26, , 
2018/5/29, , 42, , 
2018/5/30, , 45, , 
2018/5/31, , 33, , 
2018/6/1, , 36, , 
2018/6/2, , 29, , 
2018/6/3, , 36, , 
2018/6/4, , 28, , 
2018/6/5, , 19, , 
2018/6/6, , 21, , 
2018/6/7, , 32, , 
2018/6/8, , 38, , 
2018/6/9, , 30, , 
2018/6/10, , 37, , 
2018/6/11, , 40, , 
2018/6/12, , 43, , 
2018/6/13, , 31, , 
2018/6/14, , 31, , 
2018/6/15, , 26, , 
2018/6/16, , 33, , 
2018/6/17, , 43, , 
2018/6/18, , 49, , 
2018/6/19, , 25, , 
2018/6/20, , 35, , 
2018/6/21, , 33, , 
2018/6/22, , 36, , 
2018/6/23, , 27, , 
2018/6/24, , 18, , 
2018/6/25, , 27, , 
2018/6/26, , 43, , 
2018/6/27, , 30, , 
2018/6/28, , 24, , 
2018/6/29, , 37, , 
2018/6/30, , 46, , 
2018/1/1, , 29, , 
2018/1/2, , 26, , 
2018/1/3, , 24, , 
2018/1/4, , 24, , 
2018/1/5, , 27, , 
2018/1/6, , 29, , 
2018/1/7, , 27, , 
2018/1/8, , 22, , 
2018/1/9, , 25, , 
2018/1/10, , 24, , 
2018/1/11, , 30, , 
2018/1/12, , 25, , 
2018/1/13, , 28, , 
2018/1/14, , 28, , 
2018/1/15, , 27, , 
2018/1/16, , 23, , 
2018/1/17, , 17, , 
2018/1/18, , 23, , 
2018/1/19, , 19, , 
2018/1/20, , 33, , 
2018/1/21, , 27, , 
2018/1/22, , 22, , 
2018/1/23, , 19, , 
2018/1/24, , 30, , 
2018/1/25, , 32, , 
2018/1/26, , 30, , 
2018/1/27, , 26, , 
2018/1/28, , 28, , 2
2018/1/29, , 24, , 2
2018/1/30, , 23, , 1
2018/1/31, , 27, , 2
2018/2/1, , 19, , 1
2018/2/2, , 26, , 2
2018/2/3, , 28, , 
2018/2/4, , 25, , 
2018/2/5, , 32, , 
2018/2/6, , 29, , 
2018/2/7, , 25, , 
2018/2/8, , 33, , 
2018/2/9, , 32, , 
2018/2/10, , 27, , 
2018/2/11, , 26, , 
2018/2/12, , 35, , 
2018/2/13, , 32, , 
2018/2/14, , 25, , 
2018/2/15, , 14, , 
2018/2/16, , 30, , 
2018/2/17, , 32, , 
2018/2/18, , 31, , 
2018/2/19, , 30, , 
2018/2/20, , 19, , 
2018/2/21, , 23, , 
2018/2/22, , 28, , 
2018/2/23, , 26, , 
2018/2/24, , 26, , 
2018/2/25, , 25, , 
2018/2/26, , 35, , 
2018/2/27, , 37, , 
2018/2/28, , 37, , 
2018/3/1, , 32, , 
