date, pm25, o3, so2, co
2019/5/17, 53, 29, , 1
2019/5/18, 43, 38, , 
2019/5/19, 22, 24, , 
2019/5/20, 37, 29, 1, 
2019/5/21, 46, 21, 1, 
2019/5/22, 44, 26, 1, 
2019/5/23, 39, 30, 1, 
2019/5/24, 38, 37, 1, 
2019/5/25, 41, 37, 1, 
2019/5/26, 55, 34, 1, 
2019/5/27, 55, 31, 1, 
2019/5/28, 47, 35, 1, 
2019/5/29, 52, 31, 1, 
2019/5/30, 52, 35, 1, 1
2019/5/31, 47, 44, 1, 2
2019/6/1, 59, 42, 1, 2
2019/6/2, 65, 48, 1, 1
2019/6/3, 64, 34, 1, 1
2019/6/4, 73, 24, 1, 
2019/6/5, 41, 19, 1, 
2019/6/6, 25, 34, 1, 1
2019/6/7, 24, 28, 1, 1
2019/6/8, 28, 32, 1, 1
2019/6/9, 35, 41, 1, 1
2019/6/10, 41, 40, 1, 1
2019/6/11, 27, 42, 1, 1
2019/6/12, 38, 42, 1, 1
2019/6/13, 37, 39, 1, 1
2019/6/14, 41, 32, 1, 1
2019/6/15, 39, 17, 1, 
2019/6/16, 45, 16, 1, 
2019/6/17, 31, 32, 1, 
2019/6/18, 33, 36, 1, 1
2019/6/19, 41, 28, 1, 
2019/6/20, 33, 18, 1, 
2019/6/21, 61, 21, 1, 
2019/6/22, 66, 19, 1, 
2019/6/23, 63, 30, 1, 
2019/6/24, 32, 27, 1, 1
2019/6/25, 45, 22, 1, 1
2019/6/26, 57, 30, 1, 1
2019/6/27, 56, 30, 1, 1
2019/6/28, 40, 35, 1, 
2019/6/29, 35, 36, 1, 1
2019/6/30, 44, 32, 1, 1
2019/1/2, 11, 15, , 
2019/1/3, 11, 14, 1, 
2019/1/4, 20, 16, 2, 
2019/1/5, 43, 23, 3, 3
2019/1/6, 51, 28, 1, 6
2019/1/7, 39, 31, 1, 
2019/1/8, 27, 32, 17, 
2019/1/9, 16, 31, 1, 
2019/1/10, 25, 27, , 1
2019/1/11, 33, 26, , 2
2019/1/12, 39, 27, , 1
2019/1/13, 24, 18, , 1
2019/1/14, 47, 24, , 1
2019/1/15, 47, 25, 1, 2
2019/1/16, 53, 19, , 3
2019/1/17, 44, 18, , 2
2019/1/18, 44, 18, , 2
2019/1/19, 22, 27, , 1
2019/1/20, 26, 33, 1, 1
2019/1/21, 21, 31, 1, 1
2019/1/22, 36, 27, , 1
2019/1/23, 24, 26, 1, 1
2019/1/24, 39, 28, 1, 2
2019/1/25, 58, 24, 1, 5
2019/1/26, 56, 35, 1, 4
2019/1/27, 52, 34, 1, 4
2019/1/28, 44, 38, , 2
2019/1/29, 19, 32, 1, 1
2019/1/30, 33, 27, , 3
2019/1/31, 27, 31, 1, 2
2019/2/1, 37, 30, 1, 2
2019/2/2, 52, 27, , 4
2019/2/3, 38, 27, , 1
2019/2/4, 38, 17, , 1
2019/2/5, 33, 14, , 1
2019/2/6, 43, 20, , 1
2019/2/7, 32, 28, , 
2019/2/8, 26, 26, , 1
2019/2/9, 20, 27, , 1
2019/2/10, 52, 26, , 1
2019/2/11, 33, 21, , 1
2019/2/12, 22, 26, 1, 1
2019/2/13, 21, 31, 1, 3
2019/2/14, 26, 35, 1, 1
2019/2/15, 48, 24, , 1
2019/2/16, 44, 4, , 1
2019/2/17, 33, 1, , 1
2019/2/18, 23, 1, , 1
2019/2/19, 19, 20, , 1
2019/2/20, 27, 18, , 1
2019/2/21, 20, 19, , 1
2019/2/22, 35, 12, , 2
2019/2/23, 41, 21, , 
2019/2/24, 19, 35, , 1
2019/2/25, 18, 34, , 2
2019/2/26, 34, 30, , 2
2019/2/27, 42, 29, , 1
2019/2/28, 35, 22, , 1
2019/3/1, 50, 11, , 1
2019/3/2, 33, 12, , 1
2019/3/3, 39, 27, , 1
2019/3/4, 37, 33, , 1
2019/3/5, 19, 36, 1, 1
2019/3/6, 33, 36, 1, 3
2019/3/7, 49, 35, , 2
2019/3/8, 29, 34, , 1
2019/3/9, 35, 28, , 1
2019/3/10, 29, 32, , 1
2019/3/11, 24, 28, , 2
2019/3/12, 26, 30, , 1
2019/3/13, 34, 24, , 1
2019/3/14, 56, 30, , 
2019/3/15, 16, 39, , 1
2019/3/16, 16, 37, , 1
2019/3/17, 23, 40, 1, 1
2019/3/18, 43, 44, , 2
2019/3/19, 35, 43, 1, 1
2019/3/20, 68, 54, 1, 3
2019/3/21, 30, 44, 1, 1
2019/3/22, 48, 43, 1, 2
2019/3/23, 82, 44, 1, 3
2019/3/24, 79, 44, , 2
2019/3/25, 42, 36, , 1
2019/3/26, 43, 41, , 1
2019/3/27, 32, 42, 1, 2
2019/3/28, 58, 44, , 2
2019/3/29, 47, 41, , 1
2019/3/30, 34, 34, , 
2019/3/31, 22, 34, , 1
2018/10/1, 34, 28, 1, 
2018/10/2, 39, 30, 1, 1
2018/10/3, 46, 31, 1, 1
2018/10/4, 47, 33, 1, 1
2018/10/5, 52, 25, 1, 
2018/10/6, 47, 28, 1, 
2018/10/7, 46, 28, 1, 
2018/10/8, 39, 16, 1, 
2018/10/9, 34, 21, 1, 
2018/10/10, 29, 26, , 
2018/10/11, 17, 36, 1, 1
2018/10/12, 29, 32, , 2
2018/10/13, 50, 34, , 
2018/10/14, 28, 27, , 
2018/10/15, 29, 6, , 
2018/10/16, 20, 16, , 
2018/10/17, 18, 29, 1, 
2018/10/18, 24, 21, 1, 1
2018/10/19, 32, , , 1
2018/10/20, 32, , , 
2018/10/21, 24, 24, 1, 2
2018/10/22, 29, 25, 1, 
2018/10/23, 47, 32, , 
2018/10/24, 43, 22, , 
2018/10/25, 34, 20, , 
2018/10/26, 23, 29, , 2
2018/10/27, 34, 35, 1, 
2018/10/28, 43, 38, 1, 1
2018/10/29, 50, 38, 1, 
2018/10/30, 52, 35, 1, 
2018/10/31, 44, 27, , 
2018/11/1, 22, 28, , 
2018/11/2, 14, 35, 1, 
2018/11/3, 28, 26, , 
2018/11/4, 23, 20, , 
2018/11/5, 29, 27, , 
2018/11/6, 35, 15, 1, 
2018/11/7, 36, 14, , 
2018/11/8, 34, 21, , 
2018/11/9, 31, 24, , 
2018/11/10, 32, 24, , 
2018/11/11, 37, 25, , 
2018/11/12, 17, 13, , 
2018/11/13, 45, 16, , 
2018/11/14, 53, 25, 1, 2
2018/11/15, 45, 33, 2, 4
2018/11/16, 43, 35, 2, 4
2018/11/17, 62, 35, 2, 6
2018/11/18, 86, 9, 1, 2
2018/11/19, 68, 22, , 
2018/11/20, 42, 24, 1, 2
2018/11/21, 51, 27, 1, 2
2018/11/22, 27, 19, 1, 1
2018/11/23, 27, 24, , 1
2018/11/24, 27, 22, , 
2018/11/25, 27, 24, 1, 1
2018/11/26, 32, 21, 1, 2
2018/11/27, 42, 27, 1, 2
2018/11/28, 46, 27, , 
2018/11/29, 30, 27, , 
2018/11/30, 29, 25, , 
2018/12/1, 42, 32, , 1
2018/12/2, 37, 25, , 
2018/12/3, 20, 22, , 
2018/12/4, 29, 24, 1, 2
2018/12/5, 52, 24, , 1
2018/12/6, 49, 17, 1, 1
2018/12/7, 52, 25, , 
2018/12/8, 28, 18, , 
2018/12/9, 29, 21, , 1
2018/12/10, 55, 20, 2, 4
2018/12/11, 69, 23, 1, 1
2018/12/12, 40, 22, , 
2018/12/13, 29, 21, , 
2018/12/14, 31, 10, , 
2018/12/15, 22, 21, 1, 2
2018/12/16, 39, 22, 1, 8
2018/12/17, 75, 1, 2, 11
2018/12/18, 99, 17, 1, 2
2018/12/19, 63, 20, , 
2018/12/20, 33, 22, 1, 6
2018/12/21, 34, 28, 2, 
2018/12/22, 31, 32, 1, 
2018/12/23, 28, 27, , 
2018/12/24, 35, 27, 1, 
2018/12/25, 41, 32, 1, 
2018/12/26, 44, 27, , 
2018/12/27, 22, 19, , 
2018/12/28, 33, 14, , 
2018/12/29, 31, 9, , 
2018/7/1, 81, 26, 1, 1
2018/7/2, 86, 29, 1, 1
2018/7/3, 38, 31, 1, 
2018/7/4, 41, 26, 1, 
2018/7/5, 46, 29, 1, 
2018/7/6, 33, 32, 1, 
2018/7/7, 30, 26, 1, 
2018/7/8, 26, 24, 2, 
2018/7/9, 30, 30, 1, 
2018/7/10, 39, 34, 1, 
2018/7/11, 40, 40, 1, 
2018/7/12, 40, 32, 1, 
2018/7/13, 45, 37, 1, 
2018/7/14, 48, 25, 1, 
2018/7/15, 48, 29, 1, 
2018/7/16, 51, 27, 1, 
2018/7/17, 62, 35, 1, 
2018/7/18, 64, 35, 1, 
2018/7/19, 62, 36, 1, 
2018/7/20, 59, 32, 1, 
2018/7/21, 60, 33, 1, 
2018/7/22, 56, 38, 1, 
2018/7/23, 44, 37, 1, 
2018/7/24, 52, 43, 1, 1
2018/7/25, 72, 41, 1, 2
2018/7/26, 75, 46, 1, 2
2018/7/27, 70, 39, 1, 1
2018/7/28, 56, 36, 1, 
2018/7/29, 52, 40, 1, 
2018/7/30, 54, 33, 1, 
2018/7/31, 51, 40, 1, 
2018/8/1, 40, 40, 1, 
2018/8/2, 43, 35, 1, 1
2018/8/3, 42, 29, 1, 
2018/8/4, 27, 26, 1, 
2018/8/5, 33, 34, 1, 
2018/8/6, 31, 29, 1, 
2018/8/7, 33, 28, 1, 
2018/8/8, 29, 30, 1, 
2018/8/9, 30, 30, 1, 
2018/8/10, 28, 36, 1, 
2018/8/11, 34, 29, 1, 
2018/8/12, 34, 22, 1, 
2018/8/13, 68, 27, 1, 1
2018/8/14, 81, 30, 1, 1
2018/8/15, 86, 28, 1, 
2018/8/16, 60, 26, 1, 
2018/8/17, 44, 24, 1, 
2018/8/18, 36, 22, 1, 
2018/8/19, 32, 25, 1, 
2018/8/20, 31, 34, 1, 1
2018/8/21, 46, 36, 1, 1
2018/8/22, 55, 38, 1, 1
2018/8/23, 77, 47, 1, 2
2018/8/24, 83, 52, 1, 2
2018/8/25, 94, 31, 1, 
2018/8/26, 51, 24, 1, 
2018/8/27, 37, 26, 1, 
2018/8/28, 23, 27, 1, 
2018/8/29, 25, 29, 1, 
2018/8/30, 26, 24, 1, 
2018/8/31, 26, 22, 1, 
