date, o3, no2, so2, co
2017/6/6, 20, , , 
2017/6/7, 14, , , 
2017/6/8, 17, 1, , 
2017/6/9, 18, 2, 1, 
2017/6/10, 23, 1, 1, 
2017/6/11, 22, 1, , 
2017/6/12, 23, 1, , 
2017/6/13, 20, 1, , 
2017/6/14, 12, , , 
2017/6/15, 15, 1, , 
2017/6/16, 16, 1, , 
2017/6/17, 10, 3, 1, 
2017/6/18, 11, 2, 1, 
2017/6/19, 10, 2, 1, 
2017/6/20, 14, 1, , 
2017/6/21, 17, 1, , 
2017/6/22, 19, 1, , 
2017/6/23, 9, 2, , 
2017/6/24, 15, 1, , 
2017/6/25, 17, 1, , 
2017/6/26, 20, 1, , 
2017/6/27, 19, 1, , 
2017/6/28, 20, 3, 1, 
2017/6/29, 19, 3, 1, 
2017/6/30, 16, , , 
2017/1/2, 10, 1, , 
2017/1/3, 9, 1, , 
2017/1/4, 12, 2, , 
2017/1/5, 12, 2, , 
2017/1/6, 10, 2, 1, 
2017/1/7, 11, 2, , 
2017/1/8, 13, 3, 2, 
2017/1/9, 12, 5, 2, 
2017/1/10, 14, 4, 1, 
2017/1/11, 9, 2, 1, 
2017/1/12, 15, 1, , 
2017/1/13, 12, 1, 2, 
2017/1/14, 13, 1, , 
2017/1/15, 12, 2, 1, 
2017/1/16, 11, 3, 1, 
2017/1/17, 6, 2, , 
2017/1/18, 11, 2, 2, 
2017/1/19, 7, 2, , 
2017/1/20, 5, 1, , 
2017/1/21, 5, 1, , 
2017/1/22, 8, , , 
2017/1/23, 14, 1, , 
2017/1/24, 12, 3, 2, 
2017/1/25, 13, 1, , 
2017/1/26, 15, 1, , 
2017/1/27, 12, 1, , 
2017/1/28, 14, 1, , 
2017/1/29, 15, 1, , 
2017/1/30, 15, 2, 1, 
2017/1/31, 14, 3, , 
2017/2/1, 9, 2, , 
2017/2/2, 14, 2, , 
2017/2/3, 13, 2, 4, 
2017/2/4, 14, 3, 1, 
2017/2/5, 17, 3, 3, 
2017/2/6, 16, 4, 2, 
2017/2/7, 15, 2, , 
2017/2/8, 16, 1, 2, 
2017/2/9, 15, 2, 1, 
2017/2/10, 15, 4, 1, 
2017/2/11, 15, 1, , 
2017/2/12, 14, , , 
2017/2/13, 18, 4, 2, 
2017/2/14, 13, 2, , 
2017/2/15, 16, 1, , 
2017/2/16, 16, 3, 1, 
2017/2/17, 16, 3, 1, 
2017/2/18, 19, 1, , 
2017/2/19, 19, 1, , 
2017/2/20, 19, 1, , 
2017/2/21, 17, 2, , 
2017/2/22, 10, 2, , 
2017/2/23, 16, 1, , 
2017/2/24, 15, 2, 2, 
2017/2/25, 15, 1, , 
2017/2/26, 17, 1, 1, 
2017/2/27, 15, 3, 3, 
2017/2/28, 15, 2, 1, 
2017/3/1, 13, 1, , 
2017/3/2, 17, 1, , 
2017/3/3, 16, 1, , 
2017/3/4, 17, , , 
2017/3/5, 17, 2, 1, 
2017/3/6, 18, 8, 3, 
2017/3/7, 18, 2, 1, 
2017/3/8, 19, 4, 1, 
2017/3/9, 20, 1, , 
2017/3/10, 17, , , 
2017/3/11, 15, , , 
2017/3/12, 17, 1, , 
2017/3/13, 17, 1, , 
2017/3/14, 16, 1, , 
2017/3/15, 17, 2, , 
2017/3/16, 18, 2, , 
2017/3/17, 20, 3, 1, 
2017/3/18, 17, , , 
2017/3/19, 19, 1, , 
2017/3/20, 17, 1, , 
2017/3/21, 17, 1, , 
2017/3/22, 18, 1, , 
2017/3/23, 19, 3, 2, 
2017/3/24, 20, 1, 6, 
2017/3/25, 18, 3, 1, 
2017/3/26, 15, 2, 1, 
2017/3/27, 15, 3, 1, 
2017/3/28, 14, 1, , 
2017/3/29, 17, 1, , 
2017/3/30, 16, 1, , 
2017/3/31, 15, 1, , 
2020/1/1, , 1, , 
2020/1/2, , 2, , 
2020/1/3, , 1, , 
2020/1/5, , 2, , 
2020/1/6, , 2, , 
2020/1/7, , 1, , 
2020/1/8, , 1, , 
2020/1/9, , 1, , 
2020/1/10, , 3, , 
2020/1/11, , 1, , 
2020/1/12, , 1, , 
2020/1/13, , 3, , 
2020/1/14, , 1, , 
2020/1/15, , 1, , 
2020/1/16, , 1, , 
2019/10/6, , , , 
2019/11/5, , 1, , 
2019/11/6, , 2, , 
2019/11/7, , , , 
2019/11/8, , 2, , 
2019/11/9, , 2, , 
2019/11/10, , 3, 1, 
2019/11/11, , 1, , 
2019/11/12, , , , 
2019/11/13, , 3, , 
2019/11/14, , 2, , 
2019/11/15, , 1, , 
2019/11/16, , , , 
2019/11/17, , 1, , 
2019/11/18, , 2, , 
2019/11/19, , 1, , 
2019/11/20, , 2, , 
2019/11/21, , 2, , 
2019/11/22, , 1, , 
2019/11/23, , 1, , 
2019/11/24, , 1, , 
2019/11/25, , 2, , 
2019/11/26, , 3, , 
2019/11/27, , , , 
2019/11/28, , , , 
2019/11/29, , 2, , 
2019/11/30, , 1, , 
2019/12/1, , 1, , 
2019/12/2, , 1, , 
2019/12/3, , 1, , 
2019/12/4, , 1, , 
2019/12/5, , 3, , 
2019/12/6, , 1, , 
2019/12/7, , 2, , 
2019/12/8, , 2, , 
2019/12/9, , 1, , 
2019/12/10, , 1, , 
2019/12/11, , 1, , 
2019/12/12, , 2, , 
2019/12/13, , 3, , 
2019/12/14, , 1, , 
2019/12/15, , 1, , 
2019/12/16, , 2, , 
2019/12/17, , 1, , 
2019/12/18, , 1, , 
2019/12/19, , 2, , 
2019/12/20, , 3, , 
2019/12/21, , 3, , 
2019/12/22, , 2, , 
2019/12/23, , 3, , 
2019/12/24, , 3, , 
2019/12/25, , 1, , 
2019/12/26, , 2, , 
2019/12/27, , 1, , 
2019/9/12, , , , 
2018/10/13, , 1, , 
2018/11/8, , 3, , 
2018/11/9, , 1, , 
2018/11/10, , 1, , 
2018/11/11, , 2, , 
2018/11/12, , 2, , 
2018/11/13, , 2, , 
2018/11/14, , 2, , 
2018/11/15, , 3, , 
2018/11/16, , 2, 1, 
2018/11/17, , 1, , 
2018/11/18, , 3, 1, 
2018/11/19, , 2, , 
2018/11/20, , 3, , 
2018/11/21, , 1, , 
2018/11/22, , 1, , 
2018/11/23, , 2, , 
2018/11/24, , 2, 1, 
2018/11/25, , 2, , 
2018/11/26, , 2, , 
2018/11/27, , 2, , 
2018/11/28, , 4, , 
2018/11/29, , 4, 1, 
2018/11/30, , 3, , 
2018/12/1, , 3, 1, 
2018/12/2, , 2, , 
2018/12/3, , 2, , 
2018/12/4, , 3, , 
2018/12/5, , 4, , 
2018/12/6, , 4, , 
2018/12/7, , 2, , 
2018/12/8, , 2, , 
2018/12/9, , 5, , 
2018/12/10, , 7, , 
2018/12/11, , 5, 1, 
2018/12/12, , 3, , 
2018/12/13, , 4, , 
2018/12/14, , 3, , 
2018/12/15, , 2, , 
2018/12/16, , 3, , 
2018/12/17, , 2, , 
2018/12/18, , 4, 2, 
2018/12/19, , 2, , 
2018/12/20, , 4, 1, 
2018/12/21, , 2, , 
2018/12/22, , 2, , 
2018/12/23, , 2, 2, 
2018/12/24, , 2, 1, 
2018/12/25, , 2, , 
2018/12/26, , 2, , 
2018/12/27, , 2, 1, 
2018/12/28, , 2, , 
2018/12/29, , 2, , 
2018/1/1, , 1, , 
2018/1/2, , 3, 1, 
2018/1/3, , 4, 1, 
2018/1/4, , 2, , 
2018/1/5, , 2, , 
2018/1/6, , 2, , 
2018/1/7, , 4, 2, 
2018/1/8, , 5, 1, 
2018/1/9, , 3, , 
2018/1/10, , 3, , 
2018/1/11, , 2, , 
2018/1/12, , , , 
2018/1/13, , 1, , 
2018/1/14, , , , 
2018/1/15, , 3, , 
2018/1/16, , 3, 3, 
2018/1/17, , 2, , 
2018/1/18, , 2, , 
2018/1/19, , 3, , 
2018/1/20, , 2, , 
2018/1/21, , 2, , 
2018/1/22, , 4, 1, 
2018/1/23, , 1, 1, 
2018/1/24, , 1, , 
2018/1/25, , 1, , 
2018/1/26, , 2, 1, 
2018/1/27, , 4, 2, 
2018/1/28, , 4, 3, 
2018/1/29, , 1, , 
2018/1/30, , 2, , 
2018/1/31, , 2, 3, 
2018/2/1, , 2, 1, 
2018/2/2, , 1, , 
2018/2/3, , 1, , 
2018/2/4, , 1, , 
2018/2/5, , 1, , 
2018/2/6, , 2, , 
2018/2/7, , 2, , 
2018/2/8, , 1, , 
2018/2/9, , 1, , 
2018/2/10, , 2, , 
2018/2/11, , 4, 1, 
2018/2/12, , 1, , 
2018/2/13, , 1, , 
2018/2/14, , 3, 3, 
2018/2/15, , 2, , 
2018/2/16, , 2, , 
2018/2/17, , 1, , 
2018/2/18, , 1, , 
2018/2/19, , 2, 1, 
2018/2/20, , 2, 1, 
2018/2/21, , 3, 2, 
2018/2/22, , 2, , 
2018/2/23, , 2, 1, 
2018/2/24, , 2, 3, 
2018/2/25, , 2, 1, 
2018/2/26, , 2, , 
2017/1/1, , , , 
2019/12/31, , , , 
2020/1/4, , , , 
2019/9/27, , , , 
2019/9/28, , , , 
2019/9/29, , , , 
