date, pm25, pm10, o3, so2, co
2017/5/14, 41, , , , 
2017/5/15, 39, , , , 
2017/5/16, 48, , , , 
2017/5/17, 45, , , , 
2017/5/18, 18, , , , 
2017/5/19, 15, , , , 
2017/5/20, 35, , , , 
2017/5/21, 14, , , , 
2017/5/22, 15, , , , 
2017/5/23, 25, , , , 
2017/5/24, 26, , , , 
2017/5/25, 36, , , , 
2017/5/26, 47, , , , 
2017/5/27, 55, , , , 
2017/5/28, 32, , , , 
2017/5/29, 23, , , , 
2017/5/30, 16, , , , 
2017/5/31, 19, , , , 
2017/6/1, 26, , , , 
2017/6/2, 29, , , , 
2017/6/3, 49, , , , 
2017/6/4, 41, , , , 
2017/6/5, 24, , , , 
2017/6/6, 10, , , , 
2017/6/7, 11, , , , 
2017/6/8, 20, , , , 
2017/6/9, 25, , , , 
2017/6/10, 35, , , , 
2017/6/11, 44, , , , 
2017/6/12, 43, , , , 
2017/6/13, 28, , , , 
2017/6/14, 25, , , , 
2017/6/15, 18, , , , 
2017/6/16, 22, , , , 
2017/6/17, 18, , , , 
2017/6/18, 15, , , , 
2017/6/19, 11, , , , 
2017/6/20, 19, , , , 
2017/6/21, 30, , , , 
2017/6/22, 26, , , , 
2017/6/23, 14, , , , 
2017/6/24, 16, , , , 
2017/6/25, 14, , , , 
2017/6/26, 14, , , , 
2017/6/27, 14, , , , 
2017/6/28, 30, , , , 
2017/6/29, 19, , , , 
2017/6/30, 19, , , , 
2017/1/2, 79, , , , 
2017/1/3, 52, , , , 
2017/1/4, 32, , , , 
2017/1/5, 44, , , , 
2017/1/6, 47, , , , 
2017/1/7, 45, , , , 
2017/1/8, 45, , , , 
2017/1/9, 56, , , , 
2017/1/10, 54, , , , 
2017/1/11, 62, , , , 
2017/1/12, 51, , , , 
2017/1/13, 51, , , , 
2017/1/14, 74, , , , 
2017/1/15, 77, , , , 
2017/1/16, 68, , , , 
2017/1/17, 49, , , , 
2017/1/18, 59, , , , 
2017/1/19, 69, , , , 
2017/1/20, 52, , , , 
2017/1/21, 53, , , , 
2017/1/22, 53, , , , 
2017/1/23, 50, , , , 
2017/1/24, 53, , , , 
2017/1/25, 49, , , , 
2017/1/26, 37, , , , 
2017/1/27, 48, , , , 
2017/1/28, 61, , , , 
2017/1/29, 40, , , , 
2017/1/30, 41, , , , 
2017/1/31, 34, , , , 
2017/2/1, 32, , , , 
2017/2/2, 41, , , , 
2017/2/3, 29, , , , 
2017/2/4, 31, , , , 
2017/2/5, 46, , , , 
2017/2/6, 69, , , , 
2017/2/7, 50, , , , 
2017/2/8, 25, , , , 
2017/2/9, 20, , , , 
2017/2/10, 44, , , , 
2017/2/11, 49, , , , 
2017/2/12, 36, , , , 
2017/2/13, 28, , , , 
2017/2/14, 17, , , , 
2017/2/15, 15, , , , 
2017/2/16, 38, , , , 
2017/2/17, 49, , , , 
2017/2/18, 43, , , , 
2017/2/19, 55, , , , 
2017/2/20, 61, , , , 
2017/2/21, 31, , , , 
2017/2/22, 38, , , , 
2017/2/23, 37, , , , 
2017/2/24, 12, , , , 
2017/2/25, 15, , , , 
2017/2/26, 21, , , , 
2017/2/27, 33, , , , 
2017/2/28, 42, , , , 
2017/3/1, 34, , , , 
2017/3/2, 22, , , , 
2017/3/3, 16, , , , 
2017/3/4, 37, , , , 
2017/3/5, 41, , , , 
2017/3/6, 30, , , , 
2017/3/7, 15, , , , 
2017/3/8, 14, , , , 
2017/3/9, 18, , , , 
2017/3/10, 14, , , , 
2017/3/11, 18, , , , 
2017/3/12, 22, , , , 
2017/3/13, 36, , , , 
2017/3/14, 17, , , , 
2017/3/15, 32, , , , 
2017/3/16, 45, , , , 
2017/3/17, 43, , , , 
2017/3/18, 13, , , , 
2017/3/19, 25, , , , 
2017/3/20, 53, , , , 
2017/3/21, 30, , , , 
2017/3/22, 22, , , , 
2017/3/23, 27, , , , 
2017/3/24, 53, , , , 
2017/3/25, 41, , , , 
2017/3/26, 51, , , , 
2017/3/27, 44, , , , 
2017/3/28, 37, , , , 
2017/3/29, 49, , , , 
2017/3/30, 24, , , , 
2017/3/31, 15, , , , 
2019/12/31, , 26, 25, , 
2019/7/16, , 35, 28, 1, 1
2019/3/20, , 34, 37, 1, 1
