date, pm25, pm10, o3
2018/3/15, 34, , 39
2018/3/16, 33, , 41
2018/3/17, 40, , 43
2018/3/18, 45, , 39
2018/3/19, 26, , 37
2018/3/20, 23, , 39
2018/3/21, 27, , 39
2018/3/22, 33, , 40
2018/3/23, 31, , 37
2018/3/24, 23, , 38
2018/3/25, 24, , 35
2018/3/26, 38, , 27
2018/3/27, 55, , 39
2018/3/28, 47, , 38
2018/3/29, 30, , 35
2018/3/30, 42, , 38
2018/3/31, 32, , 39
2017/10/1, 24, , 33
2017/10/2, 39, , 35
2017/10/3, 33, , 12
2017/10/4, 16, , 16
2017/10/5, 14, , 20
2017/10/6, 17, , 13
2017/10/7, 14, , 28
2017/10/8, 21, , 25
2017/10/9, 14, , 22
2017/10/10, 14, , 23
2017/10/11, 13, , 22
2017/10/23, 12, , 26
2017/10/24, 10, , 22
2017/10/25, 16, , 
2017/10/26, 26, , 
2017/10/27, 16, , 
2017/10/28, 15, , 
2017/10/29, 21, , 
2017/10/30, 18, , 
2017/10/31, 18, , 
2017/11/1, 29, , 
2017/11/2, 45, , 
2017/11/3, 24, , 
2017/11/4, 27, , 
2017/11/5, 27, , 
2017/11/6, 29, , 
2017/11/7, 41, , 
2017/11/8, 41, , 
2017/11/9, 33, , 
2017/11/10, 22, , 
2017/11/11, 43, , 
2017/11/12, 65, , 
2017/11/13, 66, , 
2017/11/14, 66, , 
2017/11/15, 32, , 
2017/11/16, 18, , 
2017/11/17, 38, , 
2017/11/18, 43, , 
2017/11/19, 42, , 
2017/11/20, 33, , 
2017/11/21, 28, , 
2017/11/22, 23, , 
2017/11/23, 41, , 
2017/11/24, 24, , 
2017/11/25, 28, , 
2017/11/26, 34, , 
2017/11/27, 37, , 
2017/11/28, 28, , 
2017/11/29, 17, , 
2017/11/30, 22, , 
2017/12/1, 32, , 
2017/12/2, 47, , 
2017/12/3, 48, , 
2017/12/4, 50, , 
2017/12/5, 33, , 
2017/12/6, 24, , 
2017/12/7, 21, , 
2017/12/8, 42, , 
2017/12/9, 28, , 
2017/12/10, 38, , 
2017/12/11, 48, , 
2017/12/12, 25, , 
2017/12/13, 34, , 
2017/12/14, 39, , 
2017/12/15, 25, , 
2017/12/16, 44, , 
2017/12/17, 58, , 
2017/12/18, 57, , 
2017/12/19, 18, , 
2017/12/20, 25, , 
2017/12/21, 42, , 
2017/12/22, 44, , 
2017/12/23, 39, , 
2017/12/24, 36, , 
2017/12/25, 29, , 
2017/12/26, 39, , 
2017/12/27, 53, , 
2017/12/28, 53, , 
2017/12/29, 62, , 
2017/12/30, 37, , 
2017/12/31, 32, , 
2017/7/1, 23, , 30
2017/7/2, 25, , 28
2017/7/3, 22, , 31
2017/7/4, 23, , 37
2017/7/5, 68, , 43
2017/7/6, 38, , 25
2017/7/7, 29, , 36
2017/7/8, 29, , 27
2017/7/9, 25, , 43
2017/7/10, 36, , 36
2017/7/11, 24, , 43
2017/7/12, 23, , 16
2017/7/13, 15, , 25
2017/7/14, 15, , 38
2017/7/15, 29, , 21
2017/7/16, 35, , 30
2017/7/17, 38, , 38
2017/7/18, 33, , 29
2017/7/19, 55, , 37
2017/7/20, 41, , 29
2017/7/21, 46, , 39
2017/7/22, 21, , 31
2017/7/23, 33, , 30
2017/7/24, 33, , 31
2017/7/25, 33, , 27
2017/7/26, 27, , 24
2017/7/27, 39, , 25
2017/7/28, 42, , 30
2017/7/29, 41, , 33
2017/7/30, 46, , 32
2017/7/31, 44, , 35
2017/8/1, 45, , 21
2017/8/2, 48, , 18
2017/8/3, 24, , 23
2017/8/4, 27, , 26
2017/8/5, 35, , 27
2017/8/6, 37, , 28
2017/8/7, 34, , 31
2017/8/8, 34, , 26
2017/8/9, 26, , 32
2017/8/10, 19, , 29
2017/8/11, 23, , 23
2017/8/12, 41, , 25
2017/8/13, 33, , 20
2017/8/14, 26, , 27
2017/8/15, 36, , 31
2017/8/16, 33, , 25
2017/8/17, 14, , 21
2017/8/18, 41, , 35
2017/8/19, 42, , 36
2017/8/20, 36, , 26
2017/8/21, 22, , 25
2017/8/22, 26, , 23
2017/8/23, 25, , 26
2017/8/24, 19, , 20
2017/8/25, 19, , 22
2017/8/26, 30, , 22
2017/8/27, 27, , 21
2017/8/28, 19, , 29
2017/8/29, 40, , 28
2017/8/30, 38, , 22
2017/8/31, 51, , 25
2017/9/1, 30, , 25
2017/9/2, 30, , 34
2017/9/3, 48, , 31
2017/9/4, 59, , 19
2017/9/5, 24, , 
2017/9/9, 34, , 34
2017/9/10, 25, , 36
2017/9/11, 35, , 41
2017/9/12, 50, , 36
2017/9/13, 52, , 42
2017/9/14, 60, , 45
2017/9/15, 55, , 35
2017/9/16, 56, , 22
2017/9/17, 23, , 13
2017/9/18, 13, , 40
2017/9/19, 28, , 33
2017/9/20, 34, , 30
2017/9/21, 28, , 30
2017/9/22, 40, , 28
2017/9/23, 37, , 47
2017/9/24, 50, , 37
2017/9/25, 39, , 9
2017/9/26, 12, , 20
2017/9/27, 18, , 27
2017/9/28, 22, , 20
2017/9/29, 22, , 26
2017/9/30, 21, , 34
2017/4/1, 31, , 35
2017/4/2, 37, , 26
2017/4/3, 34, , 33
2017/4/4, 20, , 32
2017/4/5, 32, , 38
2017/4/8, 9, , 38
2017/4/13, 33, , 34
2017/4/14, 42, , 34
2017/4/15, 30, , 37
2017/4/16, 15, , 35
2017/4/17, 12, , 33
2017/4/18, 18, , 25
2017/4/19, 15, , 28
2017/4/20, 11, , 37
2017/4/21, 14, , 40
2017/4/22, 22, , 44
2017/4/23, 32, , 50
2017/4/24, 21, , 44
2017/4/25, 31, , 27
2017/4/26, 13, , 23
2017/4/27, 15, , 38
2017/4/28, 15, , 38
2017/4/29, 16, , 39
2017/4/30, 14, , 30
2017/5/1, 10, , 42
2017/5/2, 17, , 42
2017/5/3, 23, , 39
2017/5/4, 22, , 43
2017/5/5, 25, , 34
2017/5/6, 15, , 37
2017/5/7, 19, , 42
2017/5/8, 21, , 31
2017/5/9, 43, , 36
2017/5/10, 34, , 33
2017/5/11, 17, , 42
2017/5/12, 19, , 46
2017/5/13, 29, , 42
2017/5/14, 29, , 32
2017/5/15, 26, , 44
2017/5/16, 36, , 38
2017/5/17, 21, , 29
2017/5/18, 14, , 32
2017/5/19, 15, , 28
2017/5/20, 18, , 23
2017/5/21, 13, , 42
2017/5/22, 16, , 26
2017/5/23, 17, , 23
2017/5/24, 14, , 39
2017/5/25, 28, , 38
2017/5/26, 36, , 38
2017/5/27, 26, , 36
2017/5/28, 21, , 25
2017/5/29, 15, , 24
2017/5/30, 12, , 37
2017/5/31, 19, , 41
2017/6/1, 24, , 52
2017/6/2, 32, , 47
2017/6/3, 36, , 50
2017/6/4, 22, , 36
2017/6/5, 21, , 35
2017/6/6, 16, , 45
2017/6/7, 24, , 51
2017/6/8, 29, , 46
2017/6/9, 32, , 52
2017/6/10, 44, , 39
2017/6/11, 36, , 34
2017/6/12, 19, , 37
2017/6/13, 27, , 37
2017/6/14, 21, , 42
2017/6/15, 21, , 40
2017/6/16, 19, , 35
2017/6/17, 16, , 26
2017/6/18, 11, , 25
2017/6/19, 17, , 33
2017/6/20, 19, , 40
2017/6/21, 19, , 30
2017/6/22, 32, , 26
