date, pm25, o3, co
2018/9/14, 30, 24, 
2018/9/15, 38, 21, 
2018/9/16, 30, 28, 
2018/9/17, 29, 16, 
2018/9/18, 17, 13, 
2018/9/19, 13, 13, 
2018/9/20, 20, 16, 
2018/9/21, 18, 18, 
2018/9/22, 22, 13, 
2018/9/23, 26, 16, 
2018/9/24, 28, 15, 
2018/9/25, 24, 14, 
2018/9/26, 18, 15, 
2018/9/27, 17, 19, 
2018/9/28, 21, 17, 
2018/9/29, 22, 13, 
2018/9/30, 19, 15, 
2018/4/1, 22, 29, 
2018/4/2, 24, 32, 
2018/4/3, 39, 26, 
2018/4/4, 29, 26, 
2018/4/5, 30, 32, 
2018/4/6, 30, 30, 
2018/4/7, 31, 27, 
2018/4/8, 26, 23, 
2018/4/9, 26, 28, 
2018/4/10, 34, 33, 
2018/4/11, 44, 32, 
2018/4/12, 49, 31, 
2018/4/13, 35, 29, 
2018/4/14, 30, 26, 
2018/4/15, 27, 28, 
2018/4/16, 26, 26, 
2018/4/17, 19, 23, 
2018/4/18, 25, 27, 
2018/4/19, 23, 29, 
2018/4/20, 19, 31, 
2018/4/21, 21, 33, 
2018/4/22, 24, 34, 
2018/4/23, 29, 41, 
2018/4/24, 39, 36, 
2018/4/25, 47, 25, 
2018/4/26, 20, 22, 
2018/4/27, 30, 20, 
2018/4/28, 29, 17, 
2018/4/29, 24, 17, 
2018/4/30, 28, 20, 
2018/5/1, 19, 37, 
2018/5/2, 41, 23, 
2018/5/3, 15, 21, 
2018/5/4, 24, 26, 
2018/5/5, 19, 25, 
2018/5/6, 20, 29, 
2018/5/7, 18, 33, 
2018/5/8, 25, 28, 
2018/5/9, 26, 35, 
2018/5/10, 26, 24, 
2018/5/11, 15, 26, 
2018/5/12, 19, 31, 
2018/5/13, 23, 32, 
2018/5/14, 25, 27, 
2018/5/15, 33, 25, 
2018/5/16, 19, 23, 
2018/5/17, 25, 25, 
2018/5/18, 20, 28, 
2018/5/19, 28, 26, 
2018/5/20, 19, 32, 
2018/5/21, 25, 29, 
2018/5/22, 38, 26, 
2018/5/23, 33, 27, 
2018/5/24, 20, 32, 
2018/5/25, 41, 26, 
2018/5/26, 37, 22, 
2018/5/27, 22, 21, 
2018/5/28, 25, 25, 
2018/5/29, 17, 27, 
2018/5/30, 21, 36, 
