date, pm25, pm10, no2, so2, co
2019/5/11, 68, 207, 9, 2, 4
2019/5/12, 177, 62, 19, 4, 6
2019/5/13, 92, 81, 25, 5, 7
2019/5/14, 108, 139, 16, 4, 6
2019/5/15, 149, 114, 21, 4, 5
2019/5/16, 163, 82, 12, 4, 5
2019/5/17, 146, 75, 13, 3, 5
2019/5/18, 108, 93, 6, 3, 3
2019/5/19, 80, 29, 10, 3, 5
2019/5/20, 48, 34, 17, 3, 6
2019/5/21, 68, 34, 22, 3, 6
2019/5/22, 68, 57, 25, 6, 6
2019/5/23, 82, 60, 27, 5, 6
2019/5/24, 84, 73, 21, 5, 6
2019/5/25, 101, 34, 6, 3, 2
2019/5/26, 59, 14, 8, 1, 3
2019/5/27, 31, 33, 20, 4, 5
2019/5/28, 61, 48, 21, 5, 6
2019/5/29, 82, 27, 6, 2, 3
2019/5/30, 45, 31, 17, 3, 4
2019/5/31, 54, 53, 12, 4, 5
2019/6/1, 77, 52, 12, 3, 5
2019/6/2, 64, 42, 18, 4, 5
2019/6/3, 54, 51, 7, 3, 4
2019/6/4, 62, 27, 8, 3, 5
2019/6/5, 46, 52, 11, 5, 6
2019/6/6, 78, 43, 12, 3, 5
2019/6/7, 54, 27, 10, 3, 4
2019/6/8, 36, 10, 5, 2, 4
2019/6/9, 31, 20, 14, 3, 5
2019/6/10, 38, 46, 22, 4, 6
2019/6/11, 77, 36, 13, 4, 7
2019/6/12, 71, 30, 11, 3, 6
2019/6/13, 52, 23, 13, 2, 4
2019/6/14, 33, 33, 10, 4, 6
2019/6/15, 62, 32, 9, 3, 7
2019/6/16, 66, 41, 17, 5, 8
2019/6/17, 63, 40, 14, 4, 8
2019/6/18, 62, 25, 10, 2, 6
2019/6/19, 39, 38, 11, 3, 7
2019/6/20, 68, 40, 16, 3, 6
2019/6/21, 56, 56, 14, 5, 7
2019/6/22, 84, 41, 11, 4, 7
2019/6/23, 80, 47, 13, 3, 8
2019/6/24, 98, 54, 12, 5, 8
2019/6/25, 102, 47, 13, 4, 7
2019/6/26, 75, 26, 14, 2, 6
2019/6/27, 62, 45, 11, 4, 6
2019/6/28, 79, 20, 7, 2, 3
2019/6/29, 22, 33, 17, 3, 3
2019/6/30, 46, 27, 18, 3, 5
2019/1/1, 99, 74, 32, 22, 16
2019/1/2, 153, 86, 26, 18, 23
2019/1/3, 142, 37, 20, 14, 8
2019/1/4, 62, 54, 33, 28, 13
2019/1/5, 95, 74, 29, 30, 15
2019/1/6, 133, 27, 11, 17, 5
2019/1/7, 38, 39, 18, 20, 7
2019/1/8, 69, 65, 31, 28, 14
2019/1/9, 112, 126, 38, 31, 19
2019/1/10, 190, 102, 34, 17, 15
2019/1/11, 171, 110, 37, 17, 15
2019/1/12, 173, 79, 35, 16, 15
2019/1/13, 140, 67, 22, 9, 11
2019/1/14, 90, 41, 15, 9, 7
2019/1/15, 53, 62, 30, 18, 11
2019/1/16, 114, 69, 32, 18, 14
2019/1/17, 138, 63, 27, 15, 15
2019/1/18, 109, 29, 18, 7, 7
2019/1/19, 46, 41, 17, 9, 7
2019/1/20, 62, 58, 25, 14, 10
2019/1/21, 95, 82, 31, 18, 16
2019/1/22, 144, 84, 37, 24, 21
2019/1/23, 157, 52, 25, 10, 11
2019/1/24, 83, 25, 16, 8, 5
2019/1/25, 42, 55, 27, 15, 11
2019/1/26, 93, 64, 17, 10, 10
2019/1/27, 83, 53, 28, 15, 12
2019/1/28, 92, 78, 28, 18, 11
2019/1/29, 134, 41, 10, 5, 5
2019/1/30, 36, 88, 14, 10, 8
2019/1/31, 72, 89, 23, 13, 10
2019/2/1, 130, 109, 27, 18, 18
2019/2/2, 163, 117, 14, 9, 8
2019/2/3, 101, 122, 25, 18, 11
2019/2/4, 149, 127, 21, 19, 11
2019/2/5, 244, 93, 11, 9, 9
2019/2/6, 108, 18, 13, 8, 6
2019/2/7, 37, 40, 12, 8, 8
2019/2/8, 66, 33, 12, 8, 6
2019/2/9, 58, 59, 18, 11, 10
2019/2/10, 108, 30, 14, 8, 7
2019/2/11, 60, 39, 16, 9, 9
2019/2/12, 71, 33, 12, 7, 9
2019/2/13, 58, 47, 12, 6, 8
2019/2/14, 77, 22, 13, 7, 7
2019/2/15, 57, 41, 27, 13, 10
2019/2/16, 95, 31, 26, 10, 10
2019/2/17, 77, 43, 28, 12, 10
2019/2/18, 104, 70, 21, 10, 10
2019/2/19, 159, 62, 32, 14, 13
2019/2/20, 152, 65, 37, 14, 14
2019/2/21, 147, 70, 39, 16, 15
2019/2/22, 148, 64, 35, 13, 11
2019/2/23, 134, 33, 25, 8, 8
2019/2/24, 55, 35, 18, 8, 7
2019/2/25, 69, 66, 21, 8, 9
2019/2/26, 131, 57, 21, 7, 8
2019/2/27, 82, 77, 29, 10, 9
2019/2/28, 131, 83, 30, 10, 10
2019/3/1, 145, 89, 33, 10, 11
2019/3/2, 164, 113, 38, 13, 13
2019/3/3, 188, 68, 29, 9, 9
2019/3/4, 113, 40, 15, 7, 5
2019/3/5, 42, 21, 12, 6, 4
2019/3/6, 38, 48, 24, 8, 7
2019/3/7, 78, 83, 31, 11, 10
2019/3/8, 159, 87, 23, 5, 11
2019/3/9, 178, 52, 21, 5, 9
2019/3/10, 117, 38, 16, 5, 7
2019/3/11, 56, 27, 14, 7, 6
2019/3/12, 41, 41, 20, 8, 8
2019/3/13, 65, 38, 12, 7, 7
2019/3/14, 45, 50, 6, 6, 6
2019/3/15, 63, 54, 13, 8, 7
2019/3/16, 88, 56, 25, 7, 7
2019/3/17, 79, 82, 31, 11, 9
2019/3/18, 138, 93, 41, 12, 11
2019/3/19, 146, 95, 21, 7, 9
2019/3/20, 90, 20, 8, 4, 5
2019/3/21, 35, 35, 9, 4, 4
2019/3/22, 37, 43, 16, 7, 5
2019/3/23, 64, 67, 28, 10, 8
2019/3/24, 110, 68, 26, 10, 8
2019/3/25, 103, 85, 27, 10, 9
2019/3/26, 118, 47, 14, 6, 4
2019/3/27, 49, 28, 10, 6, 6
2019/3/28, 43, 40, 10, 3, 5
2019/3/29, 40, 25, 9, 4, 5
2019/3/30, 27, 44, 17, 6, 7
2019/3/31, 66, 42, 21, 7, 7
2018/10/1, 40, 43, 21, 7, 7
2018/10/2, 64, 48, 26, 7, 7
2018/10/3, 84, 61, 33, 8, 9
2018/10/4, 103, 54, 27, 5, 8
2018/10/5, 91, 23, 14, 5, 6
2018/10/6, 34, 49, 18, 7, 11
2018/10/7, 75, 31, 15, 5, 4
2018/10/8, 39, 20, 10, 5, 3
2018/10/9, 30, 27, 15, 5, 4
2018/10/10, 42, 38, 22, 6, 5
2018/10/11, 58, 56, 28, 8, 6
2018/10/12, 91, 72, 37, 9, 8
2018/10/13, 127, 66, 32, 8, 7
2018/10/14, 136, 57, 29, 8, 8
2018/10/15, 116, 32, 25, 8, 6
2018/10/16, 47, 33, 21, 8, 6
2018/10/17, 46, 41, 18, 8, 6
2018/10/18, 87, 66, 30, 8, 10
2018/10/19, 159, 69, 29, 10, 10
2018/10/20, 161, 75, 26, 11, 10
2018/10/21, 164, 80, 17, 7, 7
2018/10/22, 99, 66, 23, 11, 8
2018/10/23, 107, 75, 30, 13, 11
2018/10/24, 132, 77, 26, 9, 9
2018/10/25, 98, 27, 5, 5, 5
2018/10/26, 23, 70, 23, 11, 10
2018/10/27, 130, 41, 8, 6, 6
2018/10/28, 29, 20, 11, 7, 7
2018/10/29, 31, 50, 25, 11, 11
2018/10/30, 84, 79, 31, 11, 13
2018/10/31, 116, 75, 36, 11, 11
2018/11/1, 121, 99, 45, 16, 13
2018/11/2, 163, 85, 34, 11, 10
2018/11/3, 126, 27, 13, 7, 6
2018/11/4, 60, 51, 21, 10, 9
2018/11/5, 103, 35, 24, 10, 8
2018/11/6, 62, 58, 29, 15, 11
2018/11/7, 115, 82, 34, 16, 14
2018/11/8, 151, 50, 16, 11, 9
2018/11/9, 61, 65, 33, 13, 10
2018/11/10, 113, 85, 33, 16, 14
2018/11/11, 159, 87, 35, 15, 14
2018/11/12, 165, 72, 40, 15, 13
2018/11/13, 141, 66, 29, 12, 12
2018/11/14, 112, 19, 8, 6, 6
2018/11/15, 25, 41, 21, 10, 7
2018/11/16, 67, 64, 26, 14, 10
2018/11/17, 109, 75, 24, 13, 11
2018/11/18, 109, 82, 33, 17, 13
2018/11/19, 133, 59, 23, 11, 11
2018/11/20, 97, 53, 20, 13, 12
2018/11/21, 82, 60, 28, 15, 12
2018/11/22, 108, 58, 28, 13, 12
2018/11/23, 98, 69, 32, 18, 13
2018/11/24, 120, 91, 35, 19, 20
2018/11/25, 151, 365, 30, 17, 18
2018/11/26, 199, 103, 18, 10, 9
2018/11/27, 122, 96, 28, 15, 15
2018/11/28, 130, 69, 27, 13, 12
2018/11/29, 98, 102, 36, 21, 17
2018/11/30, 163, 88, 37, 20, 17
2018/12/1, 155, 166, 29, 18, 14
2018/12/2, 162, 138, 14, 9, 7
2018/12/3, 126, 70, 13, 9, 7
2018/12/4, 76, 73, 23, 15, 10
2018/12/5, 94, 26, 9, 8, 6
2018/12/6, 35, 21, 7, 7, 4
2018/12/7, 38, 46, 16, 13, 8
2018/12/8, 79, 57, 26, 16, 12
2018/12/9, 108, 83, 23, 17, 14
2018/12/10, 135, 48, 14, 10, 9
2018/12/11, 68, 74, 27, 20, 15
2018/12/12, 129, 102, 34, 27, 24
2018/12/13, 172, 66, 33, 21, 16
2018/12/14, 132, 110, 35, 29, 21
2018/12/15, 175, 101, 30, 17, 15
2018/12/16, 142, 87, 30, 19, 15
2018/12/17, 150, 86, 31, 20, 19
2018/12/18, 149, 110, 32, 19, 22
2018/12/19, 153, 75, 30, 17, 14
2018/12/20, 136, 85, 23, 15, 11
2018/12/21, 124, , , , 
2018/12/27, 35, 45, 14, 13, 7
2018/12/28, 68, 67, 25, 19, 11
2018/12/29, 122, 57, 30, 18, 14
2018/12/30, 121, , , , 
2018/7/1, 83, 45, 12, 5, 10
2018/7/2, 108, 49, 12, 5, 10
2018/7/3, 119, 37, 20, 4, 9
2018/7/4, 64, 51, 25, 5, 9
2018/7/5, 65, 56, 18, 6, 9
