date, pm25, o3, no2, co
2019/2/7, 9, , , 
2019/2/8, 11, , , 
2019/2/9, 48, , , 
2019/2/10, 47, , , 
2019/2/11, 17, , , 
2019/2/12, 15, , , 
2019/2/13, 44, , , 
2019/2/14, 14, , , 
2019/2/15, 14, , , 
2019/2/16, 51, , , 
2019/2/17, 14, , , 
2019/2/18, 8, , , 
2019/2/19, 22, , , 
2019/2/20, 37, , , 
2019/2/21, 26, , , 
2019/2/22, 42, , , 
2019/2/23, 52, , , 
2019/2/24, 6, , , 
2019/2/25, 11, , , 
2019/2/26, 26, , , 
2019/2/27, 24, , , 
2019/2/28, 16, , , 
2019/3/1, 28, , , 
2019/3/2, 10, , , 
2019/3/3, 10, , , 
2019/3/4, 5, , , 
2019/3/5, 11, , , 
2019/3/6, 14, , , 
2019/3/7, 28, , , 
2019/3/8, 40, , , 
2019/3/9, 46, , , 
2019/3/10, 22, , , 
2019/3/11, 37, , , 
2019/3/12, 36, , , 
2019/3/13, 41, , , 
2019/3/14, 9, , , 
2019/3/15, 13, , , 
2019/3/16, 30, , , 
2019/3/17, 30, , , 
2019/3/18, 26, , , 
2019/3/19, 37, , , 
2019/3/20, 11, , , 
2019/3/21, 14, , , 
2019/3/22, 13, , , 
2019/3/23, 27, , , 
2019/3/24, 8, , , 
2019/3/25, 15, , , 
2019/3/26, 33, , , 
2019/3/27, 24, , , 
2019/3/28, 11, , , 
2019/3/29, 11, , , 
2019/3/30, 18, , , 
2019/3/31, 18, , , 
2018/11/14, 28, , , 
2018/11/15, 31, , , 
2018/11/16, 6, , , 
2018/11/17, 14, , , 
2018/11/18, 17, , , 
2018/11/19, 10, , , 
2018/11/20, 19, , , 
2018/11/21, 13, , , 
2018/11/22, 50, , , 
2018/11/23, 43, , , 
2018/11/24, 16, , , 
2018/11/25, 10, , , 
2018/11/26, 6, , , 
2018/11/27, 16, , , 
2018/11/28, 12, , , 
2018/11/29, 35, , , 
2018/11/30, 35, , , 
2018/12/1, 21, , , 
2018/12/2, 13, , , 
2018/12/3, 15, , , 
2018/12/4, 50, , , 
2018/12/5, 11, , , 
2018/12/6, 17, , , 
2018/12/7, 27, , , 
2018/12/8, 36, , , 
2018/12/9, 40, , , 
2018/12/10, 34, , , 
2018/12/11, 48, , , 
2018/12/12, 88, , , 
2018/12/13, 31, , , 
2018/12/14, 12, , , 
2018/12/15, 12, , , 
2018/12/16, 12, , , 
2018/12/17, 25, , , 
2018/12/18, 25, , , 
2018/12/19, 27, , , 
2018/12/20, 12, , , 
2018/12/21, 10, , , 
