date, o3, no2, so2
2018/4/7, 32, 9, 
2018/4/8, 29, 8, 
2018/4/9, 26, 8, 
2018/4/10, 31, 9, 
2018/4/11, 22, 9, 
2018/4/12, 17, 13, 
2018/4/13, 16, 15, 
2018/4/14, 21, 6, 
2018/4/15, 27, 6, 
2018/4/16, 32, 10, 
2018/4/17, 38, 14, 1
2018/4/18, 43, 11, 1
2018/4/19, 46, 22, 2
2018/4/20, 36, 5, 
2018/4/21, 38, 6, 1
2018/4/22, 46, 6, 
2018/4/23, 29, 7, 
2018/4/24, 27, 4, 
2018/4/25, 30, 4, 
2018/4/26, 33, 7, 1
2018/4/27, 33, 7, 
2018/4/28, 25, 5, 
2018/4/29, 31, 4, 
2018/4/30, 33, 3, 
2018/5/1, 37, 8, 
2018/5/2, 37, 4, 
2018/5/3, 36, 7, 
2018/5/4, 38, 6, 
2018/5/5, 44, 5, 1
2018/5/6, 50, 7, 1
2018/5/7, 48, 9, 1
2018/5/8, 62, 8, 
2018/5/9, 39, 6, 
2018/5/10, 34, 4, 
2018/5/11, 41, 7, 
2018/5/12, 47, 4, 
2018/5/13, 39, 5, 
2018/5/14, 37, 6, 
2018/5/15, 49, 3, 
2018/5/16, 40, 1, 
2018/5/17, 34, 1, 
2018/5/18, 33, 2, 
2018/5/19, 33, 5, 
2018/5/20, 35, 5, 
2018/5/21, 47, 8, 
2018/5/22, 46, 6, 
2018/5/23, 51, 8, 
2018/5/24, 33, 9, 
2018/5/25, 35, 7, 
2018/5/26, 63, 5, 
2018/5/27, 45, 6, 1
2018/5/28, 59, 4, 
2018/5/29, 55, 7, 
2018/5/30, 43, 8, 
2018/5/31, 38, 6, 
2018/6/1, 50, 8, 
2018/6/2, 22, 9, 
2018/6/3, 31, 4, 
2018/6/4, 46, 2, 
2018/6/5, 37, 5, 
2018/6/6, 31, 7, 
2018/6/7, 45, 5, 
2018/6/8, 39, 3, 
2018/6/9, 35, 2, 
2018/6/10, 38, 3, 
2018/6/11, 32, 1, 
2018/6/12, 32, 1, 
2018/6/13, 30, 7, 
2018/6/14, 28, 7, 
2018/6/15, 32, 7, 
2018/6/16, 27, 2, 
2018/6/17, 28, 3, 
2018/6/18, 29, 5, 
2018/6/19, 21, 6, 
2018/6/20, 19, 2, 
2018/6/21, 27, , 
2018/6/22, 28, 2, 
2018/6/23, 35, 1, 
2018/6/24, 31, 1, 
2018/6/25, 25, 2, 
2018/6/26, 33, 4, 
2018/6/27, 37, 5, 
2018/6/28, 40, 2, 
2018/6/29, 37, 4, 
2018/6/30, 43, 2, 
2018/1/6, 24, 4, 
2018/1/7, 19, 8, 
2018/1/8, 16, 12, 
2018/1/9, 10, 16, 
2018/1/10, 3, 15, 
2018/1/11, 6, 12, 
2018/1/12, 4, 14, 
2018/1/13, 6, 9, 
2018/1/14, 8, 8, 
2018/1/15, 21, 1, 
2018/1/16, 33, 1, 
2018/1/17, 31, 2, 
2018/1/18, 31, 1, 
2018/1/19, 30, 8, 
2018/1/20, 29, 3, 
2018/1/21, 31, 4, 
2018/1/22, 26, 12, 
2018/1/23, 23, 5, 
2018/1/24, 28, 10, 
2018/1/25, 29, 15, 
2018/1/26, 15, 10, 
2018/1/27, 21, 6, 
2018/1/28, 21, 3, 
2018/1/29, 28, 8, 
2018/1/30, 25, 5, 
2018/1/31, 32, 2, 
2018/2/1, 27, 2, 
2018/2/2, 28, 7, 
2018/2/3, 15, , 
2018/2/5, 15, 8, 
2018/2/6, 21, 11, 
2018/2/7, 17, 21, 
2018/2/8, 18, 16, 1
2018/2/9, 13, 9, 
2018/2/10, 24, 2, 
2018/2/11, 31, 3, 
2018/2/12, 30, 12, 
2018/2/13, 24, 10, 
2018/2/14, 22, 9, 
2018/2/15, 24, 4, 
2018/2/16, 27, 18, 1
2018/2/17, 16, 19, 1
2018/2/18, 13, 21, 
2018/2/19, 4, 18, 
2018/2/20, 12, 9, 1
2018/2/21, 24, 10, 
2018/2/22, 24, 8, 
2018/2/23, 23, 5, 
2018/2/24, 25, 3, 
2018/2/25, 28, 4, 
2018/2/26, 28, 6, 
2018/2/27, 27, 6, 
2018/2/28, 24, 7, 
2018/3/1, 25, 6, 1
2018/3/2, 28, 11, 1
2018/3/3, 20, 11, 1
2018/3/4, 20, 13, 1
2018/3/5, 25, 15, 1
2018/3/6, 23, 18, 
2018/3/7, 18, 10, 
2018/3/8, 29, 13, 
2018/3/9, 23, 10, 1
2018/3/10, 18, 13, 
2018/3/11, 14, 11, 
2018/3/12, 22, 6, 
2018/3/13, 28, 11, 
2018/3/14, 26, 12, 
2018/3/15, 17, 8, 
2018/3/16, 15, 2, 
2018/3/17, 28, 2, 
2018/3/18, 31, 4, 
2018/3/19, 31, 2, 
2018/3/20, 34, 6, 
2018/3/21, 35, 5, 
2018/3/22, 28, 11, 
2018/3/23, 27, 8, 
2018/3/24, 24, 8, 
2018/3/25, 19, 6, 
2018/3/26, 28, 13, 
2018/3/27, 23, 7, 
2018/3/28, 32, 7, 
2018/3/29, 32, 7, 
2018/3/30, 31, 10, 
2018/3/31, 27, 6, 
2017/4/1, 36, 7, 
2017/4/2, 28, 6, 
2017/4/3, 28, 13, 
2017/4/4, 21, 3, 
2017/4/5, 36, , 
2017/4/6, 37, 4, 
2017/4/7, 33, 2, 
2017/4/8, 36, 11, 1
2017/4/9, 42, 4, 
2017/4/10, 36, 2, 
2017/4/11, 34, 5, 
2017/4/12, 29, 1, 
2017/4/13, 35, 4, 
2017/4/14, 35, 2, 
2017/4/15, 35, 1, 
2017/4/16, 36, 1, 
2017/4/17, 38, 1, 
2017/4/18, 36, 4, 
2017/4/19, 35, 9, 1
2017/4/20, 35, 7, 
2017/4/21, 28, 1, 
2017/4/22, 36, 1, 
2017/4/23, 37, 7, 1
2017/4/24, 26, , 
2017/4/25, 35, 1, 
2017/4/26, 36, 1, 
2017/4/27, 35, , 
2017/4/28, 36, 1, 
2017/4/29, 37, 5, 
2017/4/30, 42, 5, 
2017/5/1, 34, 8, 
2017/5/2, 28, 5, 
2017/5/3, 25, 4, 
2017/5/4, 28, 4, 
2017/5/5, 32, 5, 
2017/5/6, 31, 2, 
2017/5/7, 37, 1, 
2017/5/8, 35, 1, 
2017/5/9, 36, 4, 
2017/5/10, 37, 10, 1
2017/5/11, 36, 6, 1
2017/5/12, 32, 6, 1
2017/5/13, 31, 7, 
2017/5/14, 32, 8, 1
2017/5/15, 29, 9, 1
2017/5/16, 36, 7, 
2017/5/17, 60, 4, 
2017/5/18, 33, 3, 
2017/5/19, 34, 4, 
2017/5/20, 36, 5, 1
2017/5/21, 36, 5, 1
2017/5/22, 48, 8, 
2017/5/23, 33, 8, 
2017/5/24, 29, 4, 
2017/5/25, 30, 3, 
2017/5/26, 40, 4, 
2017/5/27, 60, 5, 
2017/5/28, 35, 5, 
2017/5/29, 48, 7, 
2017/5/30, 29, 5, 
2017/5/31, 34, 4, 
2017/6/1, 38, 5, 
2017/6/2, 51, 7, 1
2017/6/3, 38, 3, 
2017/6/4, 32, 4, 
2017/6/5, 34, 2, 
2017/6/6, 27, 1, 
2017/6/7, 29, 4, 
2017/6/8, 30, 5, 
2017/6/9, 31, 4, 1
2017/6/10, 37, 6, 1
2017/6/11, 39, 2, 
2017/6/12, 29, 3, 
2017/6/13, 33, 4, 1
2017/6/14, 36, 10, 
2017/6/15, 28, 2, 
2017/6/16, 33, 4, 
2017/6/17, 38, 4, 1
2017/6/18, 39, 9, 1
2017/6/19, 22, , 
2017/1/2, 30, 2, 
2017/1/3, 27, , 
2017/1/4, 32, 7, 
2017/1/5, 29, 19, 2
2017/1/6, 8, 12, 1
2017/1/7, 17, 2, 
2017/1/8, 27, 18, 1
2017/1/9, 6, 6, 
2017/1/10, 25, 5, 
2017/1/11, 33, 4, 
2017/1/12, 29, 1, 
2017/1/13, 32, , 
2017/1/14, 32, 3, 
2017/1/15, 30, 10, 
2017/1/16, 22, 16, 
2017/1/17, 11, 19, 
2017/1/18, 5, 21, 
2017/1/19, 3, 25, 1
2017/1/20, 6, 14, 
2017/1/21, 12, 16, 1
2017/1/22, 9, 18, 
2017/1/23, 2, 12, 
2017/1/24, 21, 17, 1
2017/1/25, 11, 19, 
2017/1/26, 9, 23, 1
2017/1/27, 6, 15, 1
2017/1/28, 14, 11, 1
2017/1/29, 18, 4, 
2017/1/30, 22, 8, 
2017/1/31, 24, 14, 1
2017/2/1, 9, 12, 
2017/2/2, 10, 12, 1
2017/2/3, 19, 11, 
2017/2/4, 18, 9, 
2017/2/5, 18, 13, 
2017/2/6, 12, 14, 
2017/2/7, 3, 9, 
2017/2/8, 10, 9, 
2017/2/9, 12, 13, 
2017/2/10, 8, 12, 1
2017/2/11, 11, 8, 1
2017/2/12, 16, 12, 1
2017/2/13, 16, 18, 1
2017/2/14, 19, 23, 2
2017/2/15, 10, 9, 
2017/2/16, 21, 5, 
2017/2/17, 23, 15, 1
2017/2/18, 21, 10, 1
2017/2/19, 19, 11, 
2017/2/20, 15, 7, 
2017/2/21, 25, 5, 
2017/2/22, 28, 3, 
2017/2/23, 32, 1, 
2017/2/24, 35, 11, 
2017/2/25, 30, 5, 
2017/2/26, 28, 5, 
2017/2/27, 31, 4, 
2017/2/28, 36, 5, 
2017/3/1, 30, 4, 
2017/3/2, 34, 15, 
2017/3/3, 19, 9, 
2017/3/4, 25, 6, 
2017/3/5, 30, 10, 
2017/3/6, 23, 4, 
2017/3/7, 28, 10, 
2017/3/8, 21, 11, 
2017/3/9, 32, 10, 
2017/3/10, 28, 15, 1
2017/3/11, 18, 10, 1
2017/3/12, 21, 10, 
2017/3/13, 25, 15, 
2017/3/14, 15, 9, 
2017/3/15, 29, 17, 1
2017/3/16, 25, 5, 
2017/3/17, 30, 4, 
2017/3/18, 28, 5, 
2017/3/19, 28, 4, 
2017/3/20, 30, 4, 
2017/3/21, 33, 10, 1
2017/3/22, 29, 10, 
2017/3/23, 25, 6, 1
2017/3/24, 29, 7, 
2017/3/25, 33, 6, 
2017/3/26, 28, 10, 
2017/3/27, 31, 17, 1
2017/3/28, 30, 5, 
2017/3/29, 33, 10, 1
2017/3/30, 37, 10, 1
2017/3/31, 33, 7, 
2018/10/14, , 10, 
2018/1/5, , 6, 
2018/2/4, , 8, 
2017/1/1, , 2, 
