date, pm25, o3, so2
2017/11/12, 58, , 1
2017/11/13, 53, , 4
2017/11/14, 61, , 
2017/11/15, 39, , 2
2017/11/16, 10, , 
2017/11/17, 32, , 1
2017/11/18, 24, , 1
2017/11/19, 23, , 1
2017/11/20, 29, , 2
2017/11/21, 21, , 1
2017/11/22, 16, , 
2017/11/23, 34, , 2
2017/11/24, 22, , 7
2017/11/25, 15, , 2
2017/11/26, 27, , 
2017/11/27, 39, , 4
2017/11/28, 25, , 4
2017/11/29, 15, , 2
2017/11/30, 19, , 5
2017/12/1, 67, , 2
2017/12/2, 47, , 2
2017/12/3, 62, , 
2017/12/4, 52, , 1
2017/12/5, 23, , 
2017/12/6, 15, , 4
2017/12/7, 11, , 4
2017/12/8, 26, , 
2017/12/9, 25, , 1
2017/12/10, 22, , 
2017/12/11, 32, , 4
2017/12/12, 16, , 2
2017/12/13, 19, , 
2017/12/14, 25, , 
2017/12/15, 23, , 
2017/12/16, 17, , 
2017/12/17, 44, , 1
2017/12/18, 68, , 
2017/12/19, 22, , 1
2017/12/20, 17, , 
2017/12/21, 17, , 
2017/12/22, 25, , 
2017/12/23, 38, , 1
2017/12/24, 52, , 
2017/12/25, 22, , 
2017/12/26, 28, , 1
2017/12/27, 34, , 5
2017/12/28, 60, , 
2017/12/29, 52, , 2
2017/12/30, 27, , 1
2017/12/31, 18, , 1
2017/7/1, 23, , 2
2017/7/2, 23, , 1
2017/7/3, 45, , 1
2017/7/4, 54, , 3
2017/7/5, 30, , 2
2017/7/6, 26, , 1
2017/7/7, 25, , 1
2017/7/8, 21, , 1
2017/7/9, 28, , 1
2017/7/10, 27, , 3
2017/7/11, 24, , 1
2017/7/12, 19, , 1
2017/7/13, 13, , 2
2017/7/14, 19, , 2
2017/7/15, 21, , 1
2017/7/16, 22, , 1
2017/7/17, 23, , 1
2017/7/18, 27, , 
2017/7/19, 41, , 3
2017/7/20, 33, , 2
2017/7/21, 50, , 1
2017/7/22, 38, , 2
2017/7/23, 20, , 1
2017/7/24, 16, , 1
2017/7/25, 22, , 3
2017/7/26, 28, , 1
2017/7/27, 22, , 1
2017/7/28, 27, , 2
2017/7/29, 28, , 2
2017/7/30, 36, , 4
2017/7/31, 38, , 2
2017/8/1, 37, , 1
2017/8/2, 30, , 1
2017/8/3, 16, , 3
2017/8/4, 17, , 1
2017/8/5, 25, , 3
2017/8/6, 22, , 2
2017/8/7, 21, , 2
2017/8/8, 30, , 4
2017/8/9, 36, , 2
2017/8/10, 32, , 2
2017/8/11, 16, , 2
2017/8/12, 26, , 4
2017/8/13, 44, , 4
2017/8/14, 37, , 2
2017/8/15, 33, , 1
2017/8/16, 32, , 4
2017/8/17, 21, , 1
2017/8/18, 18, , 3
2017/8/19, 51, , 2
2017/8/20, 46, , 3
2017/8/21, 45, , 3
2017/8/22, 22, , 2
2017/8/23, 24, , 1
2017/8/24, 12, , 1
2017/8/25, 17, , 1
2017/8/26, 30, , 1
2017/8/27, 39, , 1
2017/8/28, 38, , 1
2017/8/29, 47, , 3
2017/8/30, 40, , 1
2017/8/31, 19, , 
2017/9/1, 13, , 
2017/9/2, 21, , 3
2017/9/3, 44, , 3
2017/9/4, 61, , 
2017/9/5, 20, , 
2017/9/9, 30, , 
2017/9/10, 25, , 5
2017/9/11, 24, , 2
2017/9/12, 40, , 7
2017/9/13, 49, , 
2017/9/14, 107, , 1
2017/9/15, 43, , 
2017/9/16, 49, , 
2017/9/17, 32, , 1
2017/9/18, 10, , 
2017/9/19, 17, , 1
2017/9/20, 36, , 4
2017/9/21, 35, , 1
2017/9/22, 51, , 2
2017/9/23, 48, , 2
2017/9/24, 50, , 2
2017/9/25, 42, , 5
2017/9/26, 34, , 1
2017/9/27, 11, , 2
2017/9/28, 12, , 5
2017/9/29, 9, , 3
2017/9/30, 16, , 
2017/4/1, 36, , 4
2017/4/2, 35, , 1
2017/4/3, 31, , 2
2017/4/4, 23, , 1
2017/4/5, 21, , 
2017/4/6, 11, , 5
2017/4/7, 20, , 1
2017/4/8, 34, , 1
2017/4/9, 56, , 1
2017/4/10, 21, , 1
2017/4/11, 14, , 1
2017/4/12, 26, , 
2017/4/13, 18, , 1
2017/4/14, 29, , 2
2017/4/15, 46, , 1
2017/4/16, 17, , 
2017/4/17, 11, , 
2017/4/18, 22, , 1
2017/4/19, 16, , 
2017/4/20, 11, , 2
2017/4/21, 11, , 1
2017/4/22, 29, , 2
2017/4/23, 30, , 2
2017/4/24, 16, , 2
2017/4/25, 38, , 1
2017/4/26, 38, , 2
2017/4/27, 11, , 1
2017/4/28, 15, , 
2017/4/29, 12, , 
2017/4/30, 11, , 1
2017/5/1, 10, , 2
2017/5/2, 12, , 1
2017/5/3, 24, , 5
2017/5/4, 19, , 
2017/5/5, 11, , 
2017/5/6, 11, , 1
2017/5/7, 10, , 1
2017/5/8, 14, , 1
2017/5/9, 19, , 1
2017/5/10, 34, , 3
2017/5/11, 40, , 9
2017/5/12, 21, , 1
2017/5/13, 44, , 
2017/5/14, 14, , 1
2017/5/15, 16, , 1
2017/5/16, 43, , 1
2017/5/17, 49, , 2
2017/5/18, 16, , 
2017/5/19, 10, , 
2017/5/20, 14, , 2
2017/5/21, 20, , 2
2017/5/22, 17, , 
2017/5/23, 21, , 
2017/5/26, 29, , 1
2017/5/27, 40, , 1
2017/5/28, 34, , 1
2017/5/29, 18, , 2
2017/5/30, 12, , 1
2017/5/31, 14, , 3
2017/6/1, 26, , 1
2017/6/2, 40, , 1
2017/6/3, 33, , 1
2017/6/4, 29, , 
2017/6/5, 21, , 
2017/6/6, 23, , 1
2017/6/7, 26, , 2
2017/6/8, 28, , 1
2017/6/9, 37, , 3
