date, no2, so2
2018/12/21, 7, 1
2018/12/22, 15, 1
2018/12/23, 17, 1
2018/12/24, 13, 
2018/7/1, 9, 1
2018/7/2, 14, 1
2018/7/3, 7, 1
2018/7/4, 9, 1
2018/7/5, 11, 1
2018/7/6, 10, 1
2018/7/7, 4, 
2018/7/9, 2, 1
2018/7/10, 6, 1
2018/7/11, 10, 1
2018/7/12, 11, 1
2018/7/13, 8, 1
2018/7/14, 8, 1
2018/7/15, 14, 1
2018/7/16, 10, 1
2018/7/17, 8, 1
2018/7/18, 9, 1
2018/7/19, 7, 1
2018/7/20, 7, 1
2018/7/21, 16, 1
2018/7/22, 5, 1
2018/7/23, 7, 1
2018/7/24, 2, 1
2018/7/25, 6, 1
2018/7/26, 3, 1
2018/7/27, 8, 1
2018/7/28, 11, 2
2018/7/29, 9, 1
2018/7/30, 3, 1
2018/7/31, 4, 1
2018/8/1, 5, 1
2018/8/2, 4, 2
2018/8/3, 5, 2
2018/8/4, 5, 2
2018/8/5, 9, 2
2018/8/6, 11, 2
2018/8/7, 12, 2
2018/8/8, 8, 2
2018/8/9, 13, 2
2018/8/10, 9, 2
2018/8/11, 11, 2
2018/8/12, 25, 2
2018/8/13, 11, 2
2018/8/14, 12, 2
2018/8/15, 4, 2
2018/8/16, 5, 2
2018/8/17, 11, 2
2018/8/18, 9, 2
2018/8/19, 3, 2
2018/8/20, 5, 2
2018/8/21, 5, 2
2018/8/22, 13, 2
2018/8/23, 12, 2
2018/8/24, 11, 2
2018/8/25, 9, 2
2018/8/26, 3, 
2018/8/28, 3, 2
2018/8/29, 8, 2
2018/8/30, 14, 2
2018/8/31, 12, 2
2018/9/1, 10, 2
2018/9/2, 5, 2
2018/9/3, 8, 2
2018/9/4, 10, 2
2018/9/5, 5, 2
2018/9/6, 8, 2
2018/9/7, 12, 2
2018/9/8, 6, 2
2018/9/9, 6, 2
2018/9/10, 7, 2
2018/9/11, 5, 
2018/9/18, 14, 5
2018/9/19, 14, 5
2018/9/20, 14, 5
2018/9/21, 11, 5
2018/9/22, 9, 6
2018/9/23, 8, 5
2018/9/24, 4, 3
2018/9/25, 1, 1
2018/9/26, 1, 1
2018/9/27, 10, 1
2018/9/28, 12, 1
2018/9/29, 4, 1
2018/9/30, 5, 1
2018/4/3, 9, 2
2018/4/4, 7, 2
2018/4/5, 10, 3
2018/4/6, 3, 3
2018/4/7, 5, 2
2018/4/8, 9, 3
2018/4/9, 6, 2
2018/4/10, 8, 
2018/4/11, 11, 1
2018/4/12, 8, 1
2018/4/13, 6, 1
2018/4/14, 12, 2
2018/4/15, 14, 2
2018/4/16, 5, 2
2018/4/17, 8, 2
2018/4/18, 2, 2
2018/4/19, 5, 2
2018/4/20, 2, 2
2018/4/21, 6, 1
2018/4/22, 8, 2
2018/4/23, 10, 2
2018/4/24, 12, 2
2018/4/25, 10, 3
2018/4/26, 12, 
2018/4/27, 6, 
2018/4/28, 12, 
2018/4/29, 9, 
2018/4/30, 10, 
2018/5/1, 7, 
2018/5/2, 10, 
2018/5/3, 6, 3
2018/5/4, 8, 3
2018/5/5, 8, 3
2018/5/6, 2, 3
2018/5/7, 4, 3
2018/5/8, 3, 3
2018/5/9, 8, 
2018/5/10, 7, 
2018/5/11, 9, 
2018/5/12, 8, 
2018/5/13, 7, 
2018/5/14, 4, 
2018/5/15, 6, 
2018/5/16, 7, 
2018/5/17, 7, 
2018/5/18, 9, 
2018/5/19, 4, 
2018/5/20, 2, 
2018/5/21, 6, 
2018/5/22, 9, 
2018/5/23, 6, 1
2018/5/24, 4, 1
2018/5/25, 10, 1
2018/5/26, 9, 1
2018/5/27, 9, 1
2018/5/28, 10, 1
2018/5/29, 8, 1
2018/5/30, 9, 1
2018/5/31, 8, 2
2018/6/1, 7, 1
2018/6/2, 5, 1
2018/6/3, 7, 2
2018/6/4, 8, 2
2018/6/5, 12, 1
2018/6/6, 3, 2
2018/6/7, 4, 2
2018/6/8, 11, 4
2018/6/9, 7, 4
2018/6/10, 7, 4
2018/6/11, 7, 4
2018/6/12, 6, 4
2018/6/13, 7, 4
2018/6/14, 4, 4
2018/6/15, 2, 4
2018/6/16, 2, 4
2018/6/17, 2, 2
2018/6/18, 2, 1
2018/6/19, 1, 1
2018/6/20, 1, 1
2018/6/21, 7, 1
2018/6/22, 7, 1
2018/6/23, 1, 1
2018/6/24, 1, 1
2018/6/25, 1, 1
2018/6/26, 2, 1
2018/6/27, 2, 1
2018/6/28, 3, 1
2018/6/29, 6, 1
2018/6/30, 5, 1
2018/1/1, 2, 2
2018/1/2, 5, 2
2018/1/3, 9, 2
2018/1/4, 11, 2
2018/1/5, 5, 2
2018/1/6, 1, 3
2018/1/7, , 3
2018/1/8, 1, 3
2018/1/9, 1, 3
2018/1/10, 10, 1
2018/1/11, 5, 3
2018/1/12, 2, 4
2018/1/13, 2, 2
2018/1/14, 6, 1
2018/1/15, 14, 1
2018/1/16, 9, 2
2018/1/17, 6, 1
2018/1/18, 3, 2
2018/1/19, 8, 1
2018/1/20, 6, 1
2018/1/21, 3, 1
2018/1/22, 5, 2
2018/1/23, 10, 2
2018/1/24, 8, 2
2018/1/25, 12, 2
2018/1/26, 15, 2
2018/1/27, 18, 2
2018/1/28, 9, 2
2018/1/29, 14, 2
2018/1/30, 15, 2
2018/1/31, 16, 3
2018/2/1, 9, 2
2018/2/2, 6, 
2018/2/3, 5, 
2018/2/4, 9, 
2018/2/5, 11, 
2018/2/6, 10, 
2018/2/7, 8, 1
2018/2/8, 10, 1
2018/2/9, 11, 2
2018/2/10, 4, 1
2018/2/11, 2, 
2018/2/12, 12, 1
2018/2/13, 4, 1
2018/2/14, 3, 1
2018/2/15, 3, 1
2018/2/16, 15, 1
2018/2/17, 17, 1
2018/2/18, 4, 2
2018/2/19, 7, 1
2018/2/20, 9, 2
2018/2/21, 2, 2
2018/2/22, 6, 2
2018/2/23, 5, 
2018/2/24, 1, 
2018/2/26, 2, 20
2018/2/27, 3, 17
2018/2/28, 5, 18
2018/3/1, 7, 14
2018/3/2, 16, 
2018/3/3, 8, 
2018/3/4, 10, 
2018/3/5, 11, 
2018/3/6, 11, 
2018/3/7, 7, 
2018/3/8, 6, 
2018/3/9, 11, 
2018/3/10, 10, 
2018/3/11, 4, 1
2018/3/12, 8, 
2018/3/13, 12, 
2018/3/14, 11, 1
2018/3/15, 8, 1
2018/3/16, 10, 1
2018/3/17, 8, 1
2018/3/18, 6, 1
2018/3/19, 6, 
2018/3/20, 6, 
2018/3/21, 2, 3
2018/3/22, 2, 
2018/3/23, 2, 
2018/3/24, 6, 
2018/3/25, 6, 2
2018/3/26, 5, 1
2018/3/27, 7, 1
2018/3/28, 10, 1
2018/3/29, 11, 2
2018/3/30, 3, 3
2018/3/31, 2, 
2017/10/1, 10, 2
2017/10/2, 11, 2
2017/10/3, 9, 2
2017/10/4, 10, 2
2017/10/5, 11, 2
2017/10/6, 7, 1
2017/10/7, 1, 2
2017/10/8, 6, 2
2017/10/9, 11, 2
2017/10/10, 12, 2
2017/10/11, 13, 2
2017/10/12, 13, 2
2017/10/13, 16, 2
2017/10/14, 16, 2
2017/10/15, 14, 2
2017/10/16, 15, 2
2017/10/17, 20, 2
2017/10/18, 18, 2
2017/10/19, 16, 2
2017/10/20, 12, 2
2017/10/21, 11, 2
2017/10/22, 9, 2
2017/10/23, 1, 2
2017/10/24, 2, 2
2017/10/25, 2, 2
2017/10/26, 14, 2
2017/10/27, 14, 2
2017/10/28, 2, 2
2017/10/29, 7, 2
2017/10/30, 2, 2
2017/10/31, 6, 2
2017/11/1, 13, 2
2017/11/2, 15, 2
2017/11/3, 18, 2
2017/11/4, 11, 2
2017/11/5, 9, 2
2017/11/6, 6, 2
2017/11/7, 10, 2
2017/11/8, 9, 1
2017/11/9, 12, 
2017/11/10, 14, 
2017/11/11, 14, 
2017/11/12, 8, 
2017/11/13, 7, 
2017/11/14, 1, 1
2017/11/23, 10, 
2017/11/24, 19, 
2017/11/25, 11, 
2017/11/26, 3, 
2017/11/27, , 
2017/11/28, 12, 
2017/11/29, 7, 
2017/11/30, 2, 
2017/12/1, 9, 2
2017/12/2, 1, 
2017/12/3, 2, 
2017/12/4, 6, 
2017/12/5, 4, 
2017/12/6, 13, 
2017/12/7, 12, 
2017/12/8, 10, 
2017/12/9, 2, 
2017/12/10, 4, 
2017/12/11, 9, 
2017/12/12, 2, 
2017/12/13, 12, 
2017/12/14, 8, 
2017/12/15, 3, 
2017/12/16, 9, 
2017/12/17, , 
2017/12/18, , 
2017/12/19, 1, 1
2017/12/20, , 
2017/12/21, 3, 1
2017/12/22, 3, 1
2017/12/23, 3, 1
2017/12/24, 12, 1
2017/12/25, 11, 1
2017/12/26, 8, 1
2017/12/27, 3, 1
2017/12/28, 5, 1
2017/12/29, , 1
2017/12/30, 9, 
2017/7/1, 3, 1
2017/7/2, 2, 1
2017/7/3, 1, 1
2017/7/4, 2, 1
2017/7/5, 8, 1
2017/7/6, 13, 1
2017/7/7, 14, 1
2017/7/8, 19, 1
2017/7/9, 16, 1
2017/7/10, 14, 1
2017/7/11, 11, 1
2017/7/12, 11, 1
2017/7/13, 11, 1
2017/7/14, 3, 1
2017/7/15, 1, 1
2017/7/16, , 1
2017/7/17, 1, 1
2017/7/18, 7, 1
2017/7/19, 15, 1
2017/7/20, 13, 1
2017/7/21, 15, 1
2017/7/22, 15, 1
2017/7/23, 13, 1
2017/7/24, 16, 1
2017/7/25, 5, 1
2017/7/26, 5, 1
2017/7/27, 5, 1
2017/7/28, 10, 1
2017/7/29, 12, 1
2017/7/30, 14, 1
2017/7/31, 16, 1
2017/8/1, 12, 1
2017/8/2, 22, 1
2017/8/3, 18, 1
2017/8/4, 18, 1
2017/8/5, 22, 1
2017/8/6, 13, 1
2017/8/7, 4, 1
2017/8/8, 9, 1
2017/8/9, 16, 1
2017/8/10, 17, 1
2017/8/11, 10, 1
2017/8/12, 8, 1
2017/8/13, 1, 1
2017/8/14, 2, 1
2017/8/15, 3, 1
2017/8/16, 10, 1
2017/8/17, 4, 1
2017/8/18, 10, 1
2017/8/19, 14, 1
2017/8/20, 7, 1
2017/8/21, 1, 1
2017/8/22, 3, 1
2017/8/23, 10, 1
2017/8/24, 15, 1
2017/8/25, 18, 1
2017/8/26, 19, 1
2017/8/27, 14, 1
2017/8/28, 8, 1
2017/8/29, 1, 1
2017/9/1, 3, 1
2017/9/2, 5, 1
2017/9/3, 4, 1
2017/9/4, 3, 1
2017/9/5, 8, 1
2017/9/6, 8, 
2017/9/11, 4, 1
2017/9/12, 7, 1
2017/9/13, 9, 1
2017/9/14, 11, 1
2017/9/15, 12, 1
2017/9/16, 5, 1
2017/9/17, 5, 1
2017/9/18, 9, 1
2017/9/19, 8, 1
2017/9/20, 3, 1
2017/9/21, 3, 1
2017/9/22, 8, 1
2017/9/23, 10, 2
2017/9/24, 9, 2
2017/9/25, 8, 2
2017/9/26, 5, 2
2017/9/27, 7, 2
2017/9/28, 2, 2
2017/9/29, 2, 3
2017/9/30, 5, 2
2017/4/3, 13, 1
2017/4/4, 10, 1
2017/4/5, 13, 1
2017/4/6, 14, 1
2017/4/7, 2, 1
2017/4/8, 6, 1
2017/4/9, 5, 1
2017/4/10, 10, 1
2017/4/11, 13, 1
2017/4/12, 6, 1
2017/4/13, 14, 1
2017/4/14, 11, 2
2017/4/15, 15, 1
2017/4/16, 4, 1
2017/4/17, 2, 1
2017/4/18, 7, 1
2017/4/19, 1, 1
2017/4/20, 1, 1
2017/4/21, 2, 1
2017/4/22, 4, 1
2017/4/23, 6, 2
2017/4/24, 6, 1
2017/4/25, 5, 1
2017/4/26, 6, 1
2017/4/27, 5, 1
2017/4/28, 5, 1
2017/4/29, 5, 1
2017/4/30, 4, 1
2017/5/1, 9, 1
2017/5/2, 11, 1
2017/5/3, 15, 1
2017/5/4, 11, 1
2017/5/5, 7, 1
2017/5/6, 7, 1
2017/5/7, 6, 1
2017/5/8, 11, 1
2017/5/9, 5, 1
2017/5/10, 4, 2
2017/5/11, 5, 1
2017/5/12, 5, 
2017/5/13, 5, 
2017/5/15, 4, 
2017/5/16, 1, 
2017/5/17, 1, 
2017/5/18, 3, 
2017/5/19, 10, 
2017/5/20, 8, 
2017/5/21, 1, 
2017/5/22, 4, 
2017/5/23, 13, 
2017/5/24, 13, 
2017/5/25, 5, 
2017/5/26, 2, 
2017/5/27, 1, 
2017/5/29, 5, 
2017/5/30, 12, 
2017/5/31, 9, 
2017/6/1, 9, 
2017/6/2, 10, 
2017/6/3, 10, 
2017/6/4, 8, 
2017/6/5, 10, 
2017/6/6, 10, 
2017/6/7, 6, 
2017/6/8, 1, 
2017/6/9, 3, 
2017/6/10, 12, 
2017/6/11, 3, 
2017/6/12, 7, 
2017/6/13, 13, 
2017/6/14, 12, 1
2017/6/15, 9, 1
2017/6/16, 11, 
2017/6/17, 3, 
2017/6/18, 3, 
2017/6/19, 3, 1
2017/6/20, 11, 1
2017/6/21, 14, 1
2017/6/22, 13, 1
2017/6/23, 12, 1
2017/6/24, 15, 1
2017/6/25, 10, 1
2017/6/26, 7, 1
2017/6/27, 13, 1
2017/6/28, 7, 1
2017/6/29, 5, 1
2017/6/30, 6, 1
2017/1/2, 14, 
2017/1/3, 2, 
2017/1/4, 8, 
2017/1/5, 1, 
2017/1/6, , 
2017/1/7, , 
2017/1/8, , 
2017/1/9, 2, 3
2017/1/10, 1, 6
2017/1/11, 4, 1
2017/1/12, 17, 1
2017/1/13, 3, 
2017/1/14, 3, 
2017/1/17, 2, 6
2017/1/18, 2, 4
2017/1/19, 1, 5
2017/1/20, 12, 2
2017/1/21, 14, 1
2017/1/22, 15, 2
2017/1/23, 17, 1
2017/1/24, 13, 3
2017/1/25, 4, 6
2017/1/26, 7, 3
2017/1/27, 15, 1
2017/1/28, 12, 1
2017/1/29, 15, 1
2017/1/30, 14, 1
2017/1/31, 13, 1
2017/2/1, 7, 1
2017/2/2, 7, 1
2017/2/3, 7, 1
2017/2/4, 6, 1
2017/2/5, 5, 1
2017/2/6, 6, 
2017/2/7, 2, 1
2017/2/8, 5, 2
2017/2/9, 3, 2
2017/2/10, 13, 1
2017/2/11, 13, 1
2017/2/12, 12, 1
2017/2/13, 11, 2
2017/2/14, 14, 1
2017/2/15, 19, 1
2017/2/16, 20, 1
2017/2/17, 16, 1
2017/2/18, 4, 1
2017/2/19, 2, 1
2017/2/20, 8, 1
2017/2/21, 14, 1
2017/2/22, 13, 1
2017/2/23, 11, 1
2017/2/24, 8, 1
2017/2/25, 1, 1
2017/2/26, 15, 1
2017/2/27, 14, 1
2017/2/28, 5, 1
2017/3/1, 4, 1
2017/3/2, 13, 1
2017/3/3, 15, 1
2017/3/4, 5, 1
2017/3/5, 6, 1
2017/3/6, 9, 1
2017/3/7, 2, 1
2017/3/8, 1, 1
2017/3/9, 8, 1
2017/3/10, 1, 1
2017/3/11, 1, 1
2017/3/12, , 1
2017/3/13, 4, 1
2017/3/14, 3, 1
2017/3/15, 3, 1
2017/3/16, 4, 1
2017/3/17, 10, 1
2017/3/18, 13, 1
2017/3/19, 9, 1
2017/3/20, 12, 1
2017/3/21, 12, 1
2017/3/22, 12, 1
2017/3/23, 12, 1
2017/3/24, 19, 1
2017/3/25, 13, 1
2017/3/26, 8, 2
2017/3/27, 2, 3
2017/3/28, 6, 2
2017/3/29, 15, 1
2017/3/30, 2, 1
2017/3/31, 2, 
2020/1/1, , 1
2020/1/4, , 1
2019/10/13, , 3
2019/11/8, , 7
2019/11/9, , 7
2019/11/10, , 7
2019/11/11, , 7
2019/11/12, , 4
2019/12/23, , 1
2019/8/19, , 2
2019/9/8, , 2
2019/4/28, , 2
2018/12/31, , 1
2019/1/13, , 1
2019/3/18, , 1
2018/10/2, , 1
2018/10/10, , 1
2018/10/14, , 1
2018/10/20, , 1
2018/11/6, , 
2018/11/7, , 
2018/11/8, , 
2018/11/9, , 
2018/11/10, , 
2018/11/11, , 
2018/7/8, , 1
2018/8/27, , 2
2018/9/17, , 5
2018/4/2, , 3
2017/12/31, , 2
2017/11/15, , 1
2017/8/30, , 1
2017/8/31, , 1
2017/9/10, , 1
2017/4/2, , 1
2017/5/14, , 
2017/5/28, , 
2017/1/1, , 
2017/1/16, , 4
