date, pm25, pm10, o3, co
2019/8/29, 35, , , 
2019/8/30, 22, , 2, 
2019/8/31, 24, , , 
2019/9/1, 20, , , 
2019/9/2, 18, , , 
2019/9/3, 26, , , 
2019/9/4, 26, , , 
2019/9/5, 31, , , 
2019/9/6, 39, , , 
2019/9/7, 19, , , 
2019/9/8, 21, , , 
2019/9/9, 22, , , 
2019/9/10, 11, , , 
2019/9/11, 14, , , 
2019/9/12, 21, , , 
2019/9/13, 20, , , 
2019/9/14, 15, , , 
2019/9/15, 18, , , 
2019/9/16, 14, , , 
2019/9/17, 20, , , 
2019/9/18, 18, , , 
2019/9/19, 8, , , 
2019/9/20, 23, , , 
2019/9/21, 15, , , 
2019/9/22, 20, , , 
2019/9/23, 17, , , 
2019/9/24, 31, , , 
2019/9/25, 31, , , 
2019/9/26, 30, , , 
2019/9/27, 16, , , 
2019/9/28, 10, , , 
2019/9/29, 6, , , 
2019/9/30, 14, , , 
2019/4/1, 25, , , 
2019/4/2, 33, , , 
2019/4/3, 34, 3, , 
2019/4/4, 14, , , 
2019/4/5, 23, , 4, 
2019/4/6, 16, , , 
2019/4/7, 11, , , 
2019/4/8, 13, , , 
2019/4/9, 10, , 5, 
2019/4/10, 12, , , 
2019/4/11, 24, , , 
2019/4/12, 16, 1, , 
2019/4/13, 16, , , 
2019/4/14, 12, , , 
2019/4/15, 21, , 1, 
2019/4/16, 23, , , 
2019/4/17, 20, , , 
2019/4/18, 29, , , 
2019/4/19, 32, 8, , 
2019/4/20, 15, 4, , 
2019/4/21, 31, , , 
2019/4/22, 33, , , 
2019/4/23, 29, , , 
2019/4/24, 27, , , 
2019/4/25, 39, , , 
2019/4/26, 40, , , 
2019/4/27, 20, , , 
2019/4/28, 19, , , 
2019/4/29, 18, , , 
2019/4/30, 25, , , 
2019/5/1, 28, , , 
2019/5/2, 38, , , 
2019/5/3, 29, , , 
2019/5/4, 46, , , 
2019/5/5, 45, , , 
2019/5/6, 57, , , 
2019/5/7, 56, , , 
2019/5/8, 53, , , 
2019/5/9, 47, , , 
2019/5/10, 54, , , 
2019/5/11, 56, , , 
2019/5/12, 59, , , 
2019/5/13, 60, , , 
2019/5/14, 38, , , 
2019/5/15, 7, 1, , 
2019/5/16, 9, , , 
2019/5/17, 8, , , 
2019/5/18, 14, , , 
2019/5/19, 2, , , 
2019/5/20, 6, , 1, 
2019/5/21, 13, , , 
2019/5/22, 13, , , 
2019/5/23, 20, , , 
2019/5/24, 32, , 2, 
2019/5/25, 12, , , 
2019/5/26, 6, 3, , 
2019/5/27, 11, , , 
2019/5/28, 18, , , 
2019/5/31, 46, , , 
2019/6/1, 45, , , 
2019/6/2, 33, , , 
2019/6/3, 28, , , 
2019/6/4, 27, , , 
2019/6/5, 28, , , 
2019/6/6, 20, , , 
2019/6/7, 20, , , 
2019/6/8, 16, , , 
2019/6/9, 14, , , 
2019/6/10, 15, , 1, 
2019/6/11, 17, , , 
2019/6/12, 16, 8, , 
2019/6/13, 27, , , 
2019/6/14, 28, , , 
2019/6/15, 21, , , 
2019/6/16, 25, 3, , 
2019/6/17, 27, , , 
2019/6/18, 20, , , 
2019/6/19, 20, , , 
2019/6/20, 16, 2, , 
2019/6/21, 15, , 1, 
2019/6/22, 17, , , 
2019/6/23, 17, , , 
2019/6/24, 21, , , 
2019/6/25, 13, , , 
2019/6/26, 11, , , 
2019/6/27, 9, , , 
2019/6/28, 10, , , 
2019/1/1, 23, , , 
2019/1/2, 36, , , 
2019/1/3, 22, , , 
2019/1/4, 29, , , 
2019/1/5, 36, , , 
2019/1/6, 14, , , 
2019/1/7, 17, , , 
2019/1/8, 23, , , 
2019/1/9, 33, , , 
2019/1/10, 28, , , 
2019/1/11, 9, , , 
2019/1/12, 16, , , 
2019/1/13, 21, , , 
2019/1/14, 24, , , 
2019/1/15, 30, , , 
2019/1/16, 39, , , 
2019/1/17, 23, , , 
2019/1/18, 18, , , 
2019/1/19, 14, , , 
2019/1/20, 13, , , 
2019/1/21, 20, , , 
2019/1/22, 20, , , 
2019/1/23, 16, , , 
2019/1/24, 28, , , 
2019/1/25, 26, , , 
2019/1/26, 22, , , 
2019/1/27, 31, , , 
2019/1/28, 36, , , 
2019/1/29, 25, , , 
2019/1/30, 35, , , 
