date, pm25, pm10, so2
2018/1/21, 53, 18, 3
2018/1/22, 50, 25, 3
2018/1/23, 63, 20, 3
2018/1/24, 57, 50, 3
2018/1/25, 112, , 
2018/1/29, 112, 40, 3
2018/1/30, 93, 36, 3
2018/1/31, 85, 33, 6
2018/2/1, 59, , 
2018/2/4, 25, 12, 2
2018/2/5, 42, 13, 2
2018/2/6, 50, 16, 7
2018/2/7, 57, 22, 5
2018/2/8, 68, , 
2018/2/10, 57, 19, 2
2018/2/11, 57, 13, 1
2018/2/12, 50, 6, 
2018/2/13, 25, 12, 1
2018/2/14, 42, 21, 2
2018/2/15, 63, , 
2018/2/18, 50, , 1
2018/2/20, 46, 9, 1
2018/2/21, 42, 13, 2
2018/2/22, 55, , 
2018/2/25, 65, 21, 2
2018/2/26, 72, 24, 2
2018/2/27, 76, 28, 1
2018/2/28, 82, 27, 1
2018/3/1, 80, , 
2018/3/3, 97, 34, 3
2018/3/4, 97, 20, 2
2018/3/5, 68, 21, 4
2018/3/6, 65, 20, 4
2018/3/7, 65, 37, 5
2018/3/8, 95, , 
2018/3/11, 42, 26, 4
2018/3/12, 46, 13, 1
2018/3/13, 34, 15, 2
2018/3/14, 34, 43, 6
2018/3/15, 65, , 
2018/3/18, 21, 11, 1
2018/3/19, 46, 17, 1
2018/3/20, 59, 18, 1
2018/3/21, 59, 13, 
2018/3/22, 50, , 
2018/3/24, 55, 24, 3
2018/3/25, 74, 39, 8
2018/3/26, 94, 28, 3
2018/3/27, 80, 30, 4
2018/3/28, 76, , 4
2019/12/31, , 23, 2
2020/1/5, , 17, 3
2020/1/11, , 10, 1
2019/10/5, , 6, 1
2019/10/12, , 34, 3
2019/10/19, , 21, 1
2019/10/26, , 29, 3
2019/11/2, , 10, 2
2019/11/5, , 11, 1
2019/11/9, , 7, 1
2019/11/16, , 15, 
2019/11/23, , 14, 2
2019/11/26, , 14, 2
2019/11/30, , 10, 
2019/12/7, , 40, 1
2019/12/14, , 18, 2
2019/12/21, , 7, 1
2019/7/6, , 20, 
2019/7/12, , 10, 
2019/7/14, , 9, 1
2019/7/20, , 19, 1
2019/7/27, , 6, 1
2019/8/3, , 9, 1
2019/8/10, , 16, 1
2019/8/18, , 14, 1
2019/8/24, , 16, 1
2019/8/31, , 26, 2
2019/9/9, , 10, 3
2019/9/13, , 15, 
2019/9/18, , 10, 1
2019/9/21, , 14, 1
2019/9/28, , 15, 
2019/4/6, , 14, 3
2019/4/13, , 11, 1
2019/4/21, , 22, 3
2019/4/27, , 7, 1
2019/4/30, , 13, 2
2019/5/4, , 4, 1
2019/5/11, , 6, 1
2019/5/18, , 10, 1
2019/5/25, , 14, 2
2019/6/1, , 19, 3
2019/6/8, , 21, 3
2019/6/15, , 35, 2
2019/6/22, , 14, 2
2019/6/29, , 20, 2
2018/12/31, , 16, 4
2019/1/9, , 9, 3
2019/1/12, , 22, 3
2019/1/19, , 18, 3
2019/1/25, , 27, 
2019/2/2, , 9, 4
2019/2/5, , 4, 1
2019/2/9, , 29, 3
2019/2/16, , 42, 6
2019/2/23, , 11, 2
2019/3/2, , 23, 4
2019/3/9, , 27, 5
2019/3/16, , 18, 4
2019/3/23, , 19, 3
2019/3/30, , 39, 7
2018/10/6, , 12, 
2018/10/12, , 35, 
2018/10/16, , 25, 1
2018/10/20, , 17, 
2018/10/27, , 14, 
2018/11/3, , 25, 1
2018/11/10, , 17, 1
2018/11/17, , 20, 
2018/11/23, , 17, 
2018/11/26, , 6, 1
2018/12/3, , 47, 2
2018/12/8, , 16, 3
2018/12/14, , 14, 
2018/12/16, , 18, 1
2018/12/25, , 25, 6
2018/6/30, , 10, 
2018/7/6, , 14, 
2018/7/14, , 13, 2
2018/7/21, , 15, 
2018/7/28, , 21, 2
2018/8/4, , 21, 3
2018/8/12, , 20, 1
2018/8/18, , 20, 2
2018/8/25, , 5, 
2018/9/1, , 7, 1
2018/9/8, , 15, 1
2018/9/14, , 22, 1
2018/9/21, , 18, 
2018/9/25, , 8, 
2018/9/29, , 10, 
2018/4/1, , 13, 5
2018/4/4, , 15, 6
2018/4/9, , 27, 6
2018/4/14, , 30, 4
2018/4/18, , 23, 4
2018/4/21, , 17, 
2018/4/24, , 27, 5
2018/4/29, , 38, 11
2018/5/4, , 19, 
2018/5/8, , 15, 10
2018/5/11, , 23, 8
2018/5/13, , 12, 6
2018/5/19, , 11, 
2018/5/21, , 17, 1
2018/5/26, , 18, 4
2018/6/2, , 22, 8
2018/6/9, , 22, 5
2018/6/16, , 15, 6
2018/6/23, , 12, 2
