date, pm25, o3, no2, co
2018/12/26, 51, , 4, 1
2018/12/27, 36, , 6, 1
2018/12/28, 38, , 5, 2
2018/12/29, 41, , 10, 2
2018/12/30, 43, , , 
2018/7/1, 66, , , 2
2018/7/2, 60, , , 1
2018/7/3, 38, , , 2
2018/7/4, 69, , , 2
2018/7/5, 62, , 7, 1
2018/7/6, 19, , 3, 1
2018/7/7, 30, , 7, 2
2018/7/8, 38, , 11, 2
2018/7/9, 47, , 11, 2
2018/7/10, 50, , 6, 1
2018/7/11, 34, , 12, 2
2018/7/12, 48, , 11, 2
2018/7/13, 42, , 12, 3
2018/7/14, 63, , 9, 2
2018/7/15, 60, , 10, 2
2018/7/16, 62, , 9, 2
2018/7/17, 29, , 6, 1
2018/7/18, 37, , 8, 1
2018/7/19, 38, , 3, 1
2018/7/20, 40, , 1, 1
2018/7/21, 33, , 2, 1
2018/7/22, 14, , 2, 1
2018/7/23, 27, , 5, 1
2018/7/24, 29, , 11, 1
2018/7/25, 50, , 10, 
2018/7/26, 49, , 8, 
2018/7/27, 23, , 6, 
2018/7/28, 23, , 7, 
2018/7/29, 35, , 4, 1
2018/7/30, 40, , 3, 1
2018/7/31, 35, , 4, 2
2018/8/1, 35, , 8, 2
2018/8/2, 47, , 9, 2
2018/8/3, 55, , 6, 2
2018/8/4, 55, , 9, 2
2018/8/5, 66, , 11, 2
2018/8/6, 71, , 8, 2
2018/8/7, 59, , 8, 2
2018/8/8, 39, , 9, 2
2018/8/9, 52, , 3, 1
2018/8/10, 34, , 4, 1
2018/8/11, 30, , 4, 1
2018/8/12, 41, , 7, 2
2018/8/13, 47, , 12, 3
2018/8/14, 58, , 12, 3
2018/8/15, 79, , 9, 2
2018/8/16, 75, , 8, 2
2018/8/17, 55, , 2, 1
2018/8/18, 26, , , 
2018/8/19, 34, , , 
2018/8/20, 33, , 4, 2
2018/8/21, 26, , 7, 2
2018/8/22, 42, , 8, 2
2018/8/23, 42, , 11, 3
2018/8/24, 57, , 6, 2
2018/8/25, 44, , 4, 2
2018/8/26, 65, , 10, 3
2018/8/27, 78, , 7, 2
2018/8/28, 83, , 8, 2
2018/8/29, 74, , 4, 2
2018/8/30, 15, , 4, 2
2018/8/31, 30, , 5, 2
2018/9/1, 48, , 4, 2
2018/9/2, 36, , 5, 2
2018/9/3, 40, , 2, 2
2018/9/4, 42, , 1, 2
2018/9/5, 57, , , 1
2018/9/6, 34, , , 1
2018/9/7, 31, , , 1
2018/9/8, 16, , , 1
2018/9/9, 17, , 3, 1
2018/9/10, 12, , 11, 2
2018/9/11, 25, , 5, 1
2018/9/12, 30, , 4, 1
2018/9/13, 25, , 6, 1
2018/9/14, 29, , , 
2018/9/15, 36, , , 
2018/9/16, 39, , 7, 1
2018/9/17, 23, , 10, 2
2018/9/18, 41, , 5, 1
2018/9/19, 22, , 3, 1
2018/9/20, 29, , 5, 2
2018/9/21, 49, , 3, 1
2018/9/22, 15, , 2, 1
2018/9/23, 29, , 2, 1
2018/9/24, 23, , 5, 1
2018/9/25, 13, , 9, 2
2018/9/26, 29, , 6, 1
2018/9/27, 25, , 7, 1
2018/9/28, 28, , 6, 2
2018/9/29, 22, , 5, 1
2018/9/30, 24, , 3, 1
2018/4/1, 20, , , 
2018/4/2, 25, , , 
2018/4/3, 24, , , 
2018/4/4, 20, , , 
2018/4/5, 21, , , 
2018/4/6, 25, , , 
2018/4/7, 18, , , 
2018/4/8, 20, , , 
2018/4/9, 23, , , 
2018/4/10, 29, , , 
2018/4/11, 41, , , 
2018/4/12, 47, , , 
2018/4/13, 23, , , 
2018/4/14, 18, , , 
2018/4/15, 9, , , 
2018/4/16, 18, , , 
2018/4/17, 17, , , 
2018/4/18, 19, , , 
2018/4/19, 28, , , 
2018/4/20, 28, , , 
2018/4/21, 34, , , 
2018/4/22, 34, , , 
2018/4/23, 34, , , 
2018/4/24, 32, , , 
2018/4/25, 23, , , 
2018/4/26, 18, , , 
2018/4/27, 32, , , 
2018/4/28, 36, , , 
2018/4/29, 20, , , 
2018/4/30, 32, , , 
2018/5/1, 47, , , 
2018/5/2, 51, , , 
2018/5/3, 34, , , 
2018/5/4, 29, , , 
2018/5/5, 31, , , 
2018/5/6, 52, , , 
2018/5/7, 16, , , 
2018/5/8, 38, , , 
2018/5/9, 49, , , 
2018/5/10, 41, , , 
2018/5/11, 14, , , 
2018/5/12, 20, , , 
2018/5/13, 27, , , 
2018/5/14, 21, , 13, 2
2018/5/15, 38, , 9, 2
2018/5/16, 47, , 12, 2
2018/5/17, 56, , 2, 1
2018/5/18, 18, , 4, 2
2018/5/19, 21, , 5, 2
2018/5/20, 24, , 6, 2
2018/5/21, 27, , 9, 2
2018/5/22, 39, , 9, 2
2018/5/23, 36, , 14, 2
2018/5/24, 50, , 15, 3
2018/5/25, 61, , 13, 3
2018/5/26, 66, , 7, 2
2018/5/27, 57, , 8, 2
2018/5/28, 58, , 5, 2
2018/5/29, 51, , 3, 1
2018/5/30, 45, , 6, 1
2018/5/31, 21, , 10, 2
2018/6/1, 47, , 1, 1
2018/6/2, 14, , 2, 1
2018/6/3, 28, , 4, 1
2018/6/4, 21, , 7, 2
2018/6/5, 19, , 8, 2
2018/6/6, 21, , 13, 2
2018/6/7, 38, , 11, 2
2018/6/8, 44, , 3, 1
2018/6/9, 37, , 2, 1
2018/6/10, 24, , 2, 1
2018/6/11, 21, , 11, 2
2018/6/12, 26, , 7, 2
2018/6/13, 34, , 7, 1
2018/6/14, 21, , 13, 2
2018/6/15, 32, , 7, 2
2018/6/16, 50, , 7, 3
2018/6/17, 60, , 9, 2
2018/6/18, 80, , 3, 1
2018/6/19, 30, , 12, 2
2018/6/20, 44, , 6, 1
