date, pm10, o3, no2, so2
2019/1/23, 36, 12, 9, 
2019/1/24, 52, 13, 9, 
2019/1/25, 42, 19, 6, 
2019/1/26, 11, 23, 2, 
2019/1/27, 6, 20, 2, 
2019/1/28, 7, 17, 7, 
2019/1/29, 12, 15, 9, 
2019/1/30, 13, 12, 12, 
2019/1/31, 22, 16, 12, 
2019/2/1, 15, 6, 11, 
2019/2/2, 29, 19, 3, 
2019/2/3, 18, 22, 7, 
2019/2/4, 13, 18, 6, 
2019/2/5, 16, 13, 11, 
2019/2/6, 15, 25, 7, 
2019/2/7, 15, 24, 3, 
2019/2/8, 8, 27, 2, 
2019/2/9, 12, 24, 3, 
2019/2/10, 9, 26, 2, 
2019/2/11, 14, 13, 11, 
2019/2/12, 18, 10, 10, 
2019/2/13, 23, 11, 18, 
2019/2/14, 19, 8, 25, 4
2019/2/15, 21, 15, 16, 1
2019/2/16, 28, 13, 18, 3
2019/2/17, 38, 15, 19, 2
2019/2/18, 29, 20, 7, 
2019/2/19, 16, 20, 8, 
2019/2/20, 19, 15, 9, 
2019/2/21, 26, 21, 7, 
2019/2/22, 18, 15, 6, 
2019/2/23, 16, 23, 11, 2
2019/2/24, 21, 19, 15, 3
2019/2/25, 30, 20, 15, 1
2019/2/26, 35, 17, 17, 
2019/2/27, 32, 21, 13, 
2019/2/28, 46, 26, 4, 
2019/3/1, 18, 20, 4, 
2019/3/2, 21, 24, 2, 
2019/3/3, 9, 30, 3, 
2019/3/4, 9, 27, 4, 
2019/3/5, 11, 19, 8, 1
2019/3/6, 11, 29, 4, 
2019/3/7, 8, 30, 3, 
2019/3/8, 14, 31, 3, 
2019/3/9, 10, 28, 3, 
2019/3/10, 9, 29, 2, 
2019/3/11, 8, 30, 4, 
2019/3/12, 11, 29, 3, 
2019/3/13, 13, 33, 3, 
2019/3/14, 14, 26, 4, 
2019/3/15, 13, 29, 3, 
2019/3/16, 9, 31, 1, 
2019/3/17, 9, 31, 3, 
2019/3/18, 12, 28, 6, 
2019/3/19, 16, 14, 11, 
2019/3/20, 28, 27, 8, 
2019/3/21, 26, 22, 9, 
2019/3/22, 33, 20, 6, 
2019/3/23, 33, 32, 3, 
2019/3/24, 14, 34, 2, 
2019/3/25, 12, 32, 3, 
2019/3/26, 17, 33, 4, 
2019/3/27, 13, 28, 5, 
2019/3/28, 12, 23, 10, 
2019/3/29, 18, 30, 10, 
2019/3/30, 27, 35, 2, 
2019/3/31, 24, 33, 3, 
2018/10/1, 9, 16, 5, 
2018/10/2, 11, 24, 6, 
2018/10/3, 19, 12, 8, 
2018/10/4, 15, 14, 15, 
2018/10/5, 20, 28, 13, 
2018/10/6, 23, 26, 3, 
2018/10/7, 21, 20, 8, 
2018/10/8, 16, 16, 15, 
2018/10/9, 28, 33, 11, 
2018/10/10, 24, 21, 9, 
2018/10/11, 24, 23, 9, 
2018/10/12, 18, 31, 10, 
2018/10/13, 19, 33, 6, 
2018/10/14, 21, 28, 9, 
2018/10/15, 23, 24, 15, 
2018/10/16, 29, 19, 13, 
2018/10/17, 29, 20, 4, 
2018/10/18, 12, 21, 5, 
2018/10/19, 12, 23, 5, 
2018/10/20, 17, 21, 10, 
2018/10/21, 24, 24, 7, 
2018/10/22, 20, 17, 5, 
2018/10/23, 18, 20, 2, 
2018/10/24, 10, 15, 6, 
2018/10/25, 13, 12, 6, 
2018/10/26, 15, 19, 4, 
2018/10/27, 6, 19, 3, 
2018/10/28, 8, 14, 3, 
2018/10/29, 9, 7, 5, 
2018/10/30, 6, 12, 8, 
2018/10/31, 10, 8, 11, 
2018/11/1, 13, 14, 7, 
2018/11/2, 9, 11, 12, 
2018/11/3, 18, 4, 9, 
2018/11/4, 21, 2, 7, 
2018/11/5, 16, 2, 12, 
2018/11/6, 18, 15, 12, 1
2018/11/7, 15, 19, 7, 
2018/11/8, 13, 7, 12, 
2018/11/9, 16, 12, 8, 
2018/11/10, 11, 19, 3, 
2018/11/11, 8, 11, 8, 
2018/11/12, 11, 11, 6, 
2018/11/13, 11, 6, 9, 
2018/11/14, 15, 4, 12, 
2018/11/15, 14, 5, 11, 
2018/11/16, 16, 11, 7, 
2018/11/17, 20, 17, 7, 
2018/11/18, 21, 17, 3, 
2018/11/19, 7, 18, 3, 
2018/11/20, 16, 10, 6, 
2018/11/21, 24, 3, 8, 
2018/11/22, 25, 2, 11, 
2018/11/23, 21, 4, 9, 
2018/11/24, 16, , 7, 
2018/11/25, 19, 11, 6, 
2018/11/26, 23, 10, 7, 
2018/11/27, 19, 6, 10, 
2018/11/28, 15, 8, 12, 1
2018/11/29, 11, 15, 6, 
2018/11/30, 17, 17, 5, 
2018/12/1, 11, 16, 3, 
2018/12/2, 6, 18, 4, 
2018/12/3, 13, 20, 7, 
2018/12/4, 11, 2, 14, 
2018/12/5, 15, 12, 8, 
2018/12/6, 11, 21, 3, 
2018/12/7, 5, 21, 3, 
2018/12/8, 11, 26, 2, 
2018/12/9, 9, 25, 3, 
2018/12/10, 8, 18, 6, 
2018/12/11, 10, 3, 10, 
2018/12/12, 13, 10, 6, 
2018/12/13, 9, 8, 6, 
2018/12/14, 14, 11, 7, 
2018/12/15, 19, 10, 8, 
2018/12/16, 19, 10, 10, 
2018/12/17, 14, 14, 8, 
2018/12/18, 14, 15, 8, 
2018/12/19, 10, 17, 6, 
2018/12/20, 10, 23, 4, 
2018/12/21, 12, 22, 4, 
2018/12/22, 10, 18, 5, 
2018/12/23, 15, 20, 3, 
2018/12/24, 6, 11, 8, 
2018/12/25, 14, 8, 8, 
2018/12/26, 22, 1, 14, 
2018/12/27, 22, , 13, 
2018/12/28, 37, 16, 9, 
2018/12/29, 30, 27, 4, 
2018/12/30, 17, , , 
2018/7/1, 9, 34, 3, 
2018/7/2, 9, 51, , 
2018/7/3, 16, 53, 2, 
2018/7/4, 20, 33, 3, 
2018/7/5, 10, 36, 2, 
2018/7/9, 17, 30, 2, 
2018/7/10, 13, 30, 3, 
2018/7/11, 14, 37, 3, 
2018/7/12, 17, 35, 2, 
2018/7/13, 13, 34, 2, 
2018/7/14, 10, 38, 2, 
2018/7/15, 8, 47, 3, 
2018/7/16, 13, 43, 5, 
2018/7/17, 17, 40, 4, 
2018/7/18, 19, 54, 5, 
2018/7/19, 21, 49, 4, 
2018/7/20, 16, 58, 4, 
2018/7/21, 18, 46, 3, 
2018/7/22, 14, 42, 4, 
2018/7/23, 9, 85, 6, 
2018/7/24, 22, 71, 4, 
2018/7/25, 22, 57, 6, 
2018/7/26, 23, 56, 3, 
2018/7/27, 24, 43, 4, 
2018/7/28, 21, 38, 5, 
2018/7/29, 21, 41, 5, 
2018/7/30, 15, 36, 4, 
2018/7/31, 19, 45, 4, 
2018/8/1, 11, 68, 4, 
2018/8/2, 15, 80, 5, 
2018/8/3, 22, 42, 3, 
2018/8/4, 13, 30, 2, 
2018/8/5, 10, 59, 4, 
2018/8/6, 13, 85, 7, 
2018/8/7, 28, 54, 4, 
2018/8/8, 23, 30, 6, 
2018/8/9, 18, 26, 4, 
2018/8/10, 11, 26, 5, 
2018/8/11, 12, 31, 9, 
2018/8/12, 14, 20, 12, 
2018/8/13, 13, 32, 5, 
2018/8/14, 12, 19, 8, 
2018/8/15, 17, 24, 7, 
2018/8/16, 15, 27, 5, 
2018/8/17, 12, 26, 7, 
2018/8/18, 17, 27, 7, 
2018/8/19, 17, 17, 6, 
2018/8/20, 12, 23, 7, 
2018/8/21, 11, 44, 9, 
2018/8/22, 19, 22, 9, 
2018/8/23, 20, 19, 5, 
2018/8/24, 13, 17, 4, 
2018/8/25, 10, 28, 5, 
2018/8/26, 11, 22, 5, 
2018/8/27, 11, 27, 8, 
2018/8/28, 14, 31, 10, 
2018/8/29, 21, 24, 3, 
2018/8/30, 13, 23, 5, 
2018/8/31, 9, 30, 5, 
2018/9/1, 9, 38, 4, 
2018/9/2, 10, 29, 9, 
2018/9/3, 22, 37, 8, 
2018/9/4, 22, 45, 8, 
2018/9/5, 25, 29, 8, 
2018/9/6, 17, 18, 6, 
2018/9/7, 13, 23, 6, 
2018/9/8, 15, 28, 7, 
2018/9/9, 21, 18, 9, 
2018/9/10, 15, 20, 8, 
2018/9/11, 14, 19, 5, 
2018/9/12, 11, 26, 5, 
2018/9/13, 11, 30, 7, 
2018/9/14, 15, 21, 7, 
2018/9/15, 12, 30, 8, 
2018/9/16, 15, 35, 12, 
2018/9/17, 20, 41, 12, 
2018/9/18, 26, 29, 8, 
2018/9/19, 23, 29, 7, 
2018/9/20, 24, 24, 4, 
2018/9/21, 16, 17, 5, 
2018/9/22, 9, 17, 4, 
2018/9/23, 9, 23, 4, 
2018/9/24, 10, 25, 4, 
2018/9/25, 8, 21, 11, 
2018/9/26, 14, 25, 13, 
2018/9/27, 21, 22, 5, 
2018/9/28, 19, 25, 4, 
2018/9/29, 16, 21, 9, 
2018/9/30, 17, 23, 4, 
2018/4/1, 26, 25, 6, 1
2018/4/2, 43, 30, 3, 
2018/4/3, 10, 27, 6, 
2018/4/4, 9, 33, 2, 
2018/4/5, 10, 32, 7, 
2018/4/6, 13, 36, 6, 1
2018/4/7, 15, 38, 8, 1
2018/4/8, 29, 33, 6, 
2018/4/9, 41, 36, 7, 1
2018/4/10, 42, 26, 4, 
2018/4/11, 28, 20, 4, 
2018/4/12, 34, 26, 8, 
2018/4/13, 32, 34, 3, 
2018/4/14, 32, 35, 2, 
2018/4/15, 21, 26, 5, 
2018/4/16, 16, 36, 6, 
2018/4/17, 23, 48, 7, 
2018/4/18, 39, 45, 8, 1
2018/4/19, 32, 40, 9, 1
2018/4/20, 34, 39, 4, 
2018/4/21, 43, 48, 3, 
2018/4/22, 21, 25, 5, 
2018/4/23, 15, 19, 5, 
2018/4/24, 12, 25, 4, 
2018/4/25, 18, 27, 4, 
2018/4/26, 12, 32, 5, 
2018/4/27, 13, 26, 4, 
2018/4/28, 13, 24, 5, 
2018/4/29, 17, 24, 2, 
2018/4/30, 12, 26, 3, 
2018/5/1, 8, 34, 6, 
2018/5/2, 14, 35, 3, 
2018/5/3, 13, 39, 4, 
2018/5/4, 15, 42, 3, 
2018/5/5, 12, 41, 3, 
2018/5/6, 14, 46, 4, 
2018/5/7, 14, 50, 5, 
2018/5/8, 18, 50, 7, 1
2018/5/9, 25, 33, 4, 
2018/5/10, 34, 37, 3, 
2018/5/11, 11, 45, 5, 1
2018/5/12, 16, 25, 5, 
2018/5/13, 30, 48, 3, 
2018/5/14, 16, 47, 4, 
2018/5/15, 25, 36, 4, 
2018/5/16, 24, 31, 1, 
2018/5/17, 26, 30, 1, 
2018/5/18, 22, 28, 2, 
2018/5/19, 12, 42, 3, 
2018/5/20, 16, 44, 3, 
2018/5/21, 13, 42, 5, 
2018/5/22, 16, 46, 5, 
2018/5/23, 15, 38, 4, 
2018/5/24, 17, 39, 4, 
2018/5/25, 21, 65, 4, 
2018/5/26, 22, 51, 3, 
2018/5/27, 17, 61, 5, 1
2018/5/28, 25, 55, 5, 
2018/5/29, 34, 42, 4, 
2018/5/30, 25, 41, 7, 
2018/5/31, 30, 27, 6, 
2018/6/1, 25, 17, 4, 
2018/6/2, 17, 33, 4, 
2018/6/3, 18, 34, 4, 
2018/6/4, 18, 35, 2, 
2018/6/5, 17, 55, 4, 
2018/6/6, 19, 68, 5, 
2018/6/7, 26, 27, 7, 
2018/6/8, 37, 43, 4, 
2018/6/9, 18, 37, 3, 
2018/6/10, 17, 35, 3, 
2018/6/11, 13, 27, 2, 
2018/6/12, 12, 31, 2, 
2018/6/13, 10, 31, 5, 
2018/6/14, 13, 41, 4, 
2018/6/15, 18, 39, 6, 
2018/6/16, 24, 24, 3, 
2018/6/17, 15, 17, 5, 
2018/6/18, 14, 11, 5, 
2018/6/19, 13, 20, 5, 
2018/6/20, 15, 26, 3, 
2018/6/21, 13, 25, 2, 
2018/6/22, 13, 27, 2, 
2018/6/23, 14, 21, 3, 
2018/6/24, 9, 26, 2, 
2018/6/25, 11, 36, 2, 
2018/6/26, 19, 37, 3, 
2018/6/27, 14, 46, 3, 
2018/6/28, 17, 44, 3, 
2018/6/29, 12, 39, 3, 
2018/6/30, 22, 35, 1, 
2018/1/6, 14, 18, 2, 
2018/1/7, 7, 16, 5, 
2018/1/8, 11, 10, 9, 
2018/1/9, 20, 6, 13, 
2018/1/10, 16, 4, 14, 
2018/1/11, 23, , 9, 
2018/1/12, 19, 9, 10, 
2018/1/13, 33, 13, 5, 
2018/1/14, 20, 21, 8, 
2018/1/15, 18, 27, 4, 
2018/1/16, 9, 24, 4, 
2018/1/17, 11, 27, 4, 
2018/1/18, 12, 19, 7, 
2018/1/19, 9, 19, 6, 
2018/1/20, 11, 23, 4, 
2018/1/21, 12, 18, 7, 
2018/1/22, 15, 21, 7, 
2018/1/23, 13, 21, 2, 
2018/1/24, 5, 26, 5, 
2018/1/25, 10, 10, 9, 
2018/1/26, 19, 21, 7, 
2018/1/27, 22, 20, 3, 
2018/1/28, 10, 26, 2, 
2018/1/29, 8, 16, 10, 
2018/1/30, 17, 25, 5, 
2018/1/31, 8, 18, 7, 
2018/2/1, 12, 20, 5, 
2018/2/2, 8, 16, 5, 
2018/2/3, 10, 18, 2, 
2018/2/4, 8, 17, 5, 
2018/2/5, 15, 17, 7, 
2018/2/6, 17, 21, 8, 
2018/2/7, 24, 13, 13, 
2018/2/8, 38, 7, 20, 2
2018/2/9, 48, 10, 8, 
2018/2/10, 28, 26, 2, 
2018/2/11, 9, 24, 4, 
2018/2/12, 9, 21, 9, 
2018/2/13, 16, 20, 9, 
2018/2/14, 20, 18, 10, 
2018/2/15, 16, 19, 12, 
2018/2/16, 17, 21, 12, 
2018/2/17, 31, 17, 11, 
2018/2/18, 37, 8, 19, 3
2018/2/19, 44, 20, 12, 
2018/2/20, 46, 24, 8, 
2018/2/21, 45, 25, 5, 
2018/2/22, 26, 25, 5, 
2018/2/23, 28, 26, 3, 
2018/2/24, 16, 28, 2, 
2018/2/25, 9, 28, 3, 
2018/2/26, 14, 28, 4, 
2018/2/27, 13, 24, 5, 
2018/2/28, 25, 27, 4, 
2018/3/1, 25, 26, 7, 1
2018/3/2, 42, 23, 7, 2
2018/3/3, 56, 20, 7, 1
2018/3/4, 49, 28, 5, 
2018/3/5, 13, 17, 12, 
2018/3/6, 24, 11, 11, 
2018/3/7, 29, 24, 4, 
2018/3/8, 14, 24, 6, 
2018/3/9, 18, 19, 7, 
2018/3/10, 17, 22, 5, 
2018/3/11, 10, 25, 6, 
2018/3/12, 11, 21, 4, 
2018/3/13, 7, 28, 4, 
2018/3/14, 9, 23, 5, 
2018/3/15, 16, 19, 4, 
2018/3/16, 22, 28, 1, 
2018/3/17, 13, 31, 2, 
2018/3/18, 15, 32, 4, 
2018/3/19, 14, 32, 3, 
2018/3/20, 12, 26, 5, 
2018/3/21, 14, 28, 5, 
2018/3/22, 19, 25, 6, 
2018/3/23, 22, 28, 6, 
2018/3/24, 21, 28, 6, 
2018/3/25, 31, 23, 3, 
2018/3/26, 18, 24, 7, 
2018/3/27, 26, 23, 5, 
2018/3/28, 21, 29, 1, 
2018/3/29, 14, 30, 6, 
2018/3/30, 21, 34, 4, 
2018/3/31, 31, 32, 3, 
2017/4/1, 25, 33, 2, 
2017/4/2, 19, 29, 2, 
2017/4/3, 12, 35, 7, 
2017/4/4, 22, 33, 4, 
2017/4/5, 27, 30, 1, 
2017/4/6, 19, 29, 5, 
2017/4/7, 20, 32, 2, 
2017/4/8, 11, 30, 8, 2
2017/4/9, 35, 33, 4, 
2017/4/10, 37, 27, 4, 
2017/4/11, 13, 20, 7, 
2017/4/12, 23, 31, 3, 
2017/4/13, 13, 16, 9, 1
2017/4/14, 20, 33, 4, 
2017/4/15, 18, 32, 2, 
2017/4/16, 9, 35, 1, 
2017/4/17, 15, 32, 3, 1
2017/4/18, 10, 34, 4, 1
2017/4/19, 11, 33, 8, 1
2017/4/20, 20, 23, 9, 
2017/4/21, 28, 33, 1, 
2017/4/22, 9, 33, 1, 
2017/4/23, 7, 23, 7, 
2017/4/24, 13, 32, 2, 
2017/4/25, 6, 33, 4, 
2017/4/26, 10, 31, 3, 1
2017/4/27, 12, 29, 5, 
2017/4/28, 18, 38, 2, 
2017/4/29, 9, 41, 3, 
2017/4/30, 15, 36, 3, 
2017/5/1, 13, 28, 5, 
2017/5/2, 15, 26, 3, 
2017/5/3, 11, 28, 4, 
2017/5/4, 11, 26, 4, 
2017/5/5, 11, 35, 4, 1
2017/5/6, 15, 34, 3, 
2017/5/7, 15, 32, 2, 
2017/5/8, 13, 35, 2, 1
2017/5/9, 14, 37, 4, 1
2017/5/10, 14, 41, 5, 
2017/5/11, 14, 32, 5, 
2017/5/12, 13, 29, 4, 
