date, pm25, pm10, o3, so2
2019/6/18, 32, 67, 32, 2
2019/6/19, 56, 13, 34, 
2019/6/20, 210, 122, 15, 
2019/6/21, 92, 38, 16, 
2019/6/22, 58, 33, 12, 
2019/6/23, 54, , 33, 
2019/6/24, 24, , 24, 
2019/6/25, 30, 29, 21, 
2019/6/26, 46, 24, 30, 
2019/6/27, 40, 22, 35, 
2019/6/28, 38, , , 
2019/1/1, 24, 7, 14, 
2019/1/2, 9, 4, 16, 
2019/1/3, 5, 5, 18, 
2019/1/4, 8, 11, 27, 4
2019/1/5, 21, 9, 31, 
2019/1/6, 20, 10, 24, 
2019/1/7, 14, 13, 29, 1
2019/1/8, 14, 10, 30, 
2019/1/9, 11, 10, 27, 
2019/1/10, 13, 9, 22, 
2019/1/11, 13, 10, 22, 
2019/1/12, 21, 8, 21, 
2019/1/13, 16, 11, 23, 
2019/1/14, 23, 15, 20, 
2019/1/15, 30, 15, 19, 1
2019/1/16, 29, 12, 25, 2
2019/1/17, 20, 13, 16, 2
2019/1/18, 15, 9, 20, 2
2019/1/19, 9, 10, 29, 1
2019/1/20, 16, , 29, 
2019/1/21, 14, 12, 25, 5
2019/1/22, 14, 10, 22, 12
2019/1/23, 12, 16, 24, 13
2019/1/24, 23, 13, 22, 12
2019/1/25, 19, 13, 28, 13
2019/1/26, 20, 14, 32, 12
2019/1/27, 23, 13, 35, 12
2019/1/28, 19, 14, 31, 11
2019/1/29, 6, 19, 25, 9
2019/1/30, 21, 14, 21, 
2019/1/31, 15, 14, 27, 
2019/2/1, 21, , 24, 
2019/2/2, 25, , 23, 
2019/2/3, 25, , 22, 
2019/2/4, 28, , 16, 
2019/2/5, 41, , 15, 
2019/2/6, 27, , 19, 
2019/2/7, 21, , 23, 
2019/2/8, 11, , 25, 
2019/2/9, 6, , 22, 
2019/2/10, 18, , 18, 
2019/2/11, 21, 7, 26, 
2019/2/12, 11, 8, 32, 
2019/2/13, 13, 18, 38, 
2019/2/14, 21, 15, 29, 
2019/2/15, 24, 10, 21, 
2019/2/16, 18, 10, 19, 
2019/2/17, 17, 5, 28, 
2019/2/18, 10, 4, 28, 
2019/2/19, 9, 6, 22, 
2019/2/20, 11, 49, 26, 
2019/2/21, 15, 2, 22, 
2019/2/22, 3, 14, 35, 1
2019/2/23, 12, 8, 32, 
2019/2/24, 14, 6, 33, 
2019/2/25, 12, 7, 24, 
2019/2/26, 16, 9, 15, 
2019/2/27, 23, 6, 10, 
2019/2/28, 7, 9, 13, 
2019/3/1, 17, 5, 14, 
2019/3/2, 13, 7, 20, 
2019/3/3, 12, 9, 29, 
2019/3/4, 15, 7, 34, 
2019/3/5, 9, 11, 37, 
2019/3/6, 19, 11, 30, 
2019/3/7, 19, 11, 23, 
2019/3/8, 22, 16, 31, 1
2019/3/9, 26, 12, 30, 
2019/3/10, 22, 4, 31, 
2019/3/11, 12, 7, 22, 
2019/3/12, 14, 8, 32, 
2019/3/13, 19, 30, 36, 
2019/3/14, 32, 8, 35, 
2019/3/15, 9, 5, 35, 
2019/3/16, 9, 7, 41, 
2019/3/17, 19, 15, 41, 
2019/3/18, 37, 361, 46, 
2019/3/19, 37, 11, 49, 1
2019/3/20, 41, 15, 45, 
2019/3/21, 28, 16, 43, 
2019/3/22, 32, 21, 46, 
2019/3/23, 39, 14, 44, 
2019/3/24, 39, 7, 37, 
2019/3/25, 20, 9, 37, 
2019/3/26, 20, 13, 44, 
2019/3/27, 31, 14, 44, 
2019/3/28, 31, 11, 33, 
2019/3/29, 29, 8, 29, 
2019/3/30, 13, 7, 32, 
2019/3/31, 8, 81, 34, 
2018/10/1, 35, 18, 30, 2
2018/10/2, 30, 17, 33, 2
2018/10/3, 33, 15, 29, 2
2018/10/4, 35, 16, 27, 2
2018/10/5, 33, 15, 30, 2
2018/10/6, 33, 16, 23, 2
2018/10/7, 33, 15, 27, 1
2018/10/8, 27, 10, 22, 2
2018/10/9, 18, 9, 29, 1
2018/10/10, 13, 9, 20, 1
2018/10/11, 14, 13, 25, 1
2018/10/12, 27, 13, 30, 1
2018/10/13, 33, 13, 22, 1
2018/10/14, 21, 9, 5, 1
2018/10/15, 13, 5, 11, 1
2018/10/16, 6, 8, 19, 
2018/10/17, 13, 10, 24, 
2018/10/18, 14, 14, 21, 
2018/10/19, 19, 10, 18, 
2018/10/20, 16, 13, 26, 
2018/10/21, 10, 10, 25, 
2018/10/22, 12, 12, 24, 1
2018/10/23, 19, 13, 27, 
2018/10/24, 27, 9, 22, 
2018/10/25, 21, 11, 24, 
2018/10/26, 13, 14, 39, 1
2018/10/27, 31, 15, 34, 1
2018/10/28, 33, 15, 33, 3
2018/10/29, 26, 13, 34, 
2018/10/30, 20, 13, 28, 
2018/10/31, 23, 6, 20, 
2018/11/1, 8, 11, 29, 3
2018/11/2, 17, 11, 35, 
2018/11/3, 19, 11, 27, 
2018/11/4, 13, 11, 12, 
2018/11/5, 19, 11, 29, 
2018/11/6, 20, 10, 15, 
2018/11/7, 19, 11, 15, 
2018/11/8, 16, 8, 22, 
2018/11/9, 12, 8, 24, 
2018/11/10, 10, 8, 22, 
2018/11/11, 14, 3, 21, 
2018/11/12, 8, 11, 17, 1
2018/11/13, 18, 11, 25, 
2018/11/14, 9, 13, 28, 2
2018/11/15, 18, 17, 32, 1
2018/11/16, 25, 13, 34, 
2018/11/17, 30, 15, 15, 
2018/11/18, 30, 9, 11, 
