date, pm25, pm10, so2, co
2019/1/5, 20, 16, , 4
2019/1/6, 22, 11, , 5
2019/1/7, 15, 9, , 4
2019/1/8, 14, 9, , 5
2019/1/9, 16, 8, , 4
2019/1/10, 10, 10, , 5
2019/1/11, 12, 10, , 4
2019/1/12, 15, 10, , 4
2019/1/13, 20, 12, , 5
2019/1/14, 16, 11, , 5
2019/1/15, 16, 11, , 5
2019/1/16, 20, 13, , 4
2019/1/17, 13, 11, , 4
2019/1/18, 15, 12, , 4
2019/1/19, 13, 14, , 5
2019/1/20, 15, 15, 1, 5
2019/1/21, 19, 18, , 5
2019/1/22, 21, 16, , 5
2019/1/23, 18, 14, , 6
2019/1/24, 19, 11, , 5
2019/1/25, 17, 21, , 4
2019/1/26, 23, 17, , 4
2019/1/27, 17, 21, , 4
2019/1/28, 23, 16, , 5
2019/1/29, 25, 11, , 5
2019/1/30, 22, 9, , 5
2019/1/31, 14, 6, , 6
2019/2/1, 17, 6, , 5
2019/2/2, 13, 6, , 5
2019/2/3, 13, 6, , 5
2019/2/4, 11, 6, , 6
2019/2/5, 12, 7, , 6
2019/2/6, 13, 8, , 6
2019/2/7, 15, 13, , 6
2019/2/8, 19, 18, , 5
2019/2/9, 23, 17, , 5
2019/2/10, 26, 14, , 6
2019/2/11, 18, 8, , 6
2019/2/12, 16, 10, , 6
2019/2/13, 22, 9, , 6
2019/2/14, 17, 14, , 6
2019/2/15, 21, 14, , 6
2019/2/16, 18, 7, , 6
2019/2/17, 15, 8, , 6
2019/2/18, 13, 7, , 6
2019/2/19, 13, 8, , 7
2019/2/20, 14, 8, , 7
2019/2/21, 15, 8, , 8
2019/2/22, 17, 6, , 7
2019/2/23, 13, 2, , 6
2019/2/24, 8, 4, , 7
2019/2/25, 15, 8, , 6
2019/2/26, 16, 14, , 6
2019/2/27, 22, 16, , 6
2019/2/28, 21, 9, , 7
2019/3/1, 13, 5, , 6
2019/3/2, 9, 7, , 6
2019/3/3, 13, 9, , 6
2019/3/4, 11, 8, , 6
2019/3/5, 14, 8, , 7
2019/3/6, 18, 10, , 6
2019/3/7, 13, 11, , 6
2019/3/8, 20, 11, , 6
2019/3/9, 17, 15, , 6
2019/3/10, 21, 33, , 7
2019/3/11, 56, 7, , 7
2019/3/12, 19, 6, , 8
2019/3/13, 11, 8, , 7
2019/3/14, 11, 8, , 7
2019/3/15, 13, 6, 1, 7
2019/3/16, 16, 23, , 7
2019/3/17, 36, 15, , 6
2019/3/18, 20, 14, , 3
2019/3/19, 21, 12, , 4
2019/3/20, 22, 8, , 3
2019/3/21, 15, 6, , 3
2019/3/22, 12, 8, , 3
2019/3/23, 10, 10, , 3
2019/3/24, 16, 13, , 3
2019/3/25, 19, 13, , 3
2019/3/26, 19, 11, , 4
2019/3/27, 19, 9, , 4
2019/3/28, 16, 8, , 4
2019/3/29, 14, 16, , 3
2019/3/30, 21, 10, , 3
2019/3/31, 17, 14, , 3
2018/10/1, 8, 10, , 4
2018/10/2, 14, 10, , 4
2018/10/3, 12, 9, , 4
2018/10/4, 12, 14, , 4
2018/10/5, 14, 9, , 4
2018/10/6, 13, 8, , 4
2018/10/7, 13, 9, , 4
2018/10/8, 14, 11, , 4
2018/10/9, 11, 6, , 4
2018/10/10, 16, 6, , 4
2018/10/11, 12, 10, , 4
