date, pm25, pm10, o3
2019/3/23, 28, 13, 36
2019/3/24, 39, 14, 36
2019/3/25, 32, 15, 33
2019/3/26, 43, 21, 36
2019/3/27, 48, 10, 34
2019/3/28, 20, 16, 32
2019/3/29, 16, 21, 35
2019/3/30, 16, 9, 36
2019/3/31, 17, 18, 28
2018/10/1, 18, , 17
2018/10/2, 37, , 25
2018/10/3, 23, 4, 22
2018/10/4, 12, 9, 15
2018/10/5, 20, 4, 21
2018/10/6, 12, 4, 15
2018/10/7, 10, 3, 5
2018/10/8, 9, 2, 7
2018/10/9, 7, 3, 20
2018/10/10, 6, 4, 27
2018/10/11, 12, 6, 15
2018/10/12, 12, 5, 22
2018/10/13, 12, 4, 24
2018/10/14, 13, 6, 29
2018/10/15, 11, 14, 26
2018/10/16, 17, 18, 26
2018/10/17, 14, 25, 32
2018/10/18, 21, 20, 31
2018/10/19, 16, 26, 30
2018/10/20, 18, 33, 31
2018/10/21, 19, 40, 31
2018/10/22, 27, 36, 29
2018/10/23, 31, 39, 22
2018/10/24, 25, 14, 18
2018/10/25, 25, 13, 28
2018/10/26, 28, 11, 26
2018/10/27, 15, 13, 31
2018/10/28, 13, 23, 30
2018/10/29, 18, 21, 22
2018/10/30, 18, 18, 26
2018/10/31, 15, 25, 30
2018/11/1, 17, 11, 20
2018/11/2, 23, 8, 19
2018/11/3, 24, 3, 18
2018/11/4, 10, 3, 15
2018/11/5, 10, 4, 17
2018/11/6, 12, 7, 22
2018/11/7, 14, 7, 22
2018/11/8, 21, 10, 27
2018/11/9, 18, 10, 24
2018/11/10, 16, 13, 24
2018/11/11, 34, 17, 29
2018/11/12, 23, 24, 25
2018/11/13, 29, 20, 23
2018/11/14, 22, 17, 29
2018/11/15, 19, 13, 19
2018/11/16, 28, 10, 25
2018/11/17, 15, 10, 22
2018/11/18, 11, 16, 17
2018/11/19, 25, 19, 21
2018/11/20, 29, 18, 18
2018/11/21, 34, 15, 22
2018/11/22, 33, 12, 21
2018/11/23, 22, 9, 17
2018/11/24, 19, 10, 24
2018/11/25, 20, 11, 23
2018/11/26, 15, 15, 26
2018/11/27, 13, 12, 17
2018/11/28, 37, 15, 11
2018/11/29, 46, 17, 12
2018/11/30, 48, 11, 22
2018/12/1, 41, 4, 21
2018/12/2, 11, 4, 27
2018/12/3, 14, 4, 30
2018/12/4, 13, 5, 28
2018/12/5, 17, 12, 23
2018/12/6, 37, 13, 28
2018/12/7, 50, 13, 24
2018/12/8, 51, 11, 24
2018/12/9, 40, 12, 24
2018/12/10, 41, 11, 23
2018/12/11, 35, 8, 25
2018/12/12, 27, 11, 20
2018/12/13, 34, 9, 20
2018/12/14, 31, 12, 23
2018/12/15, 42, 5, 25
2018/12/16, 10, 6, 17
2018/12/17, 17, 12, 17
2018/12/18, 27, 8, 20
2018/12/19, 23, 8, 21
2018/12/20, 29, 12, 18
2018/12/21, 42, 9, 24
2018/12/22, 31, 3, 26
2018/12/23, 12, 6, 16
2018/12/24, 20, 10, 13
2018/12/25, 31, 9, 18
2018/12/26, 29, 5, 24
2018/12/27, 14, 10, 28
2018/12/28, 16, 6, 28
2018/12/29, 22, 5, 29
2018/12/30, 16, , 
2018/7/3, 63, 30, 35
2018/7/4, 48, 8, 30
2018/7/5, 12, 9, 39
2018/7/6, 12, 18, 34
2018/7/7, 23, 19, 36
2018/7/8, 16, 23, 38
2018/7/9, 29, 29, 40
2018/7/10, 37, 36, 42
2018/7/11, 41, 39, 44
2018/7/12, 42, 4, 37
2018/7/13, 7, 6, 32
2018/7/14, 16, 9, 33
2018/7/15, 16, 16, 27
2018/7/16, 13, 13, 29
2018/7/17, 8, 19, 36
2018/7/18, 17, 14, 36
2018/7/19, 20, 9, 32
2018/7/20, 11, 19, 26
2018/7/21, 41, 15, 33
2018/7/22, 35, 16, 32
2018/7/23, 33, 6, 29
2018/7/24, 7, , 34
2018/7/25, 16, 39, 26
2018/7/26, 16, 24, 28
2018/7/27, 20, 10, 24
2018/7/28, 17, 12, 27
2018/7/29, 19, 26, 28
2018/7/30, 19, 24, 32
2018/7/31, 18, 28, 27
2018/8/1, 25, 17, 29
2018/8/2, 17, 36, 46
2018/8/3, 33, 13, 42
2018/8/4, 33, 13, 31
2018/8/5, 34, 11, 30
2018/8/6, 26, 8, 40
2018/8/8, 29, 33, 33
2018/8/9, 59, 44, 34
2018/8/10, 81, 44, 35
2018/8/11, 80, 31, 35
2018/8/12, 54, 32, 41
2018/8/13, 46, 23, 32
2018/8/14, 31, 16, 34
2018/8/15, 23, 6, 37
2018/8/16, 12, 15, 32
2018/8/17, 19, 19, 35
2018/8/18, 27, 22, 21
2018/8/19, 42, 24, 26
2018/8/20, 48, 28, 23
2018/8/21, 61, 26, 31
2018/8/22, 39, 28, 26
2018/8/23, 49, 36, 39
2018/8/24, 47, 34, 34
2018/8/25, 44, 37, 30
2018/8/26, 35, 36, 27
2018/8/27, 27, 27, 19
2018/8/28, 21, 26, 33
2018/8/29, 19, 34, 27
2018/8/30, 24, 38, 26
2018/8/31, 14, 41, 23
2018/9/1, 28, 36, 30
2018/9/2, 14, 38, 30
2018/9/3, 15, 32, 20
2018/9/4, 5, 42, 21
2018/9/5, 17, 39, 27
2018/9/6, 10, 43, 30
2018/9/7, 14, 45, 30
2018/9/8, 13, 49, 35
2018/9/9, 19, 52, 32
2018/9/10, 17, 56, 34
2018/9/11, 16, 56, 37
2018/9/12, 19, 55, 28
2018/9/13, 18, 58, 31
2018/9/14, 21, 62, 35
2018/9/15, 20, 62, 35
2018/9/16, 19, 70, 31
2018/9/17, 25, 59, 25
2018/9/18, 17, 56, 26
2018/9/19, 5, 57, 29
2018/9/20, 16, 58, 26
2018/9/21, 14, 61, 32
2018/9/22, 11, 65, 35
2018/9/23, 12, 63, 25
